country,country_lo,name,gppd_idnr,capacity_m,latitude,longitude,primary_fu,other_fuel,other_fu_1,other_fu_2,commission,owner,source,url,geolocatio,wepp_id,year_of_ca,generation,generati_1,generati_2,generati_3,generati_4,generati_5,generati_6,generati_7,estimated_,estimate_1,estimate_2,estimate_3,estimate_4,estimate_5,estimate_6,estimate_7,estimate_8,estimate_9,field_37,field_38,field_39,SAMPLE_1
EGY,Egypt,El-Tebeen,WRI1000071,700.000000000000000,29.776000000000000,31.298300000000001,Gas,,,,2010.000000000000000,,Egyptian Electricity Holding Company,http://www.moee.gov.eg/english_new/report.aspx,GEODB,"1014117",,,,,,,,,,,,,,3247.570000000000164,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1,,,,8401.541992187500000
EGY,Egypt,Esna,WRI1000108,86.000000000000000,25.317699999999999,32.554400000000001,Hydro,,,,1993.000000000000000,,Egyptian Electricity Holding Company,http://www.moee.gov.eg/english_new/report.aspx,GEODB,"1014144",,,535.000000000000000,,,,,,Egyptian Electricity Holding Company,,,,,387.639999999999986,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1,,,,23556.113281250000000
EGY,Egypt,High Dam,WRI1000106,2100.000000000000000,23.972100000000001,32.882800000000003,Hydro,,,,1967.000000000000000,,Egyptian Electricity Holding Company,http://www.moee.gov.eg/english_new/report.aspx,GEODB,"1014103",,,9304.000000000000000,,,,,,Egyptian Electricity Holding Company,,,,,9465.760000000000218,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1,,,,2695.257324218750000
EGY,Egypt,Hurghada,WRI1000086,143.000000000000000,27.122000000000000,33.820000000000000,Oil,,,,,,Egyptian Electricity Holding Company,http://www.moee.gov.eg/english_new/report.aspx,GEODB,"1014121",,,129.000000000000000,,,,,,Egyptian Electricity Holding Company,,,,,,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,,,,
EGY,Egypt,Kafr El-Dawar,WRI1000095,440.000000000000000,31.129300000000001,30.193200000000001,Gas,,,,,,Egyptian Electricity Holding Company,http://www.moee.gov.eg/english_new/report.aspx,GEODB,"1014124",,,3061.000000000000000,,,,,,Egyptian Electricity Holding Company,,,,,2041.329999999999927,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1,,,,27546.761718750000000
EGY,Egypt,Karmouz,WRI1000098,23.000000000000000,31.175999999999998,29.914000000000001,Oil,,,,1980.000000000000000,,Egyptian Electricity Holding Company,http://www.moee.gov.eg/english_new/report.aspx,GEODB,"1014125",,,7.000000000000000,,,,,,Egyptian Electricity Holding Company,,,,,,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,,,,
EGY,Egypt,Kuraymat ISCC,WKS0071085,20.000000000000000,29.277999999999999,31.248999999999999,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,,,,,,,,,,"43.04","43.00",43.039999999999999,43.060000000000002,43.320000000000000,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,,,,18435.039062500000000
EGY,Egypt,Kuriemat 2,WRI1000103,2754.000000000000000,29.269300000000001,31.224000000000000,Gas,,,,,,Egyptian Electricity Holding Company,http://www.moee.gov.eg/english_new/report.aspx,WRI,"1014115",,,4726.000000000000000,,,,,,Egyptian Electricity Holding Company,,,,,12776.899999999999636,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1,,,,18435.039062500000000
EGY,Egypt,Kuriemat Solar/Thermal,WRI1000105,120.000000000000000,29.279299999999999,31.248600000000000,Gas,Solar,,,2011.000000000000000,,Egyptian Electricity Holding Company,http://www.moee.gov.eg/english_new/report.aspx,GEODB,"1046208",,,114.000000000000000,,,,,,Egyptian Electricity Holding Company,,,,,556.720000000000027,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1,,,,18435.039062500000000
EGY,Egypt,Mahmoudia,WRI1000092,317.000000000000000,31.175899999999999,30.528900000000000,Gas,,,,,,Egyptian Electricity Holding Company,http://www.moee.gov.eg/english_new/report.aspx,GEODB,"1014126",,,2190.000000000000000,,,,,,Egyptian Electricity Holding Company,,,,,1470.680000000000064,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1,,,,23936.322265625003638
EGY,Egypt,Marsa Alam A,WKS0069387,5.000000000000000,25.062600000000000,34.873399999999997,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,,,,,,,,,,"11.30","11.30",11.300000000000001,11.330000000000000,11.230000000000000,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,,,,
