fid,Plant,MW,Country,MWh,GEN_TYPE,SAMPLE_1,latitude,longitude
799,DALING NEC,2.000000000000000,SUDAN,"5764.2878058832239",Oil,,0.000,0.000
803,DAMANHOUR,593.480000000000018,EGYPT,"2938611.6752005867",NG,21667.626953125000000,31.033,30.467
804,DAMANHOUR,58.000000000000000,EGYPT,"254379.59436297847",waste heat,21667.626953125000000,31.082,30.430
805,DAMANHOUR,0.000000000000000,EGYPT,"0",Oil,21667.626953125000000,31.033,30.467
806,DAMIETTA,408.000000000000000,EGYPT,"1789428.8706912969",waste heat,1963.572509765625000,31.419,31.815
807,DAMANHOUR NEW,0.000000000000000,EGYPT,"0",NG,29143.320312500000000,31.113,30.465
808,DAMANHOUR NEW,0.000000000000000,EGYPT,"0",waste heat,29143.320312500000000,31.113,30.465
809,DAMIETTA,1292.000000000000000,EGYPT,"6397328.1060173176",NG,1963.572509765625000,31.419,31.815
810,DAMIETTA TERMINAL,124.849999999999994,EGYPT,"618193.81891351554",NG,1963.572509765625000,31.419,31.815
832,DBAKR,2.000000000000000,SUDAN,"5764.2878058832239",Oil,,8.970,31.529
845,DEDESSA DAM,0.000000000000000,ETHIOPIA,"0",Water,,8.533,36.667
851,DEGEHABOUR,0.286000000000000,ETHIOPIA,"7.3771231799012078",Oil,,8.221,43.557
857,DEMBI,0.800000000000000,ETHIOPIA,"3585.1206744800115",Water,297.036621093750000,8.081,36.461
861,DESHNA (QUS) FACTORY,20.300000000000001,EGYPT,"89032.858027042472",Oil,11206.541992187500000,25.915,32.745
878,DIRE DAWA,40.299999999999997,ETHIOPIA,"1039.5037208042609",Oil,305.683258056640625,9.593,41.866
879,DISOUQ GAS PLANT,4.000000000000000,EGYPT,"17543.420300895068",Oil,231.147537231445313,30.010,31.216
889,DJIMA,0.195000000000000,ETHIOPIA,"873.87316440450286",Water,2267.568115234375000,7.667,36.833
897,DONGOLA,17.199999999999999,SUDAN,"49572.875130595719",Oil,1661.962036132812500,19.167,30.483
911,DUBTI,0.486000000000000,ETHIOPIA,"12.535950578433521",Oil,1958.452880859375000,11.736,41.085
932,ECC CEMENT PLANT,1.820000000000000,EGYPT,"7982.2562369072557",Oil,,29.600,32.317
935,EDFU SUGAR PLANT,12.600000000000000,EGYPT,"58524.179104477618",Biomass,23748.740234375000000,24.979,32.877
939,EEPC GT,0.000000000000000,ETHIOPIA,"0",Oil,,0.000,0.000
944,EL AYAT WWTP,0.805000000000000,EGYPT,"3530.6133355551324",Oil,231.147537231445313,30.045,31.213
947,EL FAO,13.199999999999999,SUDAN,"38044.299518829277",Oil,215.702728271484375,10.450,25.001
950,EL FASHER,15.400000000000000,SUDAN,"44385.016105300827",Oil,12.705114364624023,13.628,25.349
951,EL FIKRYA WWTP,0.675000000000000,EGYPT,"2960.4521757760426",Oil,22896.828125000000000,27.934,30.819
953,EL FULLA,2.000000000000000,SUDAN,"5764.2878058832239",Oil,,9.960,34.026
954,EL GAILI,190.000000000000000,SUDAN,"547607.34155890637",NG,605.521667480468750,15.588,32.534
955,EL GAILI,110.000000000000000,SUDAN,"317035.82932357735",Oil,829.645935058593750,15.588,32.692
956,EL GAILI,160.000000000000000,SUDAN,"461143.02447065793",Oil,605.521667480468750,15.588,32.534
957,EL GAILI,60.000000000000000,SUDAN,"219300.85959885386",waste heat,829.645935058593750,15.588,32.692
958,EL GIMINA,10.699999999999999,SUDAN,"30838.939761475245",Oil,152.877120971679688,13.475,22.458
963,EL KHARGA,7.200000000000000,EGYPT,"31578.156541611119",Oil,1296.655761718750000,25.451,30.546
965,EL NAHUD,2.000000000000000,SUDAN,"5764.2878058832239",Oil,46.563385009765625,14.233,29.800
966,EL MAX,0.000000000000000,EGYPT,"0",Oil,2307.062255859375000,31.216,29.955
968,EL OBEID,13.000000000000000,SUDAN,"37467.870738240963",Oil,41.967445373535163,13.183,30.217
969,EL QARA FIIELD,9.000000000000000,EGYPT,"44563.431079068003",NG,30796.847656250000000,31.208,30.835
970,EL SADAT PAPER,8.220000000000002,EGYPT,"40701.267052215444",NG,23989.857421875000000,29.176,30.800
971,EL TOR,5.000000000000000,EGYPT,"21929.275376118832",Oil,,28.236,33.625
973,EL-AMERIYA REFINERY,78.000000000000000,EGYPT,"386216.40268525603",NG,,31.200,29.900
974,EL-AMERIYA REFINERY,36.000000000000000,EGYPT,"157890.78270805563",waste heat,,31.200,29.900
975,EL-AMERYA FTZ,180.000000000000000,EGYPT,"891268.62158135977",NG,,31.200,29.900
978,EL-ATF,250.000000000000000,EGYPT,"1096463.7688059416",waste heat,23936.322265625003638,31.175,30.530
979,EL-ATF,530.000000000000000,EGYPT,"2624290.9413228934",NG,23936.322265625003638,31.175,30.530
981,EL-DABAA,0.000000000000000,EGYPT,"0",NG,,31.167,29.883
991,EL-HAMRAWEIN,0.018000000000000,EGYPT,"27.688235294117646",Sun,,26.258,34.201
992,EL-KOUSIR,1.800000000000000,EGYPT,"7894.5391354027797",Oil,,26.109,34.279
994,EL-KUREIMAT,500.000000000000000,EGYPT,"2192927.5376118831",waste heat,26199.513671875000000,28.433,30.700
996,EL-KUREIMAT,2300.000000000000000,EGYPT,"11388432.386872932",NG,26199.513671875000000,28.433,30.700
997,EL-KUREIMAT ISCC,79.000000000000000,EGYPT,"391167.89502737467",NG,18435.039062500000000,29.277,31.249
998,EL-KUREIMAT ISCC,63.000000000000000,EGYPT,"276308.86973909731",waste heat,18435.039062500000000,29.277,31.249
999,EL-MAHMOUDIA,246.000000000000000,EGYPT,"1218067.1161611918",NG,2307.062255859375000,31.198,29.919
