fid,Plant,MW,Country,MWh,GEN_TYPE,Yield[K$/h,longitude,latitude
304,AWASH-III,32.000000000000000,ETHIOPIA,"143404.82697920044",Water,6.458121776580812,39.167,8.467
305,AWASH-IV,0.000000000000000,ETHIOPIA,"0",Water,6.458121776580812,39.167,8.467
308,AWEIL,1.210000000000000,SOUTH SUDAN,"6609.625",Oil,5.330813884735108,36.350,16.167
310,AWLAD EL SHEIKH,0.017000000000000,EGYPT,"26.15",Sun,6.682043552398682,31.865,26.388
312,AXUM,0.000000000000000,ETHIOPIA,"0",Oil,2.880803108215332,38.724,14.124
318,AYOUN MOUSSA,640.000000000000000,EGYPT,"3168955.098955947",NG,,32.550,29.967
319,AYOUN MOUSSA NOWAIS,0.000000000000000,EGYPT,"0",Coal,,32.550,29.967
320,AYSHA,0.000000000000000,ETHIOPIA,"0",Wind,8.112095832824709,41.866,9.593
340,BAHIR DAR UNIVERSITY,0.010000000000000,ETHIOPIA,"14.964028776978415",Sun,5.405756950378418,37.391,11.594
341,BAHTEEM WWTP,4.000000000000000,EGYPT,"17543.420300895068",Oil,8.592763900756836,31.237,30.125
349,BALAKS WWTP,14.900000000000000,EGYPT,"65349.240620834127",Oil,7.773125171661378,31.217,30.033
367,BANHA,250.000000000000000,EGYPT,"1096463.7688059416",waste heat,8.847204208374023,31.179,30.459
368,BANHA,500.000000000000000,EGYPT,"2475746.1710593328",NG,8.847204208374023,31.179,30.459
379,BARO-AMBO,0.000000000000000,ETHIOPIA,"0",Water,1.423812031745911,37.067,10.700
402,BEDDEN,0.000000000000000,SOUTH SUDAN,"0",Water,0.860853850841522,31.263,4.614
413,BELES,460.000000000000000,ETHIOPIA,"2061444.3878260069",Water,3.560966253280640,37.210,11.680
422,BENBAN BEA,0.000000000000000,EGYPT,"0",Sun,8.013953208923340,32.882,24.442
423,BENBAN ENEL,0.000000000000000,EGYPT,"0",Sun,8.013953208923340,32.882,24.442
424,BENBAN LEKELA,0.000000000000000,EGYPT,"0",Sun,8.013953208923340,32.882,24.442
425,BENBAN SCATEC,0.000000000000000,EGYPT,"0",Sun,8.013953208923340,32.882,24.442
439,BENI SUEF,0.000000000000000,EGYPT,"0",NG,8.279492378234863,31.099,29.066
440,BENI SUEF,0.000000000000000,EGYPT,"0",waste heat,8.279492378234863,31.099,29.066
449,BENTIU,0.000000000000000,SOUTH SUDAN,"0",Oil,,29.801,9.231
496,BIZET,0.550000000000000,ETHIOPIA,"14.186775345963861",Oil,1.798002243041992,39.290,14.282
527,BONGA,0.770000000000000,ETHIOPIA,"19.861485484349402",Oil,2.693309783935547,36.242,7.272
535,BOR,2.000000000000000,SOUTH SUDAN,"10925",Oil,0.949895322322845,31.566,6.213
539,BORG EL ARAB,0.000000000000000,EGYPT,"0",NG,8.898690223693848,29.955,31.216
540,BORG EL ARAB PLANT,6.600000000000000,EGYPT,"32679.849457983197",NG,8.646632194519045,29.616,30.870
546,BOTOR BECHO SAWMILL,1.000000000000000,ETHIOPIA,"199.15254237288138",Biomass,0.837178409099579,36.837,7.668
579,BROM,2.000000000000000,SUDAN,"5764.2878058832239",Oil,,0.000,0.000
604,BUNO BEDELLE,0.153000000000000,ETHIOPIA,"685.6543289943022",Water,2.185858488082886,36.352,8.456
607,BURDANA,0.000000000000000,SUDAN,"0",Water,0.188040405511856,34.008,17.701
611,BURRI,0.000000000000000,SUDAN,"0",NG,0.931748449802399,32.534,15.588
612,BURRI,0.000000000000000,SUDAN,"0",Oil,0.931748449802399,32.534,15.588
633,CAIRO,0.000000000000000,EGYPT,"0",Oil,7.844210147857666,31.266,30.108
634,CAIRO 6 OCTOBER,1200.000000000000000,EGYPT,"5941790.8105424",NG,8.676420211791992,31.046,30.054
635,CAIRO 6 OCTOBER,0.000000000000000,EGYPT,"0",waste heat,8.676420211791992,31.046,30.054
636,CAIRO ADMIN CITY,0.000000000000000,EGYPT,"0",NG,,31.730,30.008
637,CAIRO ADMIN CITY,0.000000000000000,EGYPT,"0",waste heat,,31.730,30.008
638,CAIRO INTL AIRPORT,2.400000000000000,EGYPT,"10526.052180537043",Oil,9.036870956420898,31.379,30.109
639,CAIRO NORTH-1,0.000000000000000,EGYPT,"0",Oil,,31.250,30.050
640,CAIRO NORTH-2,500.000000000000000,EGYPT,"2192927.5376118831",waste heat,,31.250,30.050
641,CAIRO NORTH-2,1000.000000000000000,EGYPT,"4951492.3421186656",NG,,31.250,30.050
642,CAIRO SOUTH,235.000000000000000,EGYPT,"1030675.9426775852",waste heat,,31.250,30.050
643,CAIRO SOUTH,0.000000000000000,EGYPT,"0",Oil,,31.250,30.050
644,CAIRO SOUTH,440.000000000000000,EGYPT,"2178656.6305322135",NG,,31.250,30.050
645,CAIRO WEST,1360.000000000000000,EGYPT,"6734029.585281386",NG,7.773125171661378,31.212,30.009
646,CAIRO WWTP,12.800000000000001,EGYPT,"56138.944962864218",Oil,,31.250,30.050
708,CHEMOGA-YEDA I,0.000000000000000,ETHIOPIA,"0",Water,1.815276503562927,37.672,9.863
709,CHEMOGA-YEDA II,0.000000000000000,ETHIOPIA,"0",Water,1.149204373359680,37.767,10.300
754,CORBETTI,0.000000000000000,ETHIOPIA,"0",Geo,,40.635,7.546
784,DABAA,0.000000000000000,EGYPT,"0",Uranium,5.904975414276124,28.450,31.019
789,DAHAB,10.000000000000000,EGYPT,"43858.550752237665",Oil,,34.513,28.501
793,DAIRUT,0.000000000000000,EGYPT,"0",NG,16.406478881835938,30.509,31.223
799,DALING NEC,2.000000000000000,SUDAN,"5764.2878058832239",Oil,,0.000,0.000
803,DAMANHOUR,593.480000000000018,EGYPT,"2938611.6752005867",NG,10.946795463562012,30.467,31.033
804,DAMANHOUR,58.000000000000000,EGYPT,"254379.59436297847",waste heat,10.946795463562012,30.430,31.082
805,DAMANHOUR,0.000000000000000,EGYPT,"0",Oil,10.946795463562012,30.467,31.033
806,DAMIETTA,408.000000000000000,EGYPT,"1789428.8706912969",waste heat,11.457196235656738,31.815,31.419
807,DAMANHOUR NEW,0.000000000000000,EGYPT,"0",NG,10.941265106201172,30.465,31.113
808,DAMANHOUR NEW,0.000000000000000,EGYPT,"0",waste heat,10.941265106201172,30.465,31.113
809,DAMIETTA,1292.000000000000000,EGYPT,"6397328.1060173176",NG,11.457196235656738,31.815,31.419
810,DAMIETTA TERMINAL,124.849999999999994,EGYPT,"618193.81891351554",NG,11.457196235656738,31.815,31.419
832,DBAKR,2.000000000000000,SUDAN,"5764.2878058832239",Oil,,31.529,8.970
845,DEDESSA DAM,0.000000000000000,ETHIOPIA,"0",Water,,36.667,8.533
851,DEGEHABOUR,0.286000000000000,ETHIOPIA,"7.3771231799012078",Oil,,43.557,8.221
857,DEMBI,0.800000000000000,ETHIOPIA,"3585.1206744800115",Water,1.953168272972107,36.461,8.081
861,DESHNA (QUS) FACTORY,20.300000000000001,EGYPT,"89032.858027042472",Oil,9.369148254394531,32.745,25.915
878,DIRE DAWA,40.299999999999997,ETHIOPIA,"1039.5037208042609",Oil,8.112095832824709,41.866,9.593
879,DISOUQ GAS PLANT,4.000000000000000,EGYPT,"17543.420300895068",Oil,7.773125171661378,31.216,30.010
889,DJIMA,0.195000000000000,ETHIOPIA,"873.87316440450286",Water,0.774625599384308,36.833,7.667
897,DONGOLA,17.199999999999999,SUDAN,"49572.875130595719",Oil,4.395761489868164,30.483,19.167
911,DUBTI,0.486000000000000,ETHIOPIA,"12.535950578433521",Oil,5.527621746063232,41.085,11.736
932,ECC CEMENT PLANT,1.820000000000000,EGYPT,"7982.2562369072557",Oil,,32.317,29.600
935,EDFU SUGAR PLANT,12.600000000000000,EGYPT,"58524.179104477618",Biomass,6.613108634948730,32.877,24.979
939,EEPC GT,0.000000000000000,ETHIOPIA,"0",Oil,,0.000,0.000
944,EL AYAT WWTP,0.805000000000000,EGYPT,"3530.6133355551324",Oil,7.773125171661378,31.213,30.045
947,EL FAO,13.199999999999999,SUDAN,"38044.299518829277",Oil,0.697176873683929,25.001,10.450
