,y,Biomass & Waste CHP plant - OTF/OTS cooling (old),Coal power plant - Air cooling (new),Ethiopia - Djibouti EL existing trade link,Ethiopia - Kenya EL planned trade link,Ethiopia - Sudan EL existing trade link,Geothermal power plant - MDT cooling (new),Geothermal power plant - MDT cooling (old),Oil fired gas turbine (SCGT) - MDT cooling (new),Small hydropower plant,Medium hydropower plant (Run-of river),Renaissance,Tis Abay 2,Tis Abay 1,Upper Mandaya,Light Fuel Oil stand alone (1kW),Light Fuel Oil power plant - MDT cooling (old),Natural gas power plant (combined cycle) - MDT cooling (new),Natural gas power plant (single cycle) - Air cooling (new),Beko Abo FPV,Chemoga Yeda FPV,Karadobi FPV,Lake Tana FPV,Renaissance FPV,Upper Mandaya FPV,Solar PV (utility),Solar PV (roof top),Solar PV with storage,Wind (onshore)
33,2048.0,0.0,0.0,5.3927,59.9184,-1.9896000000000003,111.377,0.0,0.0002,0.0104,0.6447,39.6078,1.4675,0.1523,0.2629,0.0,0.0,14.7567,2.0232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193.3903,12.5666,0.0
34,2049.0,0.0,0.0,5.3927,59.9184,-2.0111,110.8162,0.0,0.0002,0.0104,0.8734,40.2699,1.8508,0.2388,0.2629,0.0,0.0,15.9443,1.8919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212.7548,17.3708,0.0
35,2050.0,0.0,2.7645,5.3927,59.9184,-1.8386,110.7352,0.0,0.0002,0.012,1.0479,39.5679,1.8508,0.261,0.2311,0.0,0.0,15.0637,1.5124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.5828,18.5636,0.0
36,2051.0,0.0,3.5289,5.3927,59.9184,-2.2075,118.8579,0.0,0.0002,0.0082,0.5089,34.041,1.6932,0.2388,0.2225,0.0,0.0,12.8477,0.6518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.4838,21.5826,0.0
37,2052.0,0.0,3.6648,5.3927,59.9184,-3.2700000000000005,125.5593,0.0,0.0002,0.0082,0.5089,31.4135,1.3099,0.1847,0.2225,0.0,0.0,11.8471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,265.0582,28.0347,0.0
38,2053.0,0.0,3.6648,5.3927,59.9184,-3.5391000000000004,131.6221,0.0,0.0,0.0082,0.5089,30.2829,2.0723,0.2922,0.2225,0.0,0.0,11.6054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278.2673,28.6066,0.0
39,2054.0,0.0,4.3443,5.3927,59.9184,-3.7264,110.0179,0.0,0.0,0.0082,0.5089,29.0197,2.0723,0.2922,0.2225,0.0,0.0,11.3154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,292.1844,37.6431,0.0
40,2055.0,0.0,6.4201,5.3927,59.9184,-3.7264,110.9131,0.0,0.0,0.0082,0.5089,29.5501,2.0723,0.2922,0.2225,0.0,0.0,11.0636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,304.1842,41.0533,0.0
41,2056.0,0.0,8.5525,5.3927,59.9184,-3.7264,112.436,0.0,0.0,0.0082,0.5089,30.6434,2.0723,0.2922,0.2225,0.0,0.0,10.8011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316.819,43.3852,0.0
42,2057.0,0.0,12.4356,5.3927,59.9184,-3.7264,114.7849,0.0,0.0,0.0082,0.5089,33.2704,2.0723,0.2922,0.2225,0.0,0.0,10.0784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,326.5013,46.1502,0.0
43,2058.0,0.0,18.0147,5.3927,59.9184,-3.7264,116.9072,0.0,0.0,0.0082,0.5681,33.9199,2.0723,0.2922,0.2225,0.0,0.0,7.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.5164,56.86,0.0
44,2059.0,0.0,20.9187,4.5616,45.3983,-3.7264,128.9848,0.0,0.0,0.0082,0.6823,33.7443,2.0765,0.2928,0.2225,0.0,0.0,5.7259,0.0,0.0,0.4925,3.1751,0.0,0.0,0.0,0.0,345.8658,59.2233,2.5833
45,2060.0,0.0,18.0354,3.7213,37.7443,-3.7264,129.8835,0.0,0.0,0.0082,0.7402,44.9447,1.8491,0.2922,2.875,0.0,0.0,4.6205,0.0,0.0,0.4239,3.7254,0.0,0.0,0.0,0.0,355.548,59.3055,13.5639
46,2061.0,0.0,15.9082,3.7213,38.227,-3.7264,129.0119,0.0,0.0,0.012,0.7402,47.6091,2.0024,0.3145,7.6633,0.0,0.0,3.3663,0.0,0.0,0.3675,2.1773,0.0,1.3042,0.0,0.0,361.1393,63.4818,16.6001
47,2062.0,0.0,14.5337,3.7213,41.3478,-3.7264,128.3341,0.0,0.0,0.012,0.7402,47.4303,2.2298,0.3145,11.0269,0.0,0.0,2.6385,0.0,0.0,0.3675,2.1773,0.0,1.517,0.0,0.0,372.0323,66.0691,15.3666
48,2063.0,0.0,14.3816,3.7213,41.3478,-3.7493,128.8231,0.0,0.0,0.012,0.7402,47.3619,2.0024,0.3145,11.0988,0.0,0.0,2.6385,0.0,0.0,0.3675,2.1773,0.0,2.2416,0.0,0.0,371.7129,77.1453,20.8132
49,2064.0,0.0,14.5848,3.7213,39.2092,-3.8301,129.7891,0.0,0.0,0.012,0.7402,47.5843,2.2298,0.2824,11.0988,0.0,0.0,2.6385,0.0,0.0,0.3675,2.1773,0.0,3.7456,0.0,0.0,386.3107,78.2126,20.9973
50,2065.0,0.0,15.2242,3.7213,41.3478,-3.7264,131.7568,0.0,0.0,0.0157,0.7402,45.0694,2.2298,0.3145,14.5755,0.0,0.0,2.6385,0.0,0.0,0.3675,2.1773,0.0,6.3532,0.0,0.0,386.3107,82.3977,27.1497
51,2066.0,0.0,15.7767,3.7213,41.3478,-3.7264,133.2845,0.0,0.0,0.0157,0.7402,49.2272,2.2298,0.3145,9.4482,0.0,0.0,2.5851,0.0,1.3909,0.3675,2.1773,0.1574,11.154,0.0,0.0,378.9203,91.558,37.5174
52,2067.0,0.0,16.6941,3.2227,35.8074,-3.7264,134.028,0.0,0.0,0.0201,0.7402,49.2135,1.8508,0.3145,12.1574,0.0,0.0,2.444,0.0,1.1485,0.3675,2.9141,3.6528,12.7349,2.0271,0.0,387.29,92.3355,41.8942
53,2068.0,0.0,16.772,5.3927,59.9184,-3.7264,128.4548,0.0,0.0914,0.0179,0.7402,37.9909,2.2298,0.3145,10.0038,2.0475,0.0,0.1936,0.0,1.5594,0.3675,2.1773,3.6528,9.4842,2.7681,15.8857,387.29,92.3355,41.5234
54,2069.0,0.0,16.9091,5.3927,59.9184,-3.7264,131.2288,0.0,0.106,0.012,0.969,45.5685,2.2298,0.3145,10.0038,2.3745,0.0,0.0,0.0,1.5594,0.3675,2.1773,3.6528,7.9032,2.7681,24.7722,387.29,92.3355,44.3882
55,2070.0,0.0,17.1773,5.3927,59.9184,-3.7264,134.028,0.0,0.1113,0.0142,0.969,47.4515,2.2298,0.3145,10.0038,2.4937,0.0,0.0,0.0,1.5594,0.3675,2.9141,3.6528,7.9032,2.0271,47.3261,387.29,92.3355,38.2663
