r,l,t,m,y,RateOfActivity
REGION,S1D2,EGWA00000X,1,2036, 13433.2402538786
REGION,S2D1,EGWA00000X,1,2036, 1.8593487253580824e+04
REGION,S2D2,EGWA00000X,1,2036, 1.1722956879529982e+04
REGION,S3D1,EGWA00000X,1,2036, 1.7776131431467613e+04
REGION,S3D2,EGWA00000X,1,2036, 1.3472103459373559e+04
REGION,S4D1,EGWA00000X,1,2036, 1.3849043362088376e+04
REGION,S4D2,EGWA00000X,1,2036, 1.2726982706746148e+04
REGION,S1D1,EGWA00000X,1,2037, 1.5007979306784706e+04
REGION,S1D2,EGWA00000X,1,2037, 1.2870796674301153e+04
REGION,S2D1,EGWA00000X,1,2037, 1.7771230307315596e+04
REGION,S2D2,EGWA00000X,1,2037, 1.1437340762113417e+04
REGION,S3D1,EGWA00000X,1,2037, 1.6646362660227904e+04
REGION,S3D2,EGWA00000X,1,2037, 1.3134740279101532e+04
REGION,S4D1,EGWA00000X,1,2037, 1.3816156737445925e+04
REGION,S4D2,EGWA00000X,1,2037, 1.2336236789170980e+04
REGION,S1D1,EGWA00000X,1,2038, 1.4149726862350633e+04
REGION,S1D2,EGWA00000X,1,2038, 1.0850945324682109e+04
REGION,S2D1,EGWA00000X,1,2038, 1.6945728702110311e+04
REGION,S2D2,EGWA00000X,1,2038, 1.3004985890878792e+04
REGION,S3D1,EGWA00000X,1,2038, 1.5969244284874421e+04
REGION,S3D2,EGWA00000X,1,2038, 1.2503457437166846e+04
REGION,S4D1,EGWA00000X,1,2038, 1.3469445249386046e+04
REGION,S4D2,EGWA00000X,1,2038, 1.2529420503309530e+04
REGION,S1D1,EGWA00000X,1,2039, 1.3656822126540686e+04
REGION,S1D2,EGWA00000X,1,2039, 1.2392188006944951e+04
REGION,S2D1,EGWA00000X,1,2039, 1.6031246203795607e+04
REGION,S2D2,EGWA00000X,1,2039, 1.2999740914423244e+04
REGION,S3D1,EGWA00000X,1,2039, 1.5069398928325898e+04
REGION,S3D2,EGWA00000X,1,2039, 1.2194782865629464e+04
REGION,S4D1,EGWA00000X,1,2039, 1.0093578026898158e+04
REGION,S4D2,EGWA00000X,1,2039, 1.1858922237301982e+04
REGION,S1D1,EGWA00000X,1,2040, 1.2692811113906593e+04
REGION,S1D2,EGWA00000X,1,2040, 10263.2469095726
