r,t,e,y,AnnualTechnologyEmission
REGION,EGCO00X00X,EGCO2,2035.0,1.996
REGION,EGCO00X00X,EGCO2,2036.0,1.7131
REGION,EGCOSCC04N,EGCO2,2067.0,-4.1432
REGION,EGCOSCC04N,EGCO2,2068.0,-13.384
REGION,EGCOSCC04N,EGCO2,2069.0,-22.9454
REGION,EGCOSCC04N,EGCO2,2070.0,-26.4298
REGION,EGCOSCC04N,EGREN,2067.0,18.6756
REGION,EGCOSCC04N,EGREN,2068.0,60.485
REGION,EGCOSCC04N,EGREN,2069.0,103.9626
REGION,EGCOSCC04N,EGREN,2070.0,120.0576
REGION,EGCOSCP04N,EGREN,2025.0,66.5305
REGION,EGCOSCP04N,EGREN,2034.0,1.8394
REGION,EGCOSCP04N,EGREN,2035.0,7.9786
REGION,EGCOSCP04N,EGREN,2036.0,10.4067
REGION,EGCOSCP04N,EGREN,2037.0,8.2673
REGION,EGCOSCP04N,EGREN,2038.0,6.3747
REGION,EGCOSCP04N,EGREN,2039.0,5.8364
REGION,EGCOSCP04N,EGREN,2043.0,1.7361
REGION,EGCOSCP04N,EGREN,2048.0,35.2281
REGION,EGCOSCP04N,EGREN,2049.0,26.8826
REGION,EGCOSCP04N,EGREN,2050.0,21.7533
REGION,EGCOSCP04N,EGREN,2051.0,23.4166
REGION,EGCOSCP04N,EGREN,2052.0,24.6216
REGION,EGCOSCP04N,EGREN,2053.0,25.6144
REGION,EGCOSCP04N,EGREN,2054.0,25.362
REGION,EGCOSCP04N,EGREN,2055.0,13.5023
REGION,EGCR00E00X,EGCO2,2015.0,-37.2009
REGION,EGCR00E00X,EGCO2,2016.0,-34.0881
REGION,EGCR00E00X,EGCO2,2017.0,-28.7554
REGION,EGCR00E00X,EGCO2,2018.0,-32.2817
REGION,EGCR00E00X,EGCO2,2019.0,-32.2543
REGION,EGCR00E00X,EGCO2,2020.0,-32.2261
REGION,EGCR00E00X,EGCO2,2021.0,-31.7569
REGION,EGCR00E00X,EGCO2,2022.0,-31.2378
REGION,EGCR00E00X,EGCO2,2023.0,-30.8088
REGION,EGCR00E00X,EGCO2,2024.0,-30.3978
REGION,EGCR00E00X,EGCO2,2025.0,-30.0039
REGION,EGCR00E00X,EGCO2,2026.0,-29.6259
REGION,EGCR00E00X,EGCO2,2027.0,-29.263
REGION,EGCR00E00X,EGCO2,2028.0,-28.9142
REGION,EGCR00E00X,EGCO2,2029.0,-28.5787
REGION,EGCR00E00X,EGCO2,2030.0,-28.2558
REGION,EGCR00E00X,EGCO2,2031.0,-26.3359
REGION,EGCR00E00X,EGCO2,2032.0,-24.4629
REGION,EGCR00I00X,EGCO2,2032.0,2.7032
