,y,Dal,Dagash,Jebel Aulia,Kajbar,Mograt,Merowe,Small hydropower plant,Medium hydropower plant (Run-of river),Large hydropower plant (Dam),Roseires,Sabaloka,Sennar,Shereik
15,2030.0,0.648,0.312,0.019,0.36,0.0,1.24,0.0328,0.7517289857386816,2.5,0.27,0.205,0.026,0.42
16,2031.0,0.648,0.312,0.019,0.36,0.0,1.24,0.0328,0.7517289857386816,2.5,0.27,0.205,0.026,0.42
17,2032.0,0.648,0.312,0.019,0.36,0.0,1.24,0.0328,0.7517289857386816,2.5,0.27,0.205,0.026,0.42
18,2033.0,0.648,0.312,0.019,0.36,0.0,1.24,0.0328,0.7517289857386816,2.5,0.27,0.205,0.026,0.42
19,2034.0,0.648,0.312,0.019,0.36,0.0,1.24,0.0328,0.7517289857386816,2.5,0.27,0.205,0.026,0.42
20,2035.0,0.648,0.312,0.019,0.36,0.312,1.24,0.0328,1.431,2.705,0.27,0.205,0.026,0.42
21,2036.0,0.648,0.312,0.019,0.36,0.312,1.24,0.0328,1.431,2.705,0.27,0.205,0.026,0.42
22,2037.0,0.648,0.312,0.019,0.36,0.312,1.24,0.0328,1.431,2.705,0.27,0.205,0.026,0.42
23,2038.0,0.648,0.312,0.019,0.36,0.312,1.24,0.0328,1.431,2.705,0.27,0.205,0.026,0.42
24,2039.0,0.648,0.312,0.019,0.36,0.312,1.24,0.0328,1.431,2.705,0.27,0.205,0.026,0.42
25,2040.0,0.648,0.312,0.019,0.36,0.312,1.24,0.0328,1.431,2.705,0.27,0.205,0.026,0.42
26,2041.0,0.648,0.312,0.019,0.36,0.312,1.24,0.0328,1.431,2.705,0.27,0.205,0.026,0.42
27,2042.0,0.648,0.312,0.019,0.36,0.312,1.24,0.0328,1.431,2.705,0.27,0.205,0.026,0.42
28,2043.0,0.648,0.312,0.019,0.36,0.312,1.24,0.0328,1.431,2.705,0.27,0.205,0.026,0.42
29,2044.0,0.648,0.312,0.019,0.36,0.312,1.24,0.0328,1.431,2.705,0.27,0.205,0.026,0.42
30,2045.0,0.648,0.312,0.019,0.36,0.312,1.24,0.0328,1.431,2.705,0.27,0.205,0.026,0.42
31,2046.0,0.648,0.312,0.019,0.36,0.312,1.24,0.0328,1.431,2.705,0.27,0.205,0.026,0.42
32,2047.0,0.648,0.312,0.019,0.36,0.312,1.24,0.0328,1.431,2.705,0.27,0.205,0.026,0.42
33,2048.0,0.648,0.312,0.019,0.36,0.312,1.24,0.0328,1.431,2.705,0.27,0.205,0.026,0.42
34,2049.0,0.648,0.312,0.019,0.36,0.312,1.24,0.0328,1.431,2.705,0.27,0.205,0.026,0.42
35,2050.0,0.648,0.312,0.019,0.36,0.312,1.24,0.0328,1.431,2.705,0.27,0.205,0.026,0.42
36,2051.0,0.648,0.312,0.019,0.36,0.312,1.24,0.0328,1.431,2.705,0.27,0.205,0.026,0.42
37,2052.0,0.648,0.312,0.019,0.36,0.312,1.24,0.0328,1.431,2.705,0.27,0.205,0.026,0.42
38,2053.0,0.648,0.312,0.019,0.36,0.312,1.24,0.0328,1.431,2.705,0.27,0.205,0.026,0.42
39,2054.0,0.648,0.312,0.019,0.36,0.312,1.24,0.0328,1.431,2.705,0.27,0.205,0.026,0.42
40,2055.0,0.648,0.312,0.019,0.36,0.312,1.24,0.0328,1.431,2.705,0.27,0.205,0.026,0.42
41,2056.0,0.648,0.312,0.019,0.36,0.312,1.24,0.0328,1.431,2.705,0.27,0.205,0.026,0.42
42,2057.0,0.648,0.312,0.019,0.36,0.312,1.24,0.0328,1.431,2.705,0.27,0.205,0.026,0.42
43,2058.0,0.648,0.312,0.019,0.36,0.312,1.24,0.0328,1.431,2.705,0.27,0.205,0.026,0.42
44,2059.0,0.648,0.312,0.019,0.36,0.312,1.24,0.0328,1.431,2.705,0.27,0.205,0.026,0.42
45,2060.0,0.648,0.312,0.019,0.36,0.312,1.24,0.0328,1.431,2.705,0.27,0.205,0.026,0.42
46,2061.0,0.648,0.312,0.019,0.36,0.312,1.24,0.0328,1.431,2.705,0.27,0.205,0.026,0.42
47,2062.0,0.648,0.312,0.019,0.36,0.312,1.24,0.0328,1.431,2.705,0.27,0.205,0.026,0.42
48,2063.0,0.648,0.312,0.019,0.36,0.312,1.24,0.0328,1.431,2.705,0.27,0.205,0.026,0.42
49,2064.0,0.648,0.312,0.019,0.36,0.312,1.24,0.0328,1.431,2.705,0.27,0.205,0.026,0.42
50,2065.0,0.648,0.312,0.019,0.36,0.312,1.24,0.0328,1.431,2.705,0.27,0.205,0.026,0.42
51,2066.0,0.648,0.312,0.019,0.36,0.312,1.24,0.0328,1.431,2.705,0.27,0.205,0.026,0.42
52,2067.0,0.648,0.312,0.019,0.36,0.312,1.24,0.0328,1.431,2.705,0.27,0.205,0.026,0.42
53,2068.0,0.648,0.312,0.019,0.36,0.312,1.24,0.0328,1.431,2.705,0.27,0.205,0.026,0.42
54,2069.0,0.648,0.312,0.019,0.36,0.312,1.24,0.0328,1.431,2.705,0.27,0.205,0.026,0.42
55,2070.0,0.648,0.312,0.019,0.36,0.312,1.24,0.0328,1.431,2.705,0.27,0.205,0.026,0.42
