,y,Amarti-Neshe FPV,Aswan 1 FPV,Aswan 2 FPV,Baro FPV,Birbir FPV,CSP (with storage),CSP (without storage),Chemoga Yeda FPV,Dagash FPV,Dal FPV,Finchaa FPV,Geba FPV,Genji FPV,High Aswan Dam FPV,Jebel Aulia FPV,Kajbar FPV,Karadobi FPV,Kashm El Girba  FPV,Lake Tana - Beles FPV,Lower Dabus FPV,Lower Dedessa FPV,Merowe FPV,Mograt FPV,Renaissance FPV,Sabaloka FPV,Shereik FPV,Solar PV (roof top),Solar PV (utility),Solar PV with storage,Tekeze 1 FPV,Tekeze 2 FPV,Upper Atbara FPV,Upper Dabus FPV
30,2045.0,0.0,0.09538652835620048,0.0919798666291934,0.0,0.0,0.6,0.6000000000000003,0.0,0.0,0.220751679910064,0.0,0.0,0.0,0.715398962671504,0.0,0.12263982217225801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.88984180405464,10.609555258391657,8.379875333445494,0.0,0.0,0.0,0.0
31,2046.0,0.0,0.09538652835620048,0.0919798666291934,0.0,0.0,0.19999999999999998,0.20000000000000023,0.0,0.0,0.220751679910064,0.0,0.0,0.0,0.715398962671504,0.0,0.12263982217225801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.697589625258225,11.109555258391657,8.92987533344549,0.0,0.0,0.0,0.0
32,2047.0,0.0,0.09538652835620048,0.0919798666291934,0.0,0.0,0.0,0.0,0.0,0.0,0.220751679910064,0.0,0.0,0.0,0.715398962671504,0.0,0.12263982217225801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.81175238955271,11.609555258391657,9.900340219995208,0.0,0.0,0.0,0.0
33,2048.0,0.0,0.0953865283562005,0.0919798666291934,0.0,0.0,0.0,0.0,0.0,0.106287845882623,0.220751679910064,0.0,0.0,0.0,0.715398962671504,0.0,0.12263982217225801,0.0,0.0,0.0,0.0,0.0,0.422426054148888,0.10628784588262301,0.0,0.0698365654036468,0.143079792534301,55.86175238955271,12.109555258391657,10.950340219995207,0.0,0.0,0.0,0.0
34,2049.0,0.0,0.0953865283562005,0.0919798666291934,0.0,0.0,0.0,0.0,0.0,0.106287845882623,0.220751679910064,0.0,0.0,0.0,0.715398962671504,0.0,0.12263982217225801,0.0,0.0,0.0,0.0,0.0,0.422426054148888,0.10628784588262301,0.0,0.0698365654036468,0.143079792534301,59.9875979319328,12.609555258391657,12.00034021999521,0.0,0.0,0.0,0.0
35,2050.0,0.0,0.0953865283562005,0.0919798666291934,0.0,0.0,0.0,0.0,0.0,0.106287845882623,0.220751679910064,0.0,0.0,0.0,0.715398962671504,0.0,0.12263982217225801,0.0,0.0,0.0,0.0,0.0,0.422426054148888,0.10628784588262301,0.0,0.0698365654036468,0.143079792534301,65.07263023176945,13.109555258391657,13.050340219995213,0.0,0.0,0.0,0.0
36,2051.0,0.0,0.0953865283562005,0.0919798666291934,0.0,0.0,0.0,0.0,0.0,0.106287845882623,0.220751679910064,0.0,0.0,0.0,0.715398962671504,0.0,0.12263982217225801,0.0,0.0,0.0,0.0,0.0,0.422426054148888,0.10628784588262301,0.0,0.0698365654036468,0.143079792534301,69.94737488401644,13.609555258391657,13.209296225420971,0.0,0.0,0.0,0.0
37,2052.0,0.0,0.0953865283562005,0.0919798666291934,0.0,0.0,0.0,0.0,0.0,0.106287845882623,0.220751679910064,0.0,0.0,0.0,0.715398962671504,0.0,0.12263982217225801,0.0,0.0,0.0,0.0,0.0,0.422426054148888,0.10628784588262301,0.0,0.0698365654036468,0.143079792534301,74.3772013506305,14.109555258391657,13.862421488336112,0.0,0.0,0.0,0.0
38,2053.0,0.0,0.0953865283562005,0.0919798666291934,0.0,0.0,0.0,0.0,0.0,0.106287845882623,0.220751679910064,0.0,0.0,0.0,0.715398962671504,0.00647265728131361,0.12263982217225801,0.0,0.0034066617270071594,0.0,0.0,0.0,0.422426054148888,0.10628784588262301,0.0,0.0698365654036468,0.143079792534301,78.66668752746017,14.728763305686572,14.54672456699814,0.0,0.0,0.0,0.0
39,2054.0,0.0,0.0953865283562005,0.0919798666291934,0.0,0.0,0.0,0.0,0.0,0.106287845882623,0.220751679910064,0.0,0.0,0.0,0.715398962671504,0.00647265728131361,0.12263982217225801,0.0,0.0034066617270071594,0.0,0.0,0.0,0.422426054148888,0.10628784588262301,0.0,0.0698365654036468,0.143079792534301,82.48239698435496,15.754751327147359,15.262375095929952,0.0,0.0,0.0,0.0
40,2055.0,0.0,0.0953865283562005,0.0919798666291934,0.0,0.0,0.0,0.0,0.0,0.106287845882623,0.220751679910064,0.0,0.0,0.0,0.715398962671504,0.00647265728131361,0.12263982217225801,0.0,0.0034066617270071594,0.0,0.0,0.0,0.422426054148888,0.10628784588262301,0.0,0.0698365654036468,0.143079792534301,87.25992260246929,19.50475132714736,16.321418176633937,0.0,0.0,0.0,0.0
41,2056.0,0.0,0.0953865283562005,0.0919798666291934,0.0,0.0,0.0,0.0,0.0,0.106287845882623,0.220751679910064,0.0,0.0,0.0,0.715398962671504,0.00647265728131361,0.12263982217225801,0.0,0.0034066617270071594,0.0,0.0,0.0,0.422426054148888,0.10628784588262301,0.0,0.0698365654036468,0.143079792534301,91.110172184431,22.895196068755702,16.92872445766396,0.0,0.0,0.109013175264229,0.0
42,2057.0,0.0,0.0953865283562005,0.0919798666291934,0.0,0.0,0.0,0.0,0.0,0.106287845882623,0.220751679910064,0.0,0.0,0.0,0.715398962671504,0.00647265728131361,0.12263982217225801,0.0,0.0034066617270071594,0.0,0.0,0.0,0.422426054148888,0.10628784588262301,0.0,0.0698365654036468,0.143079792534301,94.93776261292055,24.29620776927945,17.537935767385058,0.0,0.0,0.109013175264229,0.0
43,2058.0,0.0,0.0953865283562005,0.0919798666291934,0.0,0.0,0.0,0.0,0.0,0.106287845882623,0.220751679910064,0.0,0.0,0.0,0.715398962671504,0.00647265728131361,0.12263982217225801,0.45623289348670437,0.0034066617270071594,0.0,0.0,0.0,0.422426054148888,0.10628784588262301,0.0,0.0698365654036468,0.143079792534301,98.31643892394447,26.485351165811288,18.14911136211049,0.0,0.0,0.109013175264229,0.0
44,2059.0,0.0,0.0953865283562005,0.0919798666291934,0.0,0.0,0.0,0.08918790790406396,0.0,0.106287845882623,0.220751679910064,0.0,0.0,0.0,0.715398962671504,0.00647265728131361,0.12263982217225801,0.45623289348670437,0.0034066617270071594,0.0,0.0,0.0,0.422426054148888,0.10628784588262301,0.0,0.0698365654036468,0.143079792534301,101.72039065383802,27.368647658965983,18.69911136211049,0.0,0.0,0.109013175264229,0.0
45,2060.0,0.0,0.0953865283562005,0.0919798666291934,0.0,0.0,0.0,0.24040477726292397,0.0,0.106287845882623,0.220751679910064,0.0,0.0,0.0,0.715398962671504,0.00647265728131361,0.12263982217225801,0.545065876321146,0.0034066617270071594,0.0,0.0,0.0,0.422426054148888,0.10628784588262301,0.0,0.0698365654036468,0.143079792534301,105.13604754076239,28.183066031829235,19.21565244218467,0.0,0.0,0.109013175264229,0.0
46,2061.0,0.0,0.0953865283562005,0.0919798666291934,0.0,0.0,0.0,0.811033787348325,0.0,0.106287845882623,0.220751679910064,0.0,0.0,0.0,0.715398962671504,0.00647265728131361,0.12263982217225801,0.545065876321146,0.0034066617270071594,0.0,0.0,0.0,0.422426054148888,0.10628784588262301,0.8478384344015155,0.0698365654036468,0.143079792534301,107.06942703307325,30.118657678202457,19.76565244218467,0.0,0.0,0.109013175264229,0.0
47,2062.0,0.0,0.0953865283562005,0.0919798666291934,0.0,0.0,0.0,1.4775323760691235,0.0,0.106287845882623,0.220751679910064,0.0,0.0,0.0,0.715398962671504,0.00647265728131361,0.12263982217225801,0.545065876321146,0.0034066617270071594,0.0,0.0,0.0,0.422426054148888,0.10628784588262301,1.3424128623087728,0.0698365654036468,0.143079792534301,109.65704280105494,31.348762322631355,20.31565244218467,0.0,0.129453145626272,0.109013175264229,0.0
48,2063.0,0.0,0.0953865283562005,0.0919798666291934,0.0,0.0,0.0,2.065281501251122,0.0,0.106287845882623,0.220751679910064,0.0,0.0,0.0,0.715398962671504,0.00647265728131361,0.12263982217225801,0.545065876321146,0.0034066617270071594,0.0,0.0,0.0,0.422426054148888,0.10628784588262301,1.9305026114919728,0.0698365654036468,0.143079792534301,112.19916993329646,32.78902827773501,20.86565244218467,0.0,0.129453145626272,0.109013175264229,0.0
49,2064.0,0.0,0.0953865283562005,0.0919798666291934,0.0,0.0,0.0,2.635634035086686,0.0,0.106287845882623,0.220751679910064,0.0018129302901915428,0.0,0.0,0.715398962671504,0.00647265728131361,0.12263982217225801,0.545065876321146,0.0034066617270071594,0.15670643944233,0.0,0.0,0.422426054148888,0.10628784588262301,2.18026350528458,0.0698365654036468,0.143079792534301,114.64332045894794,35.79806576203728,21.415652442184673,0.0,0.129453145626272,0.109013175264229,0.0
50,2065.0,0.0333852849246702,0.0953865283562005,0.0919798666291934,0.0,0.159091102651234,0.0,4.635634035086686,0.0,0.106287845882623,0.220751679910064,0.0436052701056917,0.0,0.0735838933033547,0.715398962671504,0.00647265728131361,0.12263982217225801,0.545065876321146,0.0034066617270071594,0.15670643944233,0.0,0.187366394985394,0.422426054148888,0.10628784588262301,2.18026350528458,0.0698365654036468,0.143079792534301,116.86643111423118,39.98481381524844,21.96565244218467,0.102199851810215,0.129453145626272,0.109013175264229,0.0
51,2066.0,0.0333852849246702,0.0953865283562005,0.0919798666291934,0.0,0.159091102651234,0.0,6.635634035086686,0.0,0.106287845882623,0.220751679910064,0.0436052701056917,0.0,0.0735838933033547,0.715398962671504,0.00647265728131361,0.12263982217225801,0.545065876321146,0.0034066617270071594,0.15670643944233,0.0,0.187366394985394,0.422426054148888,0.10628784588262301,2.18026350528458,0.0698365654036468,0.143079792534301,119.44934899526176,42.67928017164863,22.515652442184667,0.102199851810215,0.129453145626272,0.109013175264229,0.0
52,2067.0,0.0333852849246702,0.0953865283562005,0.0919798666291934,0.0,0.159091102651234,0.0,8.635634035086685,0.0953865283562005,0.106287845882623,0.220751679910064,0.0436052701056917,0.0,0.0735838933033547,0.715398962671504,0.00647265728131361,0.12263982217225801,0.545065876321146,0.0034066617270071594,0.15670643944233,0.0,0.187366394985394,0.422426054148888,0.10628784588262301,2.18026350528458,0.0698365654036468,0.143079792534301,121.73229553051242,48.29051450859392,22.64518755563495,0.102199851810215,0.129453145626272,0.109013175264229,0.0
53,2068.0,0.0333852849246702,0.0953865283562005,0.0919798666291934,0.0,0.159091102651234,0.0,9.80000000000011,0.0953865283562005,0.106287845882623,0.22075167991006397,0.0436052701056917,0.0,0.0735838933033547,0.715398962671504,0.00647265728131361,0.12263982217225801,0.545065876321146,0.0034066617270071594,0.15670643944233,0.0851665431751791,0.187366394985394,0.422426054148888,0.10628784588262301,2.18026350528458,0.0698365654036468,0.143079792534301,122.08601515014355,53.93680424027143,22.69518755563495,0.102199851810215,0.129453145626272,0.109013175264229,0.111057172300433
54,2069.0,0.0333852849246702,0.0953865283562005,0.0919798666291934,0.219729681391962,0.159091102651234,0.0,10.0,0.0953865283562005,0.106287845882623,0.22075167991006397,0.0436052701056917,0.126727816244666,0.0735838933033547,0.715398962671504,0.00647265728131361,0.12263982217225801,0.545065876321146,0.0034066617270071594,0.15670643944233,0.0851665431751791,0.187366394985394,0.422426054148888,0.10628784588262301,2.18026350528458,0.0698365654036468,0.143079792534301,124.52464379373811,57.36580067361264,22.745187555634953,0.102199851810215,0.129453145626272,0.109013175264229,0.111057172300433
55,2070.0,0.0333852849246702,0.0953865283562005,0.0919798666291934,0.219729681391962,0.159091102651234,2.0,10.2,0.0953865283562005,0.106287845882623,0.22075167991006397,0.0436052701056917,0.126727816244666,0.0735838933033547,0.715398962671504,0.00647265728131361,0.12263982217225801,0.545065876321146,0.0034066617270071594,0.15670643944233,0.0851665431751791,0.187366394985394,0.422426054148888,0.10628784588262301,2.18026350528458,0.0698365654036468,0.143079792534301,126.267857863861,61.70030918120684,22.795187555634957,0.102199851810215,0.129453145626272,0.109013175264229,0.111057172300433
