,y,Amarti-Neshe,Aswan 1,Aswan 2,Baro,Bedden,Birbir,Chemoga Yeda,Dagash,Dal,Esna,Finchaa,Geba,Genji,High Aswan Dam,Jebel Aulia,Kajbar,Karadobi,Kashm El Girba ,Lake Tana - Beles,Lakki,Large hydropower plant (Dam),Lower Dabus,Lower Dedessa,Medium hydropower plant (Run-of river),Merowe,Mograt,Naga Hamadi,New Assiut Barrage,Renaissance,Roseires,Sabaloka,Sennar,Shereik,Sor,Tams,Tekeze 1,Tekeze 2,Tis Abay 1,Tis Abay 2,Upper Atbara,Upper Dabus
30,2045.0,1.0097,8.3886,8.089,10.9907,13.9433,0.0,0.0,9.3473,19.4136,2.3936,1.6118,0.0,0.0,45.3459,0.3955,10.7853,0.0,0.2157,6.1087,10.0432,46.3463,0.0,0.0,1.6028,33.1627,4.6592,1.9174,0.9509,53.4936,4.0445,6.1416,0.3895,12.4193,0.0559,13.338,6.5286,10.1164,0.2394,2.3368,2.6234,0.0
31,2046.0,0.6439,8.3886,8.089,13.6554,13.9433,0.0,0.0,9.3473,19.4136,2.3936,1.6118,0.0,0.0,45.3459,0.3955,10.7853,0.0,0.2157,5.0713,10.0432,43.6785,0.0,0.0,1.4243,33.1627,4.6592,1.9174,0.9509,53.4936,4.0445,6.1416,0.3895,12.4193,0.0515,14.9796,6.5286,8.2696,0.1527,2.0723,2.6234,0.0
32,2047.0,0.8744,8.3886,8.089,13.6554,13.9433,0.0,0.0,9.3473,19.4136,2.3936,1.7675,0.0,0.0,45.3459,0.3955,10.7853,0.0,0.2157,5.0598,10.0432,43.7946,0.0,0.0,1.0083,33.1627,4.6592,1.9174,0.9509,53.4936,4.0445,6.1416,0.3895,12.4193,0.0559,9.423,6.5286,8.2696,0.2073,2.3368,2.6234,0.0
33,2048.0,0.6439,8.3886,8.089,13.6907,13.9433,0.0,0.0,9.3473,19.4136,2.3936,1.6118,0.0,0.0,45.3459,0.3955,10.7853,0.0,0.2157,6.1087,10.0432,46.4778,0.0,0.0,1.6028,33.1627,4.6592,1.9174,0.9509,38.2563,4.0445,6.1416,0.3895,12.4193,0.0515,14.9796,6.5286,11.3845,0.1527,2.0723,2.6234,0.0
34,2049.0,0.8744,8.3886,8.089,13.6907,13.9433,0.0,0.0,9.3473,19.4136,2.3936,1.6654,0.0,0.0,45.3459,0.3955,10.7853,0.0,0.2157,6.1087,10.0432,47.119,0.0,0.0,1.6028,33.1627,4.6592,1.9174,0.9509,39.0525,4.0445,6.1416,0.3895,12.4193,0.0559,14.9796,6.5286,11.3845,0.2073,2.2324,2.6234,0.0
35,2050.0,0.8744,8.3886,8.089,13.6907,13.9433,0.0,0.0,9.3473,19.4136,2.3936,1.7675,0.0,0.0,45.3459,0.3955,10.7853,21.9139,0.2157,5.0483,10.0432,47.3655,0.0,0.0,1.6028,33.1627,4.6592,1.9174,0.9509,35.545,4.0445,6.1416,0.3895,12.4193,0.0215,11.029,6.5286,11.3845,0.1202,2.2324,2.6234,0.0
36,2051.0,0.7376,8.3886,8.089,13.6907,13.9433,0.0,0.0,9.3473,19.4136,2.3936,1.1508,0.0,0.0,45.3459,0.3955,10.7853,21.9139,0.2157,4.419,10.0432,46.4764,0.0,0.0,1.6028,33.1627,4.6592,1.9174,0.9509,35.0828,4.0445,6.1416,0.3895,12.4193,0.0215,11.823,5.6538,10.8633,0.1202,2.3368,2.6234,0.0
37,2052.0,0.7376,8.3886,8.089,13.6907,13.9433,0.0,0.0,9.3473,19.4136,2.3936,1.1508,0.0,0.0,45.3459,0.3955,10.7853,21.8787,0.2157,3.9218,10.0432,44.1706,0.0,0.0,1.6028,33.1627,4.6592,1.9174,0.9509,33.5685,4.0445,6.1416,0.3895,12.4193,0.0171,11.3868,5.6538,10.8633,0.1202,2.3368,2.6234,0.0
38,2053.0,0.7376,8.3886,8.089,13.6907,13.9433,0.0,0.0,9.3473,19.4136,2.3936,1.1508,0.0,0.0,45.3459,0.3955,10.7853,21.9139,0.2157,4.6033,10.0432,44.2958,0.0,0.0,1.5312,33.1627,4.6592,1.9174,0.9509,31.1002,4.0445,6.1416,0.3895,12.4193,0.0171,10.4385,5.6538,11.3845,0.1202,2.3368,2.6234,0.0
39,2054.0,0.7376,8.3886,8.089,13.6907,13.9433,0.0,0.0,9.3473,19.4136,2.3936,0.9616,0.0,0.0,45.3459,0.3955,10.7853,18.8576,0.2157,3.8017,10.0432,44.1935,0.0,0.0,1.4214,33.1627,4.6592,1.9174,0.9509,33.5685,4.0445,6.1416,0.3895,12.4193,0.0171,12.3548,4.7693,11.3845,0.1202,2.2298,2.6234,0.0
40,2055.0,0.7376,8.3886,8.089,9.681,13.9433,0.0,0.0,9.3473,19.4136,2.3936,0.9616,0.0,3.0836,45.3459,0.3955,10.7853,21.9139,0.2157,2.9621,10.0432,42.0616,0.0,0.0,1.6028,33.1627,4.6592,1.9174,0.9509,33.5685,4.0445,6.1416,0.3895,12.4193,0.0215,13.338,6.2435,11.3845,0.1202,1.8465,2.6234,0.0
41,2056.0,0.7376,8.3886,8.089,13.4736,13.9433,0.0,0.0,9.3473,19.4136,2.3936,0.9616,0.0,3.0836,45.3459,0.3955,10.7853,20.9526,0.2157,2.3328,10.0432,39.8525,0.0,0.0,1.6028,33.1627,4.6592,1.9174,0.9509,33.5685,4.0445,6.1416,0.3895,12.4193,0.0215,11.8638,8.9878,7.1492,0.1202,1.6974,2.6234,0.0
42,2057.0,0.7376,8.3886,8.089,13.6907,13.9433,0.0,0.0,9.3473,19.4136,2.3936,1.1508,0.0,3.0836,45.3459,0.3955,10.7853,20.4751,0.2157,2.3723,10.0432,40.0436,0.0,0.0,1.6028,33.1627,4.6592,1.9174,0.9509,30.6589,4.0445,6.1416,0.3895,12.4193,0.0215,13.338,8.9878,10.1369,0.1749,1.6974,2.6234,0.0
43,2058.0,0.7376,8.3886,8.089,13.6907,13.9433,0.0,0.0,9.3473,19.4136,2.3936,1.1508,0.0,2.8012,45.3459,0.3955,10.7853,21.9139,0.2157,3.3932,10.0432,37.455,0.0,0.0,1.6028,33.1627,4.6592,1.9174,0.9509,33.5685,4.0445,6.1416,0.3895,12.4193,0.0456,13.338,8.9878,9.0165,0.1749,1.6974,2.6234,0.0
44,2059.0,0.7376,8.3886,8.089,11.628,13.9433,0.0,0.0,9.3473,19.4136,2.3936,1.1508,0.0,2.8012,45.3459,0.3955,10.7853,21.3056,0.2157,3.4223,10.0432,38.9226,0.0,8.2388,1.6028,33.1627,4.6592,1.9174,0.9509,33.5685,4.0445,6.1416,0.3895,12.4193,0.0215,11.8638,7.128,10.8633,0.1749,1.6974,2.6234,0.0
45,2060.0,0.7376,8.3886,8.089,13.6907,13.9433,0.0,0.0,9.3473,19.4136,2.3936,1.1508,0.0,3.0836,45.3459,0.3955,10.7853,21.9139,0.2138,3.3932,10.0432,37.5842,3.7449,8.2388,1.6028,32.6103,4.6592,1.9174,0.9509,30.6392,4.0445,6.1416,0.3721,12.4193,0.0456,11.88,7.128,11.3845,0.1749,1.6974,2.6234,0.0
46,2061.0,0.7376,8.3886,8.089,13.6907,13.9433,0.0,0.0,9.3473,18.7712,2.3936,1.1508,0.0,3.0836,45.3459,0.3955,10.7853,21.9139,0.2138,3.3932,10.0432,37.7732,3.7449,8.2388,0.6964,31.9793,4.6592,1.9174,0.9509,30.7425,3.8637,6.1416,0.3721,12.4193,0.0456,11.88,7.128,11.3845,0.1749,1.6974,2.6234,0.0
47,2062.0,0.7376,8.3886,8.089,11.8719,13.9433,0.0,0.0,9.3473,18.5783,2.3936,0.9616,0.0,3.0836,45.3459,0.3955,10.7853,21.9139,0.2138,4.0225,10.0432,37.9933,3.5735,7.3359,0.8519,31.9793,4.6592,1.9174,0.9509,33.5685,3.8637,6.1416,0.3721,11.8727,0.0456,10.4058,8.9878,9.0288,0.1749,1.8533,2.6234,0.0
48,2063.0,1.0999,8.3886,8.089,13.6907,13.9433,0.0,0.0,8.9294,18.5458,2.3936,1.1508,4.6889,2.4711,45.3459,0.3955,10.3032,19.2815,0.2138,3.3932,10.0432,38.7552,3.7449,5.9846,0.9587,32.389,4.5041,1.9174,0.9509,38.8416,3.8637,5.8671,0.3721,11.8727,0.0559,9.423,5.6538,8.2696,0.2073,1.8533,2.6234,0.0
49,2064.0,0.7376,8.3886,8.089,13.6253,13.8461,3.9038,0.0,8.9294,18.5458,2.3936,1.2987,3.656,1.9705,45.3459,0.3955,10.3032,16.7593,0.2138,4.0225,10.0432,40.3694,3.3345,8.2388,0.6625,31.9793,4.5041,1.9174,0.9509,42.3744,3.8637,5.8671,0.3721,11.8727,0.0559,9.423,4.7693,6.0411,0.2073,1.8508,2.6234,0.0
50,2065.0,0.8744,8.3886,8.089,13.6907,13.7468,4.7962,0.0,8.9294,18.5458,2.3936,0.9616,5.2767,3.0836,45.3459,0.3955,10.3032,19.6899,0.2138,3.3932,10.0432,38.916,3.7449,7.8705,0.9587,31.9793,4.5041,1.9174,0.9509,30.1393,3.8637,5.8671,0.3721,11.8727,0.0572,11.88,7.128,9.0288,0.2073,1.8533,2.6234,0.0
51,2066.0,1.1024,8.3886,8.089,13.2019,13.8486,4.7962,0.0,8.9294,18.5458,2.3936,1.5452,3.5456,2.4152,45.3459,0.3955,10.3032,21.9139,0.2138,5.6937,9.8595,30.2081,2.3558,5.1827,0.7603,31.9793,4.5041,1.9174,0.9509,44.1711,3.8637,5.8671,0.3721,11.8727,0.0464,11.853,7.1183,9.0288,0.2394,2.0807,2.6234,0.0
52,2067.0,1.2352,8.3886,8.089,12.5837,13.5246,3.8694,2.8442,8.9294,18.5458,2.3936,1.2987,3.3193,3.0836,45.3459,0.3955,10.3032,21.9139,0.2138,4.0225,10.0432,37.4331,3.3345,6.534,0.333,31.9793,4.5041,1.9174,0.9509,53.4936,3.8637,5.8671,0.3721,11.8727,0.0559,13.338,5.6538,9.0288,0.2394,2.3368,2.6234,0.0
53,2068.0,1.2378,8.3886,8.089,13.6907,13.6962,4.7962,3.1801,8.9294,19.4136,2.3936,1.6141,4.1848,3.0836,45.3459,0.3955,10.7853,19.6208,0.2138,4.6449,9.684,38.156,2.7203,7.3359,0.222,33.1627,4.5041,1.9174,0.9509,53.4936,3.8637,6.1416,0.3721,12.4193,0.0477,11.8638,8.0028,11.3845,0.2928,1.8465,2.6234,3.5317
54,2069.0,1.3901,8.3886,8.089,11.1745,13.9433,3.8694,2.5086,9.3473,19.4136,2.3936,1.4662,3.8329,2.4152,45.3459,0.3955,10.7853,17.2888,0.2138,4.6449,9.2451,40.4104,3.209,7.3359,0.2544,31.9793,4.5041,1.9174,0.9509,53.4936,4.0445,6.1416,0.3721,12.4193,0.0567,13.338,6.5286,10.1369,0.2934,1.6974,2.6234,3.148
55,2070.0,1.1024,8.3886,8.089,13.6907,13.682,4.7962,2.8034,8.9294,18.5458,2.3936,1.5452,4.1848,3.0836,45.3459,0.3955,10.3032,21.9139,0.2138,5.0713,9.7462,39.7897,2.9592,7.3359,0.301,31.9793,4.5041,1.9174,0.9509,42.3744,3.8637,5.8671,0.3721,11.8727,0.0567,11.88,8.9878,9.0288,0.2614,2.0765,2.6234,2.3535
