,y,Amarti-Neshe,Aswan 1,Aswan 2,Baro,Bedden,Dagash,Dal,Esna,Finchaa,High Aswan Dam,Jebel Aulia,Kajbar,Kashm El Girba ,Lake Tana - Beles,Lakki,Large hydropower plant (Dam),Medium hydropower plant (Run-of river),Merowe,Mograt,Naga Hamadi,New Assiut Barrage,Renaissance,Roseires,Sabaloka,Sennar,Shereik,Sor,Tekeze 1,Tekeze 2,Tis Abay 1,Tis Abay 2,Upper Atbara
44,2059.0,0.6439,8.3886,8.089,10.0299,12.7476,8.9294,16.6352,2.3936,0.0,45.3459,0.3192,10.3032,0.0,5.0713,9.6199,32.8369,1.2712,23.4785,4.5041,1.9174,0.9509,28.0211,0.0,5.2627,0.0,11.0001,0.0318,4.1634,9.0288,0.2061,1.4658,2.6234
45,2060.0,0.7792,8.3886,8.089,11.5886,12.9379,9.3473,16.6352,2.3936,0.0,45.3459,0.3192,9.2418,0.0,3.3817,8.7978,29.6356,1.2712,23.4785,4.5041,1.9174,0.9509,24.6659,0.0,5.8671,0.0,10.5496,0.0215,4.1634,7.0208,0.1202,1.4658,2.6234
46,2061.0,0.5071,8.3886,8.089,10.0299,12.3502,8.0095,16.6352,2.3936,0.0,45.3459,0.3192,9.2418,0.0,4.442,9.2826,32.1239,0.6013,23.4785,4.5041,1.9174,0.9509,24.6659,0.0,5.2627,0.0,11.3923,0.0215,4.1634,6.1346,0.1202,1.4658,2.6234
47,2062.0,0.5071,8.3886,8.089,10.0299,11.4655,6.4932,16.6352,2.3936,0.0,45.3459,0.2721,9.2418,0.0,3.3817,9.7462,32.4224,0.6013,22.3304,4.0074,1.9174,0.9509,23.1982,0.0,5.7963,0.0,10.4438,0.0215,4.1634,8.1006,0.1202,1.8533,2.2433
48,2063.0,0.6424,8.3886,8.089,8.2096,12.1916,8.0095,13.6367,2.3936,0.0,45.3459,0.2721,9.2418,0.0,3.3817,8.5334,33.176,0.7603,21.0704,4.0074,1.9174,0.9509,21.2961,0.0,5.2627,0.0,10.6344,0.0215,4.1634,9.0288,0.1202,1.6233,2.2433
49,2064.0,0.5071,8.3886,8.089,7.8682,12.9011,7.3486,13.4859,2.3936,0.0,45.3459,0.2721,9.2418,0.0,4.442,7.4719,33.7592,0.7603,20.3367,3.3402,1.9174,0.9509,20.1738,0.0,5.2627,0.0,10.0669,0.0215,4.1634,9.0288,0.1202,0.8525,2.2433
50,2065.0,0.5071,8.3886,8.089,6.3222,10.386,8.0095,11.5544,2.3936,0.0,45.3459,0.2721,7.4922,0.0,4.442,9.3334,32.8295,0.7603,20.3367,4.0074,1.9174,0.9509,19.3824,0.0,5.2627,0.0,9.5935,0.0223,4.1634,7.7757,0.1202,0.8525,2.2433
51,2066.0,0.9656,8.3886,8.089,11.678,9.4753,6.4932,11.5544,2.3936,0.0,45.3459,0.2721,7.4922,0.0,5.4793,9.7462,23.2641,0.6013,22.1291,3.3402,1.9174,0.9509,28.0915,0.0,4.2664,0.0,10.0987,0.0223,6.2435,8.594,0.1202,2.0024,2.2433
52,2067.0,1.3901,8.3886,8.089,9.9581,9.0172,7.403,18.8158,2.3936,0.0,45.3459,0.3386,10.3032,0.0,3.3932,9.5978,23.2056,0.1749,23.2655,4.5041,1.9174,0.9509,53.4936,0.0,5.8671,0.0,10.6609,0.0635,5.6376,6.0206,0.261,1.8423,2.2967
53,2068.0,1.0072,8.3886,8.089,11.2392,9.3752,8.9092,18.5458,2.3936,0.0,45.3459,0.2721,7.4922,0.0,5.4793,8.6706,17.3221,0.0954,23.9561,3.3402,1.9174,0.9509,33.4718,0.0,5.2627,0.0,11.8346,0.0477,7.7015,9.0165,0.2604,2.0807,2.2433
54,2069.0,0.6439,8.3886,8.089,5.5767,10.1313,8.3229,15.3545,2.3936,0.0,45.3459,0.3516,9.2418,0.0,5.6937,6.9722,21.9411,0.1426,23.2655,4.5041,1.9174,0.9509,51.0255,0.0,4.6516,0.0,11.8727,0.0325,8.0028,3.2279,0.1527,2.0807,2.2433
55,2070.0,0.2766,8.3886,8.089,5.5767,9.1339,8.9193,18.5038,2.3936,0.0,45.3459,0.3192,7.4922,0.0,5.6937,5.5228,25.1341,0.1749,26.4073,4.0549,1.9174,0.9509,47.4064,0.0,4.6516,0.0,11.8346,0.0223,6.7391,6.0411,0.1202,2.0807,2.2433
