,y,Amarti-Neshe,Aswan 1,Aswan 2,Baro,Bedden,Birbir,Chemoga Yeda,Dagash,Dal,Esna,Finchaa,Genji,High Aswan Dam,Jebel Aulia,Kajbar,Karadobi,Kashm El Girba ,Lake Tana - Beles,Lakki,Large hydropower plant (Dam),Lower Dedessa,Medium hydropower plant (Run-of river),Merowe,Mograt,Naga Hamadi,New Assiut Barrage,Renaissance,Roseires,Sabaloka,Sennar,Shereik,Sor,Sor 2,Tams,Tekeze 1,Tekeze 2,Tis Abay 1,Tis Abay 2,Upper Atbara,Upper Mandaya
30,2045.0,1.0097,8.3886,8.089,13.6907,13.9433,0.0,0.0,9.3473,19.4136,2.3936,1.7675,0.0,45.3459,0.3955,10.7853,19.3749,0.0,6.3945,10.0432,46.111,8.2388,1.1643,33.1627,4.6592,1.9174,0.9509,52.7821,4.0445,6.1416,0.0,12.4193,0.0567,0.0,13.311,8.9878,11.3845,0.2394,2.0807,2.6234,0.0
31,2046.0,1.3901,8.3886,8.089,13.6907,13.9433,0.0,0.0,9.3473,19.4136,2.3936,1.7675,0.0,45.3459,0.3955,10.7853,21.9139,0.0,6.3945,10.0432,41.5364,8.2388,1.6028,33.1627,4.6592,1.9174,0.9509,53.4936,0.0,6.1416,0.0,12.4193,0.0714,0.0,14.9796,8.9878,11.3845,0.3296,2.3368,2.6234,0.0
32,2047.0,1.3901,8.3886,8.089,13.6907,13.9433,0.0,0.0,9.3473,19.4136,2.3936,1.7675,0.0,45.3459,0.3955,10.7853,21.9139,0.0,6.3945,10.0432,42.7844,8.2388,1.6028,33.1627,4.6592,1.9174,0.9509,53.4936,0.0,6.1416,0.0,12.4193,0.051,0.0,14.9796,8.9878,11.3845,0.2922,2.3368,2.6234,0.0
33,2048.0,0.7792,8.3886,8.089,13.6554,13.9433,0.0,0.0,9.3473,19.4136,2.3936,1.2618,0.0,45.3459,0.3955,10.7853,21.9139,0.0,6.3945,10.0432,43.1682,8.2388,1.6028,33.1627,4.6592,1.9174,0.9509,53.4936,0.0,6.1416,0.0,12.4193,0.0714,0.0,14.9796,8.9878,11.3845,0.2934,2.0723,2.6234,0.0
34,2049.0,1.2378,8.3886,8.089,13.6907,13.9433,0.0,0.0,9.3473,19.4136,2.3936,1.6141,0.0,45.3459,0.3955,10.7853,21.9139,0.0,5.6707,10.0432,42.6794,7.3359,1.6028,33.1627,4.6592,1.9174,0.9509,53.4936,0.0,6.1416,0.0,12.4193,0.0714,0.0,14.9796,8.9878,11.3845,0.2934,2.0723,2.6234,0.0
35,2050.0,1.0097,8.3886,8.089,13.6554,13.9433,0.0,0.0,9.3473,19.4136,2.3936,1.2987,0.0,45.3459,0.3955,10.7853,21.9139,0.0,4.6449,10.0432,46.7824,7.3359,1.6028,33.1627,4.6592,1.9174,0.9509,53.2828,0.0,6.1416,0.0,12.4193,0.0559,0.0,14.9796,6.5286,11.3845,0.2394,2.3368,2.6234,0.0
36,2051.0,1.3901,8.3886,8.089,13.6907,13.9433,0.0,0.0,9.3473,19.4136,2.3936,1.7675,0.0,45.3459,0.3955,10.7853,21.9139,0.0,6.3945,10.029,39.9359,7.3359,1.4272,33.1627,4.6592,1.9174,0.9509,53.4936,0.0,6.1416,0.0,12.4193,0.0714,0.0,13.338,8.9878,11.3845,0.2934,2.3368,2.6234,0.0
37,2052.0,1.3901,8.3886,8.089,13.6907,13.9433,0.0,0.0,9.3473,19.4136,2.3936,1.7675,0.0,45.3459,0.3955,10.7853,21.9139,0.0,6.3945,10.0432,35.7304,7.5349,1.6028,33.1627,4.6592,1.9174,0.9509,53.4936,0.0,6.1416,0.0,12.4193,0.0714,0.0,14.9796,8.9878,11.3845,0.3296,2.0807,2.6234,0.0
38,2053.0,0.7596,8.3886,8.089,13.6907,13.9433,0.0,0.0,9.3473,19.4136,2.3936,0.0,0.0,45.3459,0.3955,10.7853,21.9139,0.0,4.0225,10.0432,47.3655,8.2388,1.6028,33.1627,4.6592,1.9174,0.9509,47.8294,0.0,6.1416,0.0,12.4193,0.0559,0.0,9.423,8.9878,11.3845,0.2073,1.47,2.6234,0.0
39,2054.0,0.8744,8.3886,8.089,13.6907,13.9433,0.0,0.0,9.3473,19.4136,2.3936,0.0,0.0,45.3459,0.3955,10.7853,21.9139,0.0,3.3932,10.0432,47.3655,8.2388,1.6028,33.1627,4.6592,1.9174,0.9509,43.9984,0.0,6.1416,0.0,12.4193,0.0559,0.0,9.423,8.9878,11.3845,0.2073,1.47,2.6234,0.0
40,2055.0,0.8744,8.3886,8.089,13.6907,13.9433,0.0,0.0,9.3473,19.4136,2.3936,0.0,0.0,45.3459,0.3955,10.7853,21.9139,0.0,4.0225,10.0432,47.0803,8.2388,1.6028,33.1627,4.6592,1.9174,0.9509,40.1592,0.0,6.1416,0.0,12.4193,0.0559,0.0,9.423,8.9878,11.3845,0.2073,1.47,2.6234,0.0
41,2056.0,0.6439,8.3886,8.089,13.6004,13.9433,0.0,0.0,9.3473,19.4136,2.3936,0.0,0.0,45.3459,0.3955,10.7853,21.9139,0.0,3.3932,10.0432,45.666,8.2388,1.6028,33.1627,4.6592,1.9174,0.9509,37.241,0.0,6.1416,0.0,12.4193,0.0215,0.0,7.9488,8.9878,11.3845,0.1202,1.0825,2.6234,0.0
42,2057.0,0.8744,8.3886,8.089,13.6907,13.9433,0.0,0.0,9.3473,19.4136,2.3936,0.0,0.0,45.3459,0.3955,10.7853,21.6628,0.0,3.3932,10.0432,46.5319,8.2388,1.6028,33.1627,4.6592,1.9174,0.9509,34.4119,0.0,6.1416,0.0,12.4193,0.0456,0.0,9.3606,7.128,11.3845,0.1749,1.47,2.6234,0.0
