r,l,t,m,y,RateOfActivity
REGION,S4D2,EGWA00000X,1,2036, 2.2887991350580865e+04
REGION,S1D1,EGWA00000X,1,2037, 2.8289298458678277e+04
REGION,S1D2,EGWA00000X,1,2037, 2.0516733898310311e+04
REGION,S2D1,EGWA00000X,1,2037, 3.2070740897819251e+04
REGION,S2D2,EGWA00000X,1,2037, 2.5097477757062396e+04
REGION,S3D1,EGWA00000X,1,2037, 3.0060516287174451e+04
REGION,S3D2,EGWA00000X,1,2037, 2.4840166160060850e+04
REGION,S4D1,EGWA00000X,1,2037, 2.5566952658523463e+04
REGION,S4D2,EGWA00000X,1,2037, 2.0083899851350896e+04
REGION,S1D1,EGWA00000X,1,2038, 2.9122628465351929e+04
REGION,S1D2,EGWA00000X,1,2038, 1.8501034936243206e+04
REGION,S2D1,EGWA00000X,1,2038, 3.3508503069871658e+04
REGION,S2D2,EGWA00000X,1,2038, 2.4993896091928433e+04
REGION,S3D1,EGWA00000X,1,2038, 3.1178958226053484e+04
REGION,S3D2,EGWA00000X,1,2038, 2.5632033810582940e+04
REGION,S4D1,EGWA00000X,1,2038, 2.6385107598072704e+04
REGION,S4D2,EGWA00000X,1,2038, 2.4623914076431396e+04
REGION,S1D1,EGWA00000X,1,2039, 2.9750595285662355e+04
REGION,S1D2,EGWA00000X,1,2039, 2.2361306938661775e+04
REGION,S2D1,EGWA00000X,1,2039, 3.4466934625097914e+04
REGION,S2D2,EGWA00000X,1,2039, 2.6821771688376284e+04
REGION,S3D1,EGWA00000X,1,2039, 3.2016106830023709e+04
REGION,S3D2,EGWA00000X,1,2039, 2.4336025716637072e+04
REGION,S4D1,EGWA00000X,1,2039, 2.7227961996967726e+04
REGION,S4D2,EGWA00000X,1,2039, 2.3170778853759944e+04
REGION,S1D1,EGWA00000X,1,2040, 2.8974057568725078e+04
REGION,S1D2,EGWA00000X,1,2040, 2.3232856171154104e+04
REGION,S2D1,EGWA00000X,1,2040, 3.3759034894955796e+04
REGION,S2D2,EGWA00000X,1,2040, 2.7731107834522692e+04
REGION,S3D1,EGWA00000X,1,2040, 3.0976475680997602e+04
REGION,S3D2,EGWA00000X,1,2040, 2.7450153466549375e+04
REGION,S4D1,EGWA00000X,1,2040, 2.7664822986362913e+04
REGION,S4D2,EGWA00000X,1,2040, 2.1260443432189815e+04
REGION,S1D1,EGWA00000X,1,2041, 2.8595680242352078e+04
REGION,S1D2,EGWA00000X,1,2041, 2.5572093044838104e+04
REGION,S2D1,EGWA00000X,1,2041, 3.3531182283585069e+04
REGION,S2D2,EGWA00000X,1,2041, 2.9029228907322784e+04
REGION,S3D1,EGWA00000X,1,2041, 3.0757498932343875e+04
REGION,S3D2,EGWA00000X,1,2041, 2.5165539032303972e+04
REGION,S4D1,EGWA00000X,1,2041, 2.8925478189182784e+04
REGION,S4D2,EGWA00000X,1,2041, 2.5372052899600734e+04
REGION,S1D1,EGWA00000X,1,2042, 3.1133326418685894e+04
REGION,S1D2,EGWA00000X,1,2042, 2.4953137441866984e+04
REGION,S2D1,EGWA00000X,1,2042, 3.4030102014561016e+04
REGION,S2D2,EGWA00000X,1,2042, 29523.7687251534
REGION,S3D1,EGWA00000X,1,2042, 3.1440637519082004e+04
REGION,S3D2,EGWA00000X,1,2042, 2.3818784068700570e+04
REGION,S4D1,EGWA00000X,1,2042, 2.9130735969705151e+04
REGION,S4D2,EGWA00000X,1,2042, 2.7764156549158080e+04
REGION,S1D1,EGWA00000X,1,2043, 3.1188163512511841e+04
REGION,S1D2,EGWA00000X,1,2043, 2.5374686544237105e+04
REGION,S2D1,EGWA00000X,1,2043, 3.4309671963300731e+04
REGION,S2D2,EGWA00000X,1,2043, 30039.5097575867
REGION,S3D1,EGWA00000X,1,2043, 3.2152528147334666e+04
REGION,S3D2,EGWA00000X,1,2043, 2.6908673158804631e+04
REGION,S4D1,EGWA00000X,1,2043, 2.5557154555037559e+04
REGION,S4D2,EGWA00000X,1,2043, 2.8333585885383662e+04
REGION,S1D1,EGWA00000X,1,2044, 3.0333954349311331e+04
REGION,S1D2,EGWA00000X,1,2044, 2.7030890907868310e+04
REGION,S2D1,EGWA00000X,1,2044, 3.5056706805183945e+04
REGION,S2D2,EGWA00000X,1,2044, 3.0657669839256996e+04
REGION,S3D1,EGWA00000X,1,2044, 3.2833803126259467e+04
REGION,S3D2,EGWA00000X,1,2044, 2.7162362355134283e+04
REGION,S4D1,EGWA00000X,1,2044, 2.5988244182328690e+04
REGION,S4D2,EGWA00000X,1,2044, 28870.0428087014
REGION,S1D1,EGWA00000X,1,2045, 3.2906965444768233e+04
REGION,S1D2,EGWA00000X,1,2045, 2.7086274161937665e+04
REGION,S2D1,EGWA00000X,1,2045, 3.5797552866748571e+04
REGION,S2D2,EGWA00000X,1,2045, 3.1297756489172774e+04
REGION,S3D1,EGWA00000X,1,2045, 3.3327485526412587e+04
REGION,S3D2,EGWA00000X,1,2045, 2.4097856004644771e+04
REGION,S4D1,EGWA00000X,1,2045, 3.1674715105429095e+04
REGION,S4D2,EGWA00000X,1,2045, 2.9408865429665668e+04
REGION,S1D1,EGWA00000X,1,2046, 3.1231604186004566e+04
REGION,S1D2,EGWA00000X,1,2046, 2.7472237159419776e+04
REGION,S2D1,EGWA00000X,1,2046, 3.6417883509932435e+04
REGION,S2D2,EGWA00000X,1,2046, 3.1743622220443260e+04
REGION,S3D1,EGWA00000X,1,2046, 3.4099644261131674e+04
REGION,S3D2,EGWA00000X,1,2046, 3.0677335828887717e+04
REGION,S4D1,EGWA00000X,1,2046, 2.6197507701849994e+04
REGION,S4D2,EGWA00000X,1,2046, 2.8371621128364841e+04
REGION,S1D1,EGWA00000X,1,2047, 3.3735116545950892e+04
REGION,S1D2,EGWA00000X,1,2047, 2.7255839404680457e+04
REGION,S2D1,EGWA00000X,1,2047, 3.6261012181707534e+04
REGION,S2D2,EGWA00000X,1,2047, 3.1953164255872733e+04
REGION,S3D1,EGWA00000X,1,2047, 3.4427944287481652e+04
