tech_code,tech_name,colour
SOFPVFC3,Finchaa FPV,palegoldenrod
SOFPVGB3,Geba FPV,palegoldenrod
SOFPVGJ3,Genji FPV,palegoldenrod
SOFPVKR3,Karadobi FPV,palegoldenrod
SOFPVLT3,Lake Tana - Beles FPV,palegoldenrod
SOFPVLD3,Lower Dabus FPV,palegoldenrod
SOFPVLS3,Lower Dedessa FPV,palegoldenrod
SOFPVRN3,Renaissance FPV,palegoldenrod
SOFPVS23,Sor 2 FPV,palegoldenrod
SOFPVTM3,Tams FPV,palegoldenrod
SOFPVT13,Tekeze 1 FPV,palegoldenrod
SOFPVT23,Tekeze 2 FPV,palegoldenrod
SOFPVUD3,Upper Dabus FPV,palegoldenrod
SOFPVUM3,Upper Mandaya FPV,palegoldenrod
SOFPVJB3,Juba Barrage FPV,palegoldenrod
SOFPVWA3,Wau FPV,palegoldenrod
SOFPVDG3,Dagash FPV,palegoldenrod
SOFPVDL3,Dal FPV,palegoldenrod
SOFPVJA3,Jebel Aulia FPV,palegoldenrod
SOFPVKB3,Kajbar FPV,palegoldenrod
SOFPVKS3,Kashm El Girba  FPV,palegoldenrod
SOFPVMR3,Merowe FPV,palegoldenrod
SOFPVMG3,Mograt FPV,palegoldenrod
SOFPVRS3,Roseires FPV,palegoldenrod
SOFPVSB3,Sabaloka FPV,palegoldenrod
SOFPVSN3,Sennar FPV,palegoldenrod
SOFPVSH3,Shereik FPV,palegoldenrod
SOFPVUA3,Upper Atbara FPV,palegoldenrod
