,y,Coal,Oil,Gas,Hydro,Nuclear,Solar CSP,Solar PV,Wind,Biomass,Coal Production,Crude Oil production,Crude oil Refinery,Natural gas extraction
26,2041.0,947.96,0.0,4398.79,8388.14,0.0,0.32,0.42,0.13,1449.27,0.0,0.0,0.0,1.24
27,2042.0,668.56,0.0,4715.05,8388.14,0.01,0.32,0.46,0.15,1557.27,0.0,0.0,0.0,1.25
28,2043.0,889.83,0.0,4031.98,8388.14,0.01,0.32,0.5,0.17,1611.28,0.0,0.0,0.0,1.24
29,2044.0,724.19,0.0,3922.24,8388.14,0.01,0.32,0.53,0.19,1611.28,0.0,0.0,0.0,0.84
30,2045.0,675.16,0.0,3774.43,8388.14,0.01,0.32,0.57,0.21,1611.28,0.0,0.0,0.0,0.73
31,2046.0,611.91,0.0,3747.26,8388.14,0.01,0.0,0.59,0.22,1611.28,0.0,0.0,0.0,0.76
32,2047.0,141.01,0.0,3863.0,8388.14,0.01,0.0,0.62,0.24,1611.28,0.0,0.0,0.0,0.78
33,2048.0,1150.35,0.0,3463.66,8388.14,0.01,0.02,0.65,0.27,1611.28,0.0,0.0,0.0,0.76
34,2049.0,920.51,0.0,3389.57,8388.14,0.01,0.02,0.68,0.28,1611.28,0.0,0.0,0.0,0.11
35,2050.0,755.13,0.0,3236.98,8388.14,0.01,0.37,0.73,0.3,1611.28,0.0,0.0,0.0,0.02
36,2051.0,682.98,0.0,3145.89,8388.14,0.01,0.9,0.77,0.32,1719.28,0.0,0.0,0.0,0.0
37,2052.0,630.18,0.0,3064.69,8388.14,0.01,1.43,0.8,0.34,1827.29,0.0,0.0,0.0,0.0
38,2053.0,542.21,0.0,2967.87,8388.14,0.01,2.09,0.83,0.35,1881.3,0.0,0.0,0.0,0.0
39,2054.0,421.74,0.0,2867.57,8388.14,0.01,3.27,0.85,0.37,1939.63,0.0,0.0,0.0,0.0
40,2055.0,310.89,0.0,2767.11,8388.14,0.01,4.01,0.88,0.39,1997.95,0.0,0.0,0.0,0.0
41,2056.0,0.0,0.0,2951.73,8388.14,0.01,4.75,0.9,0.4,1910.46,0.0,0.0,0.0,0.0
42,2057.0,0.0,0.0,2738.88,8388.14,0.01,5.49,0.91,0.41,1968.79,0.0,0.0,0.0,0.0
43,2058.0,0.0,0.0,2592.78,8388.14,0.01,6.23,0.92,0.43,2027.11,0.0,0.0,0.0,0.0
44,2059.0,0.0,0.0,2520.24,8388.14,0.01,6.39,0.96,0.44,2085.44,0.0,0.0,0.0,0.0
45,2060.0,0.0,0.0,2469.67,8388.14,0.01,6.55,0.97,0.45,2143.76,0.0,0.0,0.0,0.0
46,2061.0,0.0,0.0,2348.57,8388.14,0.01,6.7,0.99,0.48,2143.76,0.0,0.0,0.0,0.0
47,2062.0,0.0,0.0,2236.45,8388.14,0.01,6.86,1.02,0.5,2145.02,0.0,0.0,0.0,0.0
48,2063.0,0.0,0.0,2028.46,8388.14,0.01,7.02,1.04,0.52,2203.35,0.0,0.0,0.0,0.0
49,2064.0,0.0,0.0,1825.74,8388.14,0.01,7.18,1.07,0.54,2261.67,0.0,0.0,0.0,0.0
50,2065.0,0.0,0.0,1641.79,8388.14,0.01,7.34,1.09,0.57,2320.0,0.0,0.0,0.0,0.0
51,2066.0,0.0,0.0,1557.69,8388.14,0.01,7.5,1.11,0.57,2378.32,0.0,0.0,0.0,0.0
52,2067.0,0.0,0.0,1496.76,8388.14,0.01,7.66,1.12,0.58,2436.64,0.0,0.0,0.0,0.0
53,2068.0,0.0,0.0,1632.41,8388.14,0.01,7.82,1.13,0.59,2494.97,0.0,0.0,0.0,0.0
54,2069.0,0.0,0.0,2146.18,8388.14,0.01,7.98,1.17,0.59,2494.97,0.0,0.0,0.0,0.0
55,2070.0,0.0,0.0,3584.75,8388.14,0.01,8.13,1.18,0.6,2494.97,0.0,0.0,0.0,0.18
