r,t,e,y,AnnualTechnologyEmission
REGION,SDSOFPVDL3,SDREN,2043.0,-10.6524
REGION,SDSOFPVDL3,SDREN,2044.0,-10.6524
REGION,SDSOFPVDL3,SDREN,2045.0,-10.6524
REGION,SDSOFPVDL3,SDREN,2046.0,-10.6524
REGION,SDSOFPVDL3,SDREN,2047.0,-10.6524
REGION,SDSOFPVDL3,SDREN,2048.0,-10.6524
REGION,SDSOFPVDL3,SDREN,2049.0,-10.6524
REGION,SDSOFPVDL3,SDREN,2050.0,-10.6524
REGION,SDSOFPVDL3,SDREN,2051.0,-8.8572
REGION,SDSOFPVDL3,SDREN,2052.0,-8.8572
REGION,SDSOFPVDL3,SDREN,2053.0,-10.6524
REGION,SDSOFPVDL3,SDREN,2054.0,-8.8572
REGION,SDSOFPVDL3,SDREN,2055.0,-8.8572
REGION,SDSOFPVDL3,SDREN,2056.0,-8.8572
REGION,SDSOFPVDL3,SDREN,2057.0,-8.8572
REGION,SDSOFPVDL3,SDREN,2058.0,-8.8572
REGION,SDSOFPVDL3,SDREN,2059.0,-8.8572
REGION,SDSOFPVDL3,SDREN,2060.0,-8.8572
REGION,SDSOFPVDL3,SDREN,2061.0,-8.8572
REGION,SDSOFPVDL3,SDREN,2062.0,-10.6524
REGION,SDSOFPVDL3,SDREN,2063.0,-10.6524
REGION,SDSOFPVDL3,SDREN,2064.0,-7.149
REGION,SDSOFPVDL3,SDREN,2065.0,-10.6524
REGION,SDSOFPVDL3,SDREN,2066.0,-10.6524
REGION,SDSOFPVDL3,SDREN,2067.0,-8.0263
REGION,SDSOFPVDL3,SDREN,2068.0,-8.0263
REGION,SDSOFPVDL3,SDREN,2069.0,-6.3181
REGION,SDSOFPVDL3,SDREN,2070.0,-5.2326
REGION,SDSOFPVJA3,SDREN,2056.0,-0.2934
REGION,SDSOFPVJA3,SDREN,2057.0,-0.2934
REGION,SDSOFPVJA3,SDREN,2058.0,-0.2934
REGION,SDSOFPVJA3,SDREN,2059.0,-0.2934
REGION,SDSOFPVJA3,SDREN,2060.0,-0.2392
REGION,SDSOFPVJA3,SDREN,2061.0,-0.2392
REGION,SDSOFPVJA3,SDREN,2062.0,-0.1932
REGION,SDSOFPVJA3,SDREN,2063.0,-0.1932
REGION,SDSOFPVJA3,SDREN,2064.0,-0.141
REGION,SDSOFPVJA3,SDREN,2065.0,-0.141
REGION,SDSOFPVJA3,SDREN,2066.0,-0.1871
REGION,SDSOFPVJA3,SDREN,2067.0,-0.1153
REGION,SDSOFPVJA3,SDREN,2068.0,-0.141
REGION,SDSOFPVJA3,SDREN,2069.0,-0.1695
REGION,SDSOFPVJA3,SDREN,2070.0,-0.1674
REGION,SDSOFPVKB3,SDREN,2027.0,-0.3843
REGION,SDSOFPVKB3,SDREN,2028.0,-1.3334
REGION,SDSOFPVKB3,SDREN,2029.0,-6.8306
REGION,SDSOFPVKB3,SDREN,2030.0,-5.8949
REGION,SDSOFPVKB3,SDREN,2031.0,-5.8949
REGION,SDSOFPVKB3,SDREN,2032.0,-5.8949
REGION,SDSOFPVKB3,SDREN,2033.0,-5.8949
REGION,SDSOFPVKB3,SDREN,2034.0,-5.8949
REGION,SDSOFPVKB3,SDREN,2035.0,-5.8949
REGION,SDSOFPVKB3,SDREN,2036.0,-5.8949
REGION,SDSOFPVKB3,SDREN,2037.0,-5.8949
REGION,SDSOFPVKB3,SDREN,2038.0,-5.8949
REGION,SDSOFPVKB3,SDREN,2039.0,-5.8949
REGION,SDSOFPVKB3,SDREN,2040.0,-5.8949
REGION,SDSOFPVKB3,SDREN,2041.0,-5.8949
REGION,SDSOFPVKB3,SDREN,2042.0,-5.8949
REGION,SDSOFPVKB3,SDREN,2043.0,-5.8949
REGION,SDSOFPVKB3,SDREN,2044.0,-5.8949
REGION,SDSOFPVKB3,SDREN,2045.0,-5.8949
REGION,SDSOFPVKB3,SDREN,2046.0,-5.8949
REGION,SDSOFPVKB3,SDREN,2047.0,-4.8348
REGION,SDSOFPVKB3,SDREN,2048.0,-5.8949
REGION,SDSOFPVKB3,SDREN,2049.0,-4.8348
REGION,SDSOFPVKB3,SDREN,2050.0,-4.8348
REGION,SDSOFPVKB3,SDREN,2051.0,-4.8348
REGION,SDSOFPVKB3,SDREN,2052.0,-4.6393
REGION,SDSOFPVKB3,SDREN,2053.0,-4.029
REGION,SDSOFPVKB3,SDREN,2054.0,-4.8348
REGION,SDSOFPVKB3,SDREN,2055.0,-4.8348
REGION,SDSOFPVKB3,SDREN,2056.0,-4.8348
REGION,SDSOFPVKB3,SDREN,2057.0,-5.8949
REGION,SDSOFPVKB3,SDREN,2058.0,-4.8348
REGION,SDSOFPVKB3,SDREN,2059.0,-4.8348
REGION,SDSOFPVKB3,SDREN,2060.0,-4.8348
REGION,SDSOFPVKB3,SDREN,2061.0,-5.8949
REGION,SDSOFPVKB3,SDREN,2062.0,-4.8348
REGION,SDSOFPVKB3,SDREN,2063.0,-3.8957
REGION,SDSOFPVKB3,SDREN,2064.0,-3.8957
REGION,SDSOFPVKB3,SDREN,2065.0,-3.8957
REGION,SDSOFPVKB3,SDREN,2066.0,-2.8442
REGION,SDSOFPVKB3,SDREN,2067.0,-3.4249
REGION,SDSOFPVKB3,SDREN,2068.0,-2.3647
REGION,SDSOFPVKB3,SDREN,2069.0,-2.3647
REGION,SDSOFPVKB3,SDREN,2070.0,-3.4163
REGION,SDSOFPVKS3,SDREN,2038.0,-0.1517
REGION,SDSOFPVKS3,SDREN,2039.0,-0.1517
REGION,SDSOFPVKS3,SDREN,2040.0,-0.1517
REGION,SDSOFPVKS3,SDREN,2041.0,-0.1517
REGION,SDSOFPVKS3,SDREN,2042.0,-0.1517
REGION,SDSOFPVKS3,SDREN,2043.0,-0.1517
REGION,SDSOFPVKS3,SDREN,2044.0,-0.1517
REGION,SDSOFPVKS3,SDREN,2045.0,-0.1258
REGION,SDSOFPVKS3,SDREN,2046.0,-0.1258
REGION,SDSOFPVKS3,SDREN,2047.0,-0.1258
REGION,SDSOFPVKS3,SDREN,2048.0,-0.1258
REGION,SDSOFPVKS3,SDREN,2049.0,-0.1258
REGION,SDSOFPVKS3,SDREN,2050.0,-0.1258
REGION,SDSOFPVKS3,SDREN,2051.0,-0.1258
REGION,SDSOFPVKS3,SDREN,2052.0,-0.1258
REGION,SDSOFPVKS3,SDREN,2053.0,-0.1258
REGION,SDSOFPVKS3,SDREN,2054.0,-0.1517
REGION,SDSOFPVKS3,SDREN,2055.0,-0.1517
REGION,SDSOFPVKS3,SDREN,2056.0,-0.1517
REGION,SDSOFPVKS3,SDREN,2057.0,-0.1517
REGION,SDSOFPVKS3,SDREN,2058.0,-0.1517
REGION,SDSOFPVKS3,SDREN,2059.0,-0.1517
REGION,SDSOFPVKS3,SDREN,2060.0,-0.1517
REGION,SDSOFPVKS3,SDREN,2061.0,-0.1258
REGION,SDSOFPVKS3,SDREN,2062.0,-0.1028
REGION,SDSOFPVKS3,SDREN,2063.0,-0.1028
