r,t,y,AnnualVariableOperatingCost
REGION,EGCO00P00X,2036, 1.6287786311679984e-04
REGION,EGCO00P00X,2037, 1.6828540817227710e-04
REGION,EGCO00P00X,2038, 1.7387248372359671e-04
REGION,EGCO00P00X,2039, 1.7964505018321984e-04
REGION,EGCO00P00X,2040, 1.8560926584930298e-04
REGION,EGCO00P00X,2041, 0.000194871168215183
REGION,EGCO00P00X,2042, 2.0459523950912086e-04
REGION,EGCO00P00X,2043, 2.1480454196062612e-04
REGION,EGCO00P00X,2044, 2.2552328860446087e-04
REGION,EGCO00P00X,2045, 0.000236776900705824
REGION,EGCO00P00X,2046, 2.4859206805104506e-04
REGION,EGCO00P00X,2047, 2.6099681224679136e-04
REGION,EGCO00P00X,2048, 2.7402055317790608e-04
REGION,EGCO00P00X,2049, 0.000287694178781484
REGION,EGCO00P00X,2050, 3.0205011830268145e-04
REGION,EGCO00P00X,2051, 3.1712241920598392e-04
REGION,EGCO00P00X,2052, 3.3294682792436365e-04
REGION,EGCO00P00X,2053, 3.4956087463778896e-04
REGION,EGCO00P00X,2054, 3.6700396228221482e-04
REGION,EGCO00P00X,2055, 3.8531746000009643e-04
REGION,EGCO00P00X,2056, 4.0454480125410230e-04
REGION,EGCO00P00X,2057, 4.2473158683668121e-04
REGION,EGCO00P00X,2058, 4.4592569301983223e-04
REGION,EGCO00P00X,2059, 4.6817738510152170e-04
REGION,EGCO00P00X,2060, 4.9153943661808808e-04
REGION,EGCO00P00X,2061, 5.1606725450532962e-04
REGION,EGCO00P00X,2062, 5.4181901050514582e-04
REGION,EGCO00P00X,2063, 5.6885577912935213e-04
REGION,EGCO00P00X,2064, 5.9724168250790684e-04
REGION,EGCO00P00X,2065, 0.000627044042465051
REGION,EGCO00P00X,2066, 6.5833354018405817e-04
REGION,EGCO00P00X,2067, 6.9118438383924247e-04
REGION,EGCO00P00X,2068, 7.2567448459282045e-04
REGION,EGCO00P00X,2069, 7.6188564137400340e-04
REGION,EGCO00P00X,2070, 7.9990373487856536e-04
REGION,EGLF00P00X,2015, 9.3784320000000181e-03
REGION,EGLF00P00X,2016, 9.2444544000000167e-03
REGION,EGLF00P00X,2017, 9.1104768000000134e-03
REGION,EGLF00P00X,2018, 8.9764992000000154e-03
REGION,EGLF00P00X,2019, 8.8425216000000140e-03
REGION,EGLF00P00X,2020, 8.7085440000000125e-03
REGION,EGLF00P00X,2021, 8.9095104000000182e-03
REGION,EGLF00P00X,2022, 9.1104768000000169e-03
REGION,EGLF00P00X,2023, 9.3114432000000226e-03
REGION,EGLF00P00X,2024, 9.5124096000000248e-03
REGION,EGLF00P00X,2025, 9.7133760000000218e-03
REGION,EGLF00P00X,2026, 0.00991434240000002
REGION,EGLF00P00X,2027, 1.0115308800000018e-02
REGION,EGLF00P00X,2028, 1.0316275200000002e-02
REGION,EGLF00P00X,2029, 1.0517241600000001e-02
REGION,EGLF00P00X,2030, 1.0718208000000002e-02
REGION,EGLF00P00X,2031, 1.0852185600000003e-02
REGION,EGLF00P00X,2032, 1.0986163200000001e-02
REGION,EGLF00P00X,2033, 1.1120140799999989e-02
REGION,EGLF00P00X,2034, 1.1254118399999988e-02
REGION,EGLF00P00X,2035, 1.1388096000000006e-02
REGION,EGLF00P00X,2036, 1.1522073599999990e-02
REGION,EGLF00P00X,2037, 1.1656051199999989e-02
REGION,EGLF00P00X,2038, 1.1790028800000017e-02
REGION,EGLF00P00X,2039, 1.1924006400000004e-02
REGION,EGLF00P00X,2040, 1.2057984000000002e-02
REGION,EGLF00P00X,2041, 1.2057983999999990e-02
REGION,EGLF00P00X,2042, 1.2057984000000004e-02
REGION,EGLF00P00X,2043, 1.2057984000000015e-02
REGION,EGLF00P00X,2044, 1.2057983999999987e-02
REGION,EGLF00P00X,2045, 1.2057984000000016e-02
REGION,EGLF00P00X,2046, 1.2057983999999990e-02
REGION,EGLF00P00X,2047, 1.2057983999999990e-02
REGION,EGLF00P00X,2048, 1.2057983999999989e-02
REGION,EGLF00P00X,2049, 1.2057983999999990e-02
REGION,EGLF00P00X,2050, 1.2057984000000013e-02
REGION,EGLF00P00X,2051, 1.2070041983999989e-02
REGION,EGLF00P00X,2052, 1.2082112025984016e-02
REGION,EGLF00P00X,2053, 1.2094194138010016e-02
REGION,EGLF00P00X,2054, 1.2106288332148017e-02
REGION,EGLF00P00X,2055, 1.2118394620480094e-02
REGION,EGLF00P00X,2056, 1.2130513015100621e-02
REGION,EGLF00P00X,2057, 1.2142643528115685e-02
REGION,EGLF00P00X,2058, 1.2154786171643792e-02
REGION,EGLF00P00X,2059, 1.2166940957815479e-02
REGION,EGLF00P00X,2060, 1.2179107898773252e-02
REGION,EGLF00P00X,2061, 1.2191287006671988e-02
REGION,EGLF00P00X,2062, 1.2203478293678741e-02
REGION,EGLF00P00X,2063, 1.2215681771972426e-02
REGION,EGLF00P00X,2064, 1.2227897453744425e-02
REGION,EGLF00P00X,2065, 1.2240125351198096e-02
REGION,EGLF00P00X,2066, 1.2252365476549374e-02
REGION,EGLF00P00X,2067, 1.2264617842025899e-02
REGION,EGLF00P00X,2068, 1.2276882459867898e-02
REGION,EGLF00P00X,2069, 1.2289159342327794e-02
REGION,EGLF00P00X,2070, 1.2301448501670094e-02
REGION,EGHF00P00X,2015, 2.9616101052631610e-03
REGION,EGHF00P00X,2016, 2.9193013894736864e-03
REGION,EGHF00P00X,2017, 2.8769926736842144e-03
REGION,EGHF00P00X,2018, 2.8346839578947411e-03
REGION,EGHF00P00X,2019, 2.7923752421052674e-03
REGION,EGHF00P00X,2020, 2.7500665263157941e-03
REGION,EGHF00P00X,2021, 2.8135296000000062e-03
REGION,EGHF00P00X,2022, 2.8769926736842153e-03
REGION,EGHF00P00X,2023, 2.9404557473684282e-03
REGION,EGHF00P00X,2024, 3.0039188210526395e-03
REGION,EGHF00P00X,2025, 3.0673818947368494e-03
REGION,EGHF00P00X,2026, 3.1308449684210593e-03
REGION,EGHF00P00X,2027, 3.1943080421052697e-03
REGION,EGHF00P00X,2028, 3.2577711157894778e-03
REGION,EGHF00P00X,2029, 3.3212341894736878e-03
REGION,EGHF00P00X,2030, 3.3846972631578947e-03
REGION,EGHF00P00X,2031, 3.4270059789473697e-03
REGION,EGHF00P00X,2032, 3.4693146947368438e-03
REGION,EGHF00P00X,2033, 3.5116234105263162e-03
REGION,EGHF00P00X,2034, 0.00355393212631579
REGION,EGHF00P00X,2035, 3.5962408421052598e-03
REGION,EGHF00P00X,2036, 3.6385495578947339e-03
REGION,EGHF00P00X,2037, 3.6808582736842120e-03
REGION,EGHF00P00X,2038, 3.7231669894736896e-03
REGION,EGHF00P00X,2039, 3.7654757052631546e-03
REGION,EGHF00P00X,2040, 3.8077844210526370e-03
REGION,EGHF00P00X,2041, 3.8077844210526283e-03
REGION,EGHF00P00X,2042, 3.8077844210526375e-03
REGION,EGHF00P00X,2043, 3.8077844210526375e-03
REGION,EGHF00P00X,2044, 3.8077844210526288e-03
REGION,EGHF00P00X,2045, 3.8077844210526288e-03
REGION,EGHF00P00X,2046, 3.8077844210526375e-03
REGION,EGHF00P00X,2047, 3.8077844210526370e-03
REGION,EGHF00P00X,2048, 3.8077844210526288e-03
REGION,EGHF00P00X,2049, 3.8077844210526288e-03
REGION,EGHF00P00X,2050, 3.8077844210526375e-03
REGION,EGHF00P00X,2051, 3.8115922054736896e-03
REGION,EGHF00P00X,2052, 3.8154037976791634e-03
REGION,EGHF00P00X,2053, 3.8192192014768391e-03
REGION,EGHF00P00X,2054, 3.8230384206783216e-03
REGION,EGHF00P00X,2055, 3.8268614590989910e-03
REGION,EGHF00P00X,2056, 3.8306883205580849e-03
REGION,EGHF00P00X,2057, 3.8345190088786385e-03
REGION,EGHF00P00X,2058, 3.8383535278875276e-03
REGION,EGHF00P00X,2059, 3.8421918814154120e-03
REGION,EGHF00P00X,2060, 3.8460340732968282e-03
REGION,EGHF00P00X,2061, 3.8498801073701314e-03
REGION,EGHF00P00X,2062, 3.8537299874774915e-03
REGION,EGHF00P00X,2063, 3.8575837174649741e-03
REGION,EGHF00P00X,2064, 3.8614413011824325e-03
REGION,EGHF00P00X,2065, 3.8653027424836268e-03
REGION,EGHF00P00X,2066, 3.8691680452260912e-03
REGION,EGHF00P00X,2067, 3.8730372132713318e-03
REGION,EGHF00P00X,2068, 3.8769102504846013e-03
REGION,EGHF00P00X,2069, 3.8807871607350894e-03
REGION,EGHF00P00X,2070, 3.8846679478958110e-03
REGION,EGNG00P00X,2015, 5.5089473684210482e-03
REGION,EGNG00P00X,2016, 5.6411621052631583e-03
REGION,EGNG00P00X,2017, 5.7733768421052720e-03
REGION,EGNG00P00X,2018, 5.9055915789473692e-03
REGION,EGNG00P00X,2019, 6.0378063157894742e-03
REGION,EGNG00P00X,2020, 6.1700210526315809e-03
REGION,EGNG00P00X,2021, 6.3463073684210530e-03
REGION,EGNG00P00X,2022, 6.5225936842105269e-03
REGION,EGNG00P00X,2023, 6.6988800000000008e-03
REGION,EGNG00P00X,2024, 6.8751663157894747e-03
REGION,EGNG00P00X,2025, 7.0514526315789486e-03
REGION,EGNG00P00X,2026, 7.2277389473684233e-03
REGION,EGNG00P00X,2027, 7.4040252631578877e-03
REGION,EGNG00P00X,2028, 7.5803115789473616e-03
REGION,EGNG00P00X,2029, 7.7565978947368355e-03
REGION,EGNG00P00X,2030, 7.9328842105263267e-03
REGION,EGNG00P00X,2031, 8.1091705263158370e-03
REGION,EGNG00P00X,2032, 8.2854568421052554e-03
REGION,EGNG00P00X,2033, 8.4617431578947484e-03
REGION,EGNG00P00X,2034, 8.6380294736842136e-03
REGION,EGNG00P00X,2035, 8.8143157894736857e-03
REGION,EGNG00P00X,2036, 0.00899060210526316
REGION,EGNG00P00X,2037, 9.1668884210526335e-03
REGION,EGNG00P00X,2038, 9.3431747368421057e-03
REGION,EGNG00P00X,2039, 9.5194610526315830e-03
REGION,EGNG00P00X,2040, 9.6957473684210534e-03
REGION,EGNG00P00X,2041, 9.8720336842105273e-03
REGION,EGNG00P00X,2042, 1.0048320000000013e-02
REGION,EGNG00P00X,2043, 0.0102246063157895
REGION,EGNG00P00X,2044, 1.0400892631578975e-02
REGION,EGNG00P00X,2045, 1.0577178947368447e-02
REGION,EGNG00P00X,2046, 1.0753465263157923e-02
REGION,EGNG00P00X,2047, 1.0929751578947398e-02
REGION,EGNG00P00X,2048, 1.1106037894736871e-02
REGION,EGNG00P00X,2049, 1.1282324210526343e-02
REGION,EGNG00P00X,2050, 1.1458610526315822e-02
REGION,EGNG00P00X,2051, 1.1641948294736873e-02
REGION,EGNG00P00X,2052, 1.1828219467452663e-02
REGION,EGNG00P00X,2053, 1.2017470978931927e-02
REGION,EGNG00P00X,2054, 1.2209750514594770e-02
REGION,EGNG00P00X,2055, 1.2405106522828346e-02
REGION,EGNG00P00X,2056, 1.2603588227193614e-02
REGION,EGNG00P00X,2057, 1.2805245638828667e-02
REGION,EGNG00P00X,2058, 1.3010129569049927e-02
REGION,EGNG00P00X,2059, 1.3218291642154770e-02
REGION,EGNG00P00X,2060, 1.3429784308429196e-02
REGION,EGNG00P00X,2061, 1.3644660857364035e-02
REGION,EGNG00P00X,2062, 1.3862975431081932e-02
REGION,EGNG00P00X,2063, 1.4084783037979196e-02
REGION,EGNG00P00X,2064, 1.4310139566586879e-02
REGION,EGNG00P00X,2065, 1.4539101799652253e-02
REGION,EGNG00P00X,2066, 1.4771727428446674e-02
REGION,EGNG00P00X,2067, 1.5008075067301828e-02
REGION,EGNG00P00X,2068, 1.5248204268378670e-02
REGION,EGNG00P00X,2069, 1.5492175536672783e-02
REGION,EGNG00P00X,2070, 1.5740050345259517e-02
REGION,EGBM00X00X,2015, 1.0914939087272438e+02
REGION,EGBM00X00X,2016, 1.0213473518898542e+02
REGION,EGBM00X00X,2017, 9.5118625848286456e+01
REGION,EGBM00X00X,2018, 87.9396491502275
REGION,EGBM00X00X,2019, 8.0888196518648542e+01
REGION,EGBM00X00X,2020, 7.3836743887069588e+01
REGION,EGBM00X00X,2021, 7.3836743887069588e+01
REGION,EGBM00X00X,2022, 7.3836743887069588e+01
REGION,EGBM00X00X,2023, 7.3836743887069588e+01
REGION,EGBM00X00X,2024, 7.3836743887069318e+01
REGION,EGBM00X00X,2025, 7.3836743887069431e+01
REGION,EGBM00X00X,2026, 7.3836743887069417e+01
REGION,EGBM00X00X,2027, 7.3836743887069417e+01
REGION,EGBM00X00X,2028, 7.3836743887069431e+01
REGION,EGBM00X00X,2029, 7.3836743887069588e+01
REGION,EGBM00X00X,2030, 7.3836743887069431e+01
REGION,EGBM00X00X,2031, 8.0888196518648527e+01
REGION,EGBM00X00X,2032, 8.7939649150227282e+01
REGION,EGBM00X00X,2033, 9.4991101781806464e+01
REGION,EGBM00X00X,2034, 1.0204255441338542e+02
REGION,EGBM00X00X,2035, 1.0909400704496412e+02
REGION,EGBM00X00X,2036, 1.1614545967654306e+02
REGION,EGBM00X00X,2037, 123.196912308122
REGION,EGBM00X00X,2038, 1.3024836493970091e+02
REGION,EGBM00X00X,2039, 1.3729981757128019e+02
REGION,EGBM00X00X,2040, 1.4435127020285918e+02
REGION,EGBM00X00X,2041, 1.4435127020285881e+02
REGION,EGBM00X00X,2042, 1.4435127020285918e+02
REGION,EGBM00X00X,2043, 1.4435127020285915e+02
REGION,EGBM00X00X,2044, 1.4435127020285887e+02
REGION,EGBM00X00X,2045, 1.4435127020285884e+02
REGION,EGBM00X00X,2046, 1.4435127020285884e+02
REGION,EGBM00X00X,2047, 1.4435127020285884e+02
REGION,EGBM00X00X,2048, 1.4435127020285884e+02
REGION,EGBM00X00X,2049, 1.4435127020285884e+02
REGION,EGBM00X00X,2050, 1.4435127020285884e+02
REGION,EGBM00X00X,2051, 1.4858214178180620e+02
REGION,EGBM00X00X,2052, 1.5293993950812197e+02
REGION,EGBM00X00X,2053, 1.5742847116622758e+02
REGION,EGBM00X00X,2054, 1.6205165877407566e+02
REGION,EGBM00X00X,2055, 1.6681354201015952e+02
REGION,EGBM00X00X,2056, 1.7171828174332575e+02
REGION,EGBM00X00X,2057, 1.7677016366848741e+02
REGION,EGBM00X00X,2058, 1.8197360205140322e+02
REGION,EGBM00X00X,2059, 1.8733314358580782e+02
REGION,EGBM00X00X,2060, 1.9285347136624279e+02
REGION,EGBM00X00X,2061, 1.9853940898009134e+02
REGION,EGBM00X00X,2062, 2.0439592472235688e+02
REGION,EGBM00X00X,2063, 2.1042813593688822e+02
REGION,EGBM00X00X,2064, 2.1664131348785719e+02
REGION,EGBM00X00X,2065, 2.2304088636535477e+02
REGION,EGBM00X00X,2066, 2.2963244642917678e+02
REGION,EGBM00X00X,2067, 2.3642175329491261e+02
REGION,EGBM00X00X,2068, 2.4341473936662297e+02
REGION,EGBM00X00X,2069, 2.5061751502048230e+02
REGION,EGBM00X00X,2070, 2.5803637394395844e+02
REGION,EGCO00I00X,2026, 1.9200842576995137e+03
REGION,EGCO00I00X,2027, 2.4373651680814583e+03
REGION,EGCO00I00X,2028, 2.4492583085318365e+03
REGION,EGCO00I00X,2029, 2.4611846081056319e+03
REGION,EGCO00I00X,2030, 2.4731447376383403e+03
REGION,EGCO00I00X,2031, 2.4810628216417363e+03
REGION,EGCO00I00X,2032, 2.4890785506413545e+03
REGION,EGCO00I00X,2033, 2.4971953577996555e+03
REGION,EGCO00I00X,2034, 2.5054167966128543e+03
REGION,EGCO00I00X,2035, 2.9172078149568988e+03
REGION,EGCO00I00X,2036, 3.3237559851426213e+03
REGION,EGCO00I00X,2037, 3.7304066404198225e+03
REGION,EGCO00I00X,2038, 4.1371631832935254e+03
REGION,EGCO00I00X,2039, 4.5440291292319780e+03
REGION,EGCO00I00X,2040, 4.9510081104168839e+03
REGION,EGCO00I00X,2041, 5.5623594866108306e+03
REGION,EGCO00I00X,2042, 5.7705741649185775e+03
REGION,EGCO00I00X,2043, 5.9791271249120309e+03
REGION,EGCO00I00X,2044, 6.1880327622279110e+03
REGION,EGCO00I00X,2045, 6.3973061927236122e+03
REGION,EGCO00I00X,2046, 6.4050810145300729e+03
REGION,EGCO00I00X,2047, 6.4132056214736058e+03
REGION,EGCO00I00X,2048, 7027.49597457085
REGION,EGCO00I00X,2049, 7.2384074404125149e+03
REGION,EGCO00I00X,2050, 7.4497744081981036e+03
REGION,EGCO00I00X,2051, 7.6616171381446566e+03
REGION,EGCO00I00X,2052, 7.8739569040953747e+03
REGION,EGCO00I00X,2053, 8.0868160442314474e+03
REGION,EGCO00I00X,2054, 8.3002180143207588e+03
REGION,EGCO00I00X,2055, 7705.74851335181
REGION,EGCO00I00X,2056, 7.1116701476679309e+03
REGION,EGCO00I00X,2057, 7.7309717461424025e+03
REGION,EGCO00I00X,2058, 8.3510234272799535e+03
REGION,EGCO00I00X,2059, 8971.85513156305
REGION,EGCO00I00X,2060, 9.5934982974037612e+03
REGION,EGCO00I00X,2061, 9.8114631928256313e+03
REGION,EGCO00I00X,2062, 1.0030206131225681e+04
REGION,EGCO00I00X,2063, 1.0249763509637234e+04
REGION,EGCO00I00X,2064, 1.0470173546043423e+04
REGION,EGCO00I00X,2065, 1.0691476370479377e+04
REGION,EGCO00I00X,2066, 1.0913714120691666e+04
REGION,EGCO00I00X,2067, 1.1136931042583783e+04
REGION,EGCO00I00X,2068, 1.1361173595686792e+04
REGION,EGCO00I00X,2069, 1.1586490563906604e+04
REGION,EGCO00I00X,2070, 1.1812933171811881e+04
REGION,EGCO00X00X,2015, 3.6071748414239991e+01
REGION,EGCO00X00X,2016, 3.6428084729781226e+01
REGION,EGCO00X00X,2017, 5.7450250715266485e+01
REGION,EGCO00X00X,2018, 5.6703494762564119e+01
REGION,EGCO00X00X,2019, 6.1445926995175085e+01
REGION,EGCO00X00X,2020, 6.4419617886100625e+01
REGION,EGCO00X00X,2021, 6.4185341200496623e+01
REGION,EGCO00X00X,2022, 6.3942510413744344e+01
REGION,EGCO00X00X,2023, 6.3690823169353266e+01
REGION,EGCO00X00X,2024, 6.3429970219029471e+01
REGION,EGCO00X00X,2025, 8.3345586112980163e+02
REGION,EGCO00X00X,2026, 3.4633952323438905e+02
REGION,EGLF00I00X,2026, 2.1011655560677721e+02
REGION,EGLF00I00X,2027, 2484.82565484145
REGION,EGLF00I00X,2028, 4.7931601528747724e+03
REGION,EGLF00I00X,2029, 7.1327377753835472e+03
REGION,EGLF00I00X,2030, 1.2360113522395302e+04
REGION,EGLF00I00X,2031, 1.9395726338828175e+04
REGION,EGLF00I00X,2032, 1.9957751646918729e+04
REGION,EGLF00I00X,2033, 2.0527188355601025e+04
REGION,EGLF00I00X,2034, 2.1104036464875251e+04
REGION,EGLF00I00X,2035, 2.1688295974741413e+04
REGION,EGLF00I00X,2036, 2.2196521316340841e+04
REGION,EGLF00I00X,2037, 2.2710511080622771e+04
REGION,EGLF00I00X,2038, 2.1793845692296909e+04
REGION,EGLF00I00X,2039, 2.2300948666363285e+04
REGION,EGLF00I00X,2040, 2.2891766390048782e+04
REGION,EGLF00I00X,2041, 2.2828743318746627e+04
REGION,EGLF00I00X,2042, 2.2843609982710270e+04
REGION,EGLF00I00X,2043, 2.2858416055003137e+04
REGION,EGLF00I00X,2044, 2.2873161535625157e+04
REGION,EGLF00I00X,2045, 2.2887846424576397e+04
REGION,EGLF00I00X,2046, 2.2902470721856760e+04
REGION,EGLF00I00X,2047, 2.2917034427466420e+04
REGION,EGLF00I00X,2048, 2.2931537541405298e+04
REGION,EGLF00I00X,2049, 2.2945980063673371e+04
REGION,EGLF00I00X,2050, 2.2960361994270574e+04
REGION,EGLF00I00X,2051, 2.3003617440018370e+04
REGION,EGLF00I00X,2052, 2.3046923061169164e+04
REGION,EGLF00I00X,2053, 2.3090278989225848e+04
REGION,EGLF00I00X,2054, 2.3133685355858855e+04
REGION,EGLF00I00X,2055, 2.4684113859571262e+04
REGION,EGLF00I00X,2056, 2.4729869547053248e+04
REGION,EGLF00I00X,2057, 24775.6760691291
REGION,EGLF00I00X,2058, 2.4821533558140934e+04
REGION,EGLF00I00X,2059, 2.4867442146599511e+04
REGION,EGLF00I00X,2060, 2.4913401967183258e+04
REGION,EGLF00I00X,2061, 2.4963255119292851e+04
REGION,EGLF00I00X,2062, 2.5013171130331186e+04
