r,e,y,AnnualEmissions
REGION,SDCO2,2059.0,39.8004
REGION,SDCO2,2060.0,40.5354
REGION,SDCO2,2061.0,40.9761
REGION,SDCO2,2062.0,41.454
REGION,SDCO2,2063.0,41.8989
REGION,SDCO2,2064.0,42.313
REGION,SDCO2,2065.0,42.7336
REGION,SDCO2,2066.0,43.3451
REGION,SDCO2,2067.0,44.0929
REGION,SDCO2,2068.0,44.8194
REGION,SDCO2,2069.0,45.5922
REGION,SDCO2,2070.0,46.3649
REGION,SDREN,2015.0,0.0
REGION,SDREN,2016.0,0.0
REGION,SDREN,2017.0,0.0
REGION,SDREN,2018.0,0.0
REGION,SDREN,2019.0,0.0
REGION,SDREN,2020.0,0.0
REGION,SDREN,2021.0,-1417.3021
REGION,SDREN,2022.0,-679.2195
REGION,SDREN,2023.0,-433.6711
REGION,SDREN,2024.0,-390.348
REGION,SDREN,2025.0,-364.7404
REGION,SDREN,2026.0,-291.3881
REGION,SDREN,2027.0,-239.5719
REGION,SDREN,2028.0,-231.1497
REGION,SDREN,2029.0,-207.46
REGION,SDREN,2030.0,-238.2831
REGION,SDREN,2031.0,-252.9493
REGION,SDREN,2032.0,-281.4753
REGION,SDREN,2033.0,-318.7441
REGION,SDREN,2034.0,-354.1013
REGION,SDREN,2035.0,-356.4175
REGION,SDREN,2036.0,-381.1736
REGION,SDREN,2037.0,-407.7576
REGION,SDREN,2038.0,-435.6679
REGION,SDREN,2039.0,-463.2019
REGION,SDREN,2040.0,-505.6554
REGION,SDREN,2041.0,-533.87
REGION,SDREN,2042.0,-564.8292
REGION,SDREN,2043.0,-595.5196
REGION,SDREN,2044.0,-629.5515
REGION,SDREN,2045.0,-664.6825
REGION,SDREN,2046.0,-691.7996
REGION,SDREN,2047.0,-728.2619
REGION,SDREN,2048.0,-763.1135
REGION,SDREN,2049.0,-799.5394
REGION,SDREN,2050.0,-836.0069
REGION,SDREN,2051.0,-868.6756
REGION,SDREN,2052.0,-900.6384
REGION,SDREN,2053.0,-932.7729
REGION,SDREN,2054.0,-965.0568
REGION,SDREN,2055.0,-999.678
REGION,SDREN,2056.0,-1025.3756
REGION,SDREN,2057.0,-1054.893
REGION,SDREN,2058.0,-1084.4013
REGION,SDREN,2059.0,-1114.8421
REGION,SDREN,2060.0,-1155.0905
REGION,SDREN,2061.0,-1191.897
REGION,SDREN,2062.0,-1230.2654
REGION,SDREN,2063.0,-1272.7563
REGION,SDREN,2064.0,-1311.9102
REGION,SDREN,2065.0,-1353.3965
REGION,SDREN,2066.0,-1388.8666
REGION,SDREN,2067.0,-1422.6406
REGION,SDREN,2068.0,-1522.1628
REGION,SDREN,2069.0,-1504.9043
REGION,SDREN,2070.0,-1518.51
REGION,SSCO2,2015.0,1.8822
REGION,SSCO2,2016.0,1.5839
REGION,SSCO2,2017.0,2.134
REGION,SSCO2,2018.0,2.6842
REGION,SSCO2,2019.0,3.2344
REGION,SSCO2,2020.0,2.0383
REGION,SSCO2,2021.0,2.1388
REGION,SSCO2,2022.0,2.2404
REGION,SSCO2,2023.0,2.3664
REGION,SSCO2,2024.0,1.7195
REGION,SSCO2,2025.0,1.7873
REGION,SSCO2,2026.0,1.8574
REGION,SSCO2,2027.0,1.9411
REGION,SSCO2,2028.0,2.0358
REGION,SSCO2,2029.0,2.1396
REGION,SSCO2,2030.0,2.2564
REGION,SSCO2,2031.0,2.3962
REGION,SSCO2,2032.0,2.5445
REGION,SSCO2,2033.0,2.7051
REGION,SSCO2,2034.0,2.878
REGION,SSCO2,2035.0,3.0667
REGION,SSCO2,2036.0,2.4836
REGION,SSCO2,2037.0,2.5808
REGION,SSCO2,2038.0,2.6818
REGION,SSCO2,2039.0,2.7951
REGION,SSCO2,2040.0,2.9481
REGION,SSCO2,2041.0,3.092
REGION,SSCO2,2042.0,3.1925
REGION,SSCO2,2043.0,3.2371
REGION,SSCO2,2044.0,3.3187
REGION,SSCO2,2045.0,3.3941
REGION,SSCO2,2046.0,3.453
REGION,SSCO2,2047.0,3.4845
REGION,SSCO2,2048.0,3.5261
REGION,SSCO2,2049.0,3.6199
REGION,SSCO2,2050.0,3.7062
REGION,SSCO2,2051.0,3.7714
REGION,SSCO2,2052.0,3.8377
REGION,SSCO2,2053.0,3.9052
REGION,SSCO2,2054.0,3.9672
REGION,SSCO2,2055.0,4.0296
REGION,SSCO2,2056.0,4.0933
REGION,SSCO2,2057.0,4.1625
REGION,SSCO2,2058.0,4.2118
REGION,SSCO2,2059.0,4.2608
REGION,SSCO2,2060.0,4.3126
REGION,SSCO2,2061.0,4.3773
REGION,SSCO2,2062.0,4.4201
REGION,SSCO2,2063.0,4.46
REGION,SSCO2,2064.0,4.5004
REGION,SSCO2,2065.0,4.5441
REGION,SSCO2,2066.0,4.5899
REGION,SSCO2,2067.0,4.6362
REGION,SSCO2,2068.0,4.683
REGION,SSCO2,2069.0,4.7099
REGION,SSCO2,2070.0,4.7123
