r,t,y,AnnualFixedOperatingCost
REGION,EGNGCCP01O,2016, 55.125
REGION,EGNGCCP01O,2017, 55.125
REGION,EGNGCCP01O,2018, 55.125
REGION,EGNGCCP01O,2019, 55.125
REGION,EGNGCCP01O,2020, 55.125
REGION,EGNGCCP01O,2021, 52.36875
REGION,EGNGCCP01O,2022, 49.6125
REGION,EGNGCCP01O,2023, 46.85625
REGION,EGNGCCP01O,2024, 44.1
REGION,EGNGCCP01O,2025, 41.34375
REGION,EGNGCCP01O,2026, 38.5875
REGION,EGNGCCP01O,2027, 35.83125
REGION,EGNGCCP01O,2028, 33.075
REGION,EGNGCCP01O,2029, 30.31875
REGION,EGNGCCP01O,2030, 27.5625
REGION,EGNGCCP01O,2031, 24.80625
REGION,EGNGCCP01O,2032, 22.05
REGION,EGNGCCP01O,2033, 19.29375
REGION,EGNGCCP01O,2034, 16.5375
REGION,EGNGCCP01O,2035, 13.78125
REGION,EGNGCCP01O,2036, 11.025
REGION,EGNGCCP01O,2037, 8.26875
REGION,EGNGCCP01O,2038, 5.5125
REGION,EGNGCCP01O,2039, 2.75625
REGION,EGNGCCP02O,2015, 19.019
REGION,EGNGCCP02O,2016, 19.019
REGION,EGNGCCP02O,2017, 19.019
REGION,EGNGCCP02O,2018, 19.019
REGION,EGNGCCP02O,2019, 19.019
REGION,EGNGCCP02O,2020, 19.019
REGION,EGNGCCP02O,2021, 18.06805
REGION,EGNGCCP02O,2022, 17.1171
REGION,EGNGCCP02O,2023, 16.16615
REGION,EGNGCCP02O,2024, 15.2152
REGION,EGNGCCP02O,2025, 14.26425
REGION,EGNGCCP02O,2026, 13.3133
REGION,EGNGCCP02O,2027, 12.36235
REGION,EGNGCCP02O,2028, 11.4114
REGION,EGNGCCP02O,2029, 10.46045
REGION,EGNGCCP02O,2030, 9.5095
REGION,EGNGCCP02O,2031, 8.55855
REGION,EGNGCCP02O,2032, 7.6076
REGION,EGNGCCP02O,2033, 6.65665
REGION,EGNGCCP02O,2034, 5.7057
REGION,EGNGCCP02O,2035, 4.75475
REGION,EGNGCCP02O,2036, 3.8038
REGION,EGNGCCP02O,2037, 2.85285
REGION,EGNGCCP02O,2038, 1.9019
REGION,EGNGCCP02O,2039, 0.95095
REGION,EGNGCCP04O,2015, 264.5195
REGION,EGNGCCP04O,2016, 264.5195
REGION,EGNGCCP04O,2017, 264.5195
REGION,EGNGCCP04O,2018, 264.5195
REGION,EGNGCCP04O,2019, 264.5195
REGION,EGNGCCP04O,2020, 264.5195
REGION,EGNGCCP04O,2021, 251.293525
REGION,EGNGCCP04O,2022, 238.06755
REGION,EGNGCCP04O,2023, 224.841575
REGION,EGNGCCP04O,2024, 211.6156
REGION,EGNGCCP04O,2025, 198.389625
REGION,EGNGCCP04O,2026, 185.16365
REGION,EGNGCCP04O,2027, 171.937675
REGION,EGNGCCP04O,2028, 158.7117
REGION,EGNGCCP04O,2029, 145.485725
REGION,EGNGCCP04O,2030, 132.25975
REGION,EGNGCCP04O,2031, 119.033775
REGION,EGNGCCP04O,2032, 105.8078
REGION,EGNGCCP04O,2033, 92.581825
REGION,EGNGCCP04O,2034, 79.35585
REGION,EGNGCCP04O,2035, 66.129875
REGION,EGNGCCP04O,2036, 52.9039
REGION,EGNGCCP04O,2037, 39.677925
REGION,EGNGCCP04O,2038, 26.45195
REGION,EGNGCCP04O,2039, 13.225975
REGION,EGNGCCP01N,2015, 15
REGION,EGNGCCP01N,2016, 15
REGION,EGNGCCP01N,2017, 15
REGION,EGNGCCP01N,2018, 15
REGION,EGNGCCP01N,2019, 15
REGION,EGNGCCP01N,2020, 15
REGION,EGNGCCP01N,2021, 15
REGION,EGNGCCP01N,2022, 15
REGION,EGNGCCP01N,2023, 15
REGION,EGNGCCP01N,2024, 15
REGION,EGNGCCP01N,2025, 15
REGION,EGNGCCP01N,2026, 15
REGION,EGNGCCP01N,2027, 15
REGION,EGNGCCP01N,2028, 15
REGION,EGNGCCP01N,2029, 15
REGION,EGNGCCP01N,2030, 15
REGION,EGNGCCP01N,2031, 15
REGION,EGNGCCP01N,2032, 15
REGION,EGNGCCP01N,2033, 15
REGION,EGNGCCP01N,2034, 15
REGION,EGNGCCP01N,2035, 15
REGION,EGNGCCP01N,2036, 15
REGION,EGNGCCP01N,2037, 15
REGION,EGNGCCP01N,2038, 15
REGION,EGNGCCP01N,2039, 15
REGION,EGNGCCP01N,2040, 15
REGION,EGNGCCP01N,2041, 15
REGION,EGNGCCP01N,2042, 15
REGION,EGNGCCP01N,2043, 15
REGION,EGNGCCP01N,2044, 15
REGION,EGNGCCP01N,2047, 6.5786856467913708e+00
REGION,EGNGCCP01N,2048, 4.4078685646791371e+01
REGION,EGNGCCP01N,2049, 4.4078685646791371e+01
REGION,EGNGCCP01N,2050, 4.6404920708607982e+01
REGION,EGNGCCP01N,2051, 4.6404920708607982e+01
REGION,EGNGCCP01N,2052, 4.6404920708607982e+01
REGION,EGNGCCP01N,2053, 4.6404920708607982e+01
REGION,EGNGCCP01N,2054, 4.6404920708607982e+01
REGION,EGNGCCP01N,2055, 4.6404920708607982e+01
REGION,EGNGCCP01N,2056, 82.4318189665982
REGION,EGNGCCP01N,2057, 82.4318189665982
REGION,EGNGCCP01N,2058, 9.4508863534520316e+01
REGION,EGNGCCP01N,2059, 9.4508863534520316e+01
REGION,EGNGCCP01N,2060, 9.4508863534520316e+01
REGION,EGNGCCP01N,2061, 9.4508863534520316e+01
REGION,EGNGCCP01N,2062, 9.4508863534520316e+01
REGION,EGNGCCP01N,2063, 9.4508863534520316e+01
REGION,EGNGCCP01N,2064, 9.4508863534520316e+01
REGION,EGNGCCP01N,2065, 9.4508863534520316e+01
REGION,EGNGCCP01N,2066, 9.4508863534520316e+01
REGION,EGNGCCP01N,2067, 9.4508863534520316e+01
REGION,EGNGCCP01N,2068, 9.4508863534520316e+01
