,y,Coal,Oil,Gas,Hydro,Nuclear,Solar CSP,Solar PV,Solar FPV,Wind,Biomass,power_trade
31,2046.0,0.0,0.0,421.52,67.09,67.01,0.0,92.36,18.55,185.87,42.49,178.85
32,2047.0,0.0,0.0,429.17,67.09,67.01,0.0,96.52,18.55,201.77,42.49,178.76
33,2048.0,35.23,0.0,379.32,67.09,67.01,19.47,102.35,18.55,217.66,42.49,179.76
34,2049.0,26.88,0.0,379.75,67.09,67.01,33.17,108.18,18.55,233.56,42.49,179.76
35,2050.0,21.75,0.0,371.15,67.09,67.01,52.64,114.01,18.55,249.46,42.49,179.76
36,2051.0,23.42,0.0,372.68,67.09,79.23,52.64,119.84,18.55,265.35,45.42,170.52
37,2052.0,24.62,0.0,371.18,67.09,87.62,52.64,125.67,18.55,281.25,48.36,169.47
38,2053.0,25.61,0.0,368.08,67.09,93.82,52.64,129.84,18.55,297.14,49.82,176.48
39,2054.0,25.36,0.0,365.54,67.09,93.82,69.4,134.0,18.55,313.05,49.82,176.03
40,2055.0,13.5,0.0,390.31,67.09,93.82,70.48,138.16,18.55,328.95,49.82,176.53
41,2056.0,0.0,0.0,429.31,67.09,93.82,70.48,140.65,18.55,341.7,45.87,175.25
42,2057.0,0.0,0.0,447.97,67.09,93.82,73.73,143.14,18.55,354.47,45.87,174.66
43,2058.0,0.0,0.0,460.19,67.09,93.82,86.19,145.63,18.55,367.22,45.87,172.32
44,2059.0,0.0,0.0,470.52,67.09,93.82,100.58,148.14,18.55,379.99,45.87,171.05
45,2060.0,0.0,0.0,470.69,67.09,93.82,126.87,150.63,18.55,392.74,45.87,169.16
46,2061.0,0.0,0.0,471.04,67.09,93.82,146.95,154.8,18.55,411.86,44.28,167.97
47,2062.0,0.0,0.0,471.11,67.09,93.82,167.36,158.95,18.55,430.96,43.99,166.65
48,2063.0,0.0,0.0,471.02,67.09,93.82,188.75,163.11,18.55,450.07,43.99,165.44
49,2064.0,0.0,0.0,470.9,67.09,93.82,211.58,167.28,18.55,469.17,43.99,164.04
50,2065.0,0.0,0.0,470.65,67.09,93.82,235.89,171.43,18.55,488.28,43.99,162.61
51,2066.0,0.0,0.0,472.41,67.09,93.82,267.51,173.93,18.55,504.24,43.99,157.97
52,2067.0,18.68,0.0,470.51,67.09,93.82,281.41,176.43,18.55,520.22,43.99,157.37
53,2068.0,60.48,0.0,465.12,67.09,93.82,287.27,178.92,18.55,526.56,43.99,156.21
54,2069.0,103.96,0.0,459.38,67.09,93.82,293.13,181.42,18.55,532.9,43.99,155.16
55,2070.0,120.06,0.0,479.45,67.09,93.82,299.0,183.91,18.55,539.25,43.99,157.18
