,Backstop,Biomass,Coal,Gas,Geothermal,Hydro,Nuclear,Oil,Solar CSP,Solar FPV,Solar PV,Wind,power_trade,y
15,0.0,14.469999999999999,160.08,404.12,44.23,279.02,0.0,9.61,23.46,,20.58,57.129999999999995,70.4,2030.0
16,0.0,13.62,160.08,456.81,45.019999999999996,283.2,0.0,8.649999999999999,23.46,,24.57,62.98,70.4,2031.0
17,0.0,12.79,160.08,504.35,45.84,286.04999999999995,0.0,7.67,23.46,,29.73,68.81,70.39999999999999,2032.0
18,0.0,11.96,160.08,546.15,49.089999999999996,288.61999999999995,0.0,6.709999999999999,23.46,,41.58,74.65,70.4,2033.0
19,0.0,11.13,160.08,573.6100000000001,56.72,290.78999999999996,0.0,16.43,23.46,,57.28,80.48,70.4,2034.0
20,0.0,10.29,160.08,587.28,64.41,313.99,0.0,21.73,23.46,,62.84,86.32,70.4,2035.0
21,0.0,10.29,186.76,599.24,71.91,315.04999999999995,0.0,20.580000000000002,23.46,,80.22,92.16,70.4,2036.0
22,0.0,10.29,213.44,610.72,78.6,314.56,0.0,19.44,23.46,,105.94,98.0,70.4,2037.0
23,0.0,10.29,240.12,620.76,85.29,313.54999999999995,0.0,18.32,23.46,,132.57,103.83999999999999,70.4,2038.0
24,0.0,10.29,266.79,635.5600000000001,91.97,313.71,0.0,16.08,23.46,,159.82999999999998,109.67,70.4,2039.0
25,0.0,10.29,293.47,664.1,98.67,314.53999999999996,0.0,6.74,23.46,,187.04000000000002,110.94,70.4,2040.0
26,0.0,10.29,333.49,671.1200000000001,105.36,313.40999999999997,0.0,0.0,23.46,,217.79000000000002,117.84,70.4,2041.0
27,0.0,10.29,373.51,669.86,112.05,312.69,0.0,0.0,23.46,,249.02999999999997,127.24,70.4,2042.0
28,0.0,10.29,386.85,700.72,118.74,312.87,0.0,0.0,23.46,,280.2,132.38,70.4,2043.0
29,0.0,10.29,400.19,724.49,125.42999999999999,312.26,0.0,0.0,23.46,,316.36999999999995,141.79,70.4,2044.0
30,0.0,10.29,413.53,749.08,128.91,311.64,0.0,0.0,23.46,,356.53000000000003,151.2,70.4,2045.0
31,0.0,10.29,413.53,811.4499999999999,131.05,312.62,0.0,0.0,11.72,,389.55,157.47,70.39999999999999,2046.0
32,0.0,10.29,436.85999999999996,840.21,135.07,309.89,0.0,0.0,5.87,,435.17,160.53,70.4,2047.0
33,0.0,10.29,566.84,758.67,136.41,309.57,0.0,0.0,0.0,,486.07000000000005,163.6,70.39999999999999,2048.0
34,0.0,10.29,582.05,804.5999999999999,136.41,307.97999999999996,0.0,0.0,0.0,,527.47,166.66,70.4,2049.0
35,0.0,10.29,595.39,841.52,137.75,306.98999999999995,0.0,0.0,0.0,,574.11,172.45,70.39999999999999,2050.0
36,0.0,10.29,608.73,875.46,141.95000000000002,303.68,0.0,0.0,0.0,,610.48,178.72,70.4,2051.0
37,0.0,10.29,622.07,911.14,140.43,303.47999999999996,0.0,0.0,0.0,,649.5999999999999,185.73,70.39999999999998,2052.0
38,0.0,10.29,635.41,949.8000000000001,140.37,301.59,0.0,0.0,0.0,,689.79,193.23,70.4,2053.0
39,0.0,10.29,648.75,990.79,138.58,299.44,0.0,0.0,0.0,,731.3699999999999,201.26,70.4,2054.0
40,0.0,10.29,606.27,1082.3400000000001,136.14000000000001,297.68,0.0,0.0,0.0,,781.2799999999999,209.19,70.4,2055.0
41,0.0,6.34,566.97,1181.11,135.37,296.37,0.0,0.0,3.55,,818.46,221.94,70.4,2056.0
42,0.0,6.34,609.69,1202.1899999999998,143.22,296.27,0.0,0.0,3.8,,844.6,234.71,70.39999999999998,2057.0
43,0.0,6.34,652.5400000000001,1221.08,143.5,298.93,0.0,0.0,3.8,,882.14,247.43,70.4,2058.0
44,0.0,6.34,693.28,1238.27,143.64000000000001,306.34000000000003,0.0,0.0,3.8,,929.3199999999999,259.61,70.40000000000002,2059.0
45,0.0,6.34,733.12,1262.45,154.21,316.46000000000004,0.0,0.0,5.1,,968.11,281.83,46.079999999999984,2060.0
46,0.0,4.75,744.34,1316.17,154.55,311.85999999999996,0.0,0.0,13.19,,997.7,293.14,47.359999999999985,2061.0
47,0.0,3.17,758.27,1374.6000000000001,154.60999999999999,317.45000000000005,0.0,0.0,22.29,,1022.6600000000001,304.32,48.80000000000001,2062.0
48,0.0,1.58,772.76,1436.1799999999998,154.34,317.69,0.0,0.0,32.12,,1045.24,314.34,50.16,2063.0
49,0.0,0.0,785.6,1498.79,154.45,316.59000000000003,0.0,0.0,42.24,,1075.45,328.71,47.59,2064.0
50,0.0,0.0,794.5600000000001,1540.58,153.96,313.27,0.0,0.0,68.2,,1111.3000000000002,348.61,48.29999999999998,2065.0
51,0.0,0.0,801.49,1577.97,154.26,310.99,0.0,0.0,94.16,,1151.55,372.68,50.16000000000001,2066.0
52,0.0,0.0,810.9,1620.6100000000001,148.1,309.51,0.0,0.0,120.12,,1202.44,383.8,60.22,2067.0
53,0.0,0.0,823.22,1688.3999999999999,150.44,314.02,0.0,0.0,127.22,,1234.77,391.49,70.4,2068.0
54,0.0,0.0,835.3599999999999,1763.1699999999998,152.95999999999998,301.1,0.0,0.83,129.81,,1273.8600000000001,418.27,70.39999999999999,2069.0
55,0.0,0.0,849.47,1811.52,154.48,308.86,0.0,0.94,165.07,,1308.5300000000002,430.57,70.4,2070.0
