,y,Biomass & Waste CHP plant - OTF/OTS cooling (new),Biomass & Waste CHP plant - OTF/OTS cooling (old),Coal power plant - OTF/OTS cooling (new),Egypt - Jordan Historic EL trade link,Egypt - Saudi Arabia Planned EL trade link,Egypt - Sudan Historic and Planned EL trade link,Oil fired gas turbine (SCGT) - Air cooling (new),Oil fired gas turbine (SCGT) - Air cooling (old),Oil fired gas turbine (SCGT) - MDT cooling (new),Oil fired gas turbine (SCGT) - MDT cooling (old),Oil fired gas turbine (SCGT) - OTF/OTS cooling (old),Small hydropower plant,Medium hydropower plant (Run-of river),Large hydropower plant (Dam),Light Fuel Oil power plant - OTF/OTS cooling (new),Light Fuel Oil power plant - OTF/OTS cooling (old),Libya - Egypt Historic EL trade link,Natural gas power plant (combined cycle) - Air cooling (new),Natural gas power plant (combined cycle) - Air cooling (old),Natural gas power plant (combined cycle) - MDT cooling (new),Natural gas power plant (combined cycle) - MDT cooling (old),Natural gas power plant (combined cycle) - OTF/OTS cooling (new),Natural gas power plant (combined cycle) - OTF/OTS cooling (old),Natural gas power plant (single cycle) - MDT cooling (old),Natural gas power plant (single cycle) - OTF/OTS cooling (new),Natural gas power plant (single cycle) - OTF/OTS cooling (old),CSP (without storage),CSP (with storage),Solar PV (utility),Solar PV (roof top),Solar PV with storage,Wind (onshore),Wind (offshore)
41,2056.0,4.7512,0.0,453.5508,0.0,0.0,97.3129,0.0,0.0,0.0,0.0,0.0,0.0063,17.7011,62.7945,0.0,0.0,5.0931,307.677,0.0,435.4544,0.0,487.4121,0.0,0.0,18.2008,0.0,0.0,0.0,110.1245,12.3473,18.1815,206.9421,0.0
42,2057.0,4.7512,0.0,493.5699,0.0,0.0,107.8857,0.0,0.0,0.0,0.0,0.0,0.0063,17.7011,62.7945,0.0,0.0,5.0931,335.6074,0.0,421.7209,0.0,487.4121,0.0,0.0,19.2025,0.0,0.0,0.0,111.7931,12.681,18.6728,210.0775,0.9006
43,2058.0,4.7512,0.0,533.5891,0.0,0.0,110.1368,0.0,0.0,0.0,0.0,0.0,0.0063,17.7011,62.7945,0.0,0.0,5.0931,295.9454,0.0,479.3834,0.0,487.4121,0.0,0.0,19.2025,0.0,0.0,0.0,113.4616,13.0147,19.1642,213.213,9.7764
44,2059.0,4.7512,0.0,573.6083,0.0,0.0,105.2151,0.0,0.0,0.0,0.0,0.0,0.0063,17.7011,62.7945,0.0,0.0,5.0931,289.8503,0.0,479.3834,0.0,518.1821,0.0,0.0,20.2973,0.0,1.1923,0.0,115.1302,13.3484,19.6556,216.3485,19.4022
45,2060.0,4.7512,0.0,613.6275,0.0,0.0,97.4905,0.0,0.0,0.0,0.0,0.0,0.0063,17.7011,62.7945,0.0,0.0,5.0931,318.5246,0.0,479.3834,0.0,518.1821,0.0,0.0,21.7351,0.0,3.4702,0.0,116.7987,13.6821,20.147,219.484,29.028
46,2061.0,3.1675,0.0,626.9672,0.0,0.0,98.8986,0.0,0.0,0.0,0.0,0.0,0.0063,17.7011,62.7945,0.0,0.0,5.0931,309.6783,0.0,539.8991,0.0,518.1821,0.0,0.0,21.7351,0.0,10.873,0.0,120.1359,14.0158,20.6384,225.755,29.028
47,2062.0,1.5837,0.0,640.3069,0.0,0.0,96.7441,0.0,0.0,0.0,0.0,0.0,0.0063,17.7011,62.7945,0.0,0.0,5.0931,336.2036,0.0,507.4394,0.0,580.2993,0.0,0.0,22.3421,0.0,19.5559,0.0,123.473,14.3496,21.1298,232.0259,29.028
48,2063.0,0.0,0.0,653.6467,0.0,0.0,95.84339999999999,0.0,0.0,0.0,0.0,0.0,0.0063,17.7011,62.7945,0.0,0.0,5.0931,363.2346,0.0,538.1494,0.0,580.2993,0.0,0.0,22.7006,0.0,28.5663,0.0,126.8101,14.6833,21.6212,238.2969,29.028
49,2064.0,0.0,0.0,666.9864,0.0,0.0,102.6695,0.0,0.0,0.0,0.0,0.0,0.0063,17.7011,62.7945,0.0,0.0,5.0931,376.0754,0.0,511.6525,0.0,646.9979,0.0,0.0,23.9232,0.0,35.0343,0.0,130.1472,15.017,22.1126,244.5679,29.028
50,2065.0,0.0,0.0,680.3261,0.0,0.0,103.276,0.0,0.0,0.0,0.0,0.0,0.0063,17.7011,62.7945,0.0,0.0,5.0931,355.8434,0.0,578.3511,0.0,646.9979,0.0,0.0,21.6021,0.0,60.9972,0.0,133.4843,15.3507,22.604,250.8389,29.028
51,2066.0,0.0,0.0,693.6659,0.0,0.0,105.1245,0.0,0.0,0.0,0.0,0.0,0.0063,17.7011,62.7945,0.0,0.0,5.0931,379.8761,0.0,526.2126,0.0,713.6966,0.0,0.0,21.0669,0.0,86.96,0.0,135.1528,15.6844,23.0954,253.9743,41.8624
52,2067.0,0.0,0.0,707.0056,0.0,0.0,108.3991,0.0,0.0,0.0,0.0,0.0,0.0063,17.7011,62.7945,0.0,0.0,5.0931,450.9288,0.0,517.7153,0.0,690.1656,0.0,0.0,21.9739,0.0,112.9228,0.0,136.8214,16.0181,23.5868,257.1098,54.6968
53,2068.0,0.0,0.0,720.3453,0.0,0.0,107.20349999999999,0.0,0.0,0.0,0.0,0.0,0.0063,17.7011,62.7945,0.0,0.0,5.0931,436.8511,0.0,526.2126,0.0,756.8642,0.0,0.0,20.4042,0.0,127.2179,0.0,138.4899,16.3518,24.0781,260.2453,67.5312
54,2069.0,0.0,0.0,733.685,0.0,0.0,105.2582,0.0,0.0,0.0,0.0,0.0,0.0063,17.7011,62.7945,0.0,0.0,5.0931,417.592,0.0,580.5883,0.0,796.8834,0.0,0.0,20.819,0.0,129.8141,0.0,140.1585,16.6855,24.5695,263.3808,80.3656
55,2070.0,0.0,0.0,747.0248,0.0,0.0,85.7229,0.0,0.0,0.0,0.0,0.0,0.0063,17.7011,62.7945,0.0,0.0,5.0931,467.7023,0.0,555.5128,0.0,832.8235,0.0,0.0,24.2528,0.0,132.4104,32.6642,141.827,17.0192,25.0609,266.5163,93.2
