,y,Biomass & Waste CHP plant with CCS - OTF/OTS cooling (new),Biomass & Waste CHP plant - OTF/OTS cooling (new),Biomass & Waste CHP plant - OTF/OTS cooling (old),Coal power plant with CCS - OTF/OTS cooling (new),Coal power plant - OTF/OTS cooling (new),Oil fired gas turbine (SCGT) - Air cooling (new),Oil fired gas turbine (SCGT) - Air cooling (old),Oil fired gas turbine (SCGT) - MDT cooling (new),Oil fired gas turbine (SCGT) - MDT cooling (old),Oil fired gas turbine (SCGT) - OTF/OTS cooling (old),Small hydropower plant,Medium hydropower plant (Run-of river),Large hydropower plant (Dam),Light Fuel Oil power plant - OTF/OTS cooling (new),Light Fuel Oil power plant - OTF/OTS cooling (old),Natural gas power plant (combined cycle) - CCS - Air cooling (new),Natural gas power plant (combined cycle) - CCS  - MDT cooling (new),Natural gas power plant (combined cycle) - CCS  - OTF/OTS cooling (new),Natural gas power plant (combined cycle) - Air cooling (new),Natural gas power plant (combined cycle) - Air cooling (old),Natural gas power plant (combined cycle) - MDT cooling (new),Natural gas power plant (combined cycle) - MDT cooling (old),Natural gas power plant (combined cycle) - OTF/OTS cooling (new),Natural gas power plant (combined cycle) - OTF/OTS cooling (old),Natural gas power plant (single cycle) - MDT cooling (old),Natural gas power plant (single cycle) - OTF/OTS cooling (new),Natural gas power plant (single cycle) - OTF/OTS cooling (old),Nuclear power plant - OTS/OTF cooling (new),CSP (without storage),CSP (with storage),Solar PV (utility),Solar PV (roof top),Solar PV with storage,Wind (onshore),Wind (offshore)
22,2037.0,1.0,0.45,0.0,0.0,6.0,1.0,0.021015,1.0,0.01815,0.15184035,0.0008,0.9316800000000001,3.692,0.872,0.0444888,0.0,0.0,0.0,0.6,0.33075,9.6,0.114114,6.3,1.587117,0.3492075,4.88,1.81845285,0.0,0.6,0.5972805327714305,4.94002625,0.8999999999999999,0.9,6.86265,0.25
23,2038.0,1.0,0.45,0.0,0.0,6.0,1.0,0.01401,1.0,0.0121,0.1012269,0.0008,0.9316800000000001,3.692,0.872,0.0296592,0.0,0.0,0.0,0.6,0.2205,9.6,0.076076,6.3,1.058078,0.232805,4.88,1.2123019,0.30199556449936704,0.6,0.5972805327714305,5.4400175,0.95,0.9500000000000001,7.3351,0.25
24,2039.0,1.0,0.45,0.0,0.0,6.0,1.0,0.007005,1.0,0.00605000000000001,0.0506134500000001,0.0008,0.9316800000000001,3.692,0.872,0.0148296,0.0,0.0,0.0,0.6,0.11025,9.6,0.038038,6.3,0.529039000000001,0.1164025,4.88,0.60615095,0.801995564499367,0.6,0.5972805327714305,5.9400087500000005,1.0,1.0,7.80755,0.25
25,2040.0,1.0,0.45,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0008,0.9316800000000001,3.692,0.522,0.0,0.3526210202307079,1.0,0.0,0.6,0.0,9.6,0.0,6.3,0.0,0.0,2.9299999999999997,0.0,1.301995564499367,0.6,0.5972805327714305,6.43000875,1.05,1.05,8.04,0.25
26,2041.0,1.1,0.45,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0008,1.18168,4.192,0.0,0.0,0.3526210202307079,1.0,0.0,0.6,0.0,9.6,0.0,6.3,0.0,0.0,2.28,0.0,1.7999470806460955,0.6,0.5972805327714305,7.15000875,1.1,1.1,8.59,0.25
27,2042.0,1.2,0.45,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0008,1.18168,4.192,0.0,0.0,0.3526210202307079,1.0,0.0,0.6,0.0,9.6,0.0,6.3,0.0,0.0,1.95,0.0,2.2999470806460955,0.6,0.5972805327714305,7.90000875,1.15,1.15,9.34,0.25
28,2043.0,1.2499999999999998,0.45,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0008,1.18168,4.192,0.0,0.0,0.3526210202307079,1.7848368582877288,0.0,0.6,0.0,9.6,0.0,6.3,0.0,0.0,0.0,0.0,2.5,0.6,0.5972805327714305,8.60000875,1.2,1.2000000000000002,9.75,1.0
29,2044.0,1.2499999999999998,0.45,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0008,1.18168,4.192,0.0,0.0,0.3526210202307079,2.713856390085045,0.0,0.6,0.0,9.6,0.0,6.3,0.0,0.0,0.0,0.0,2.5,0.6,0.5972805327714305,9.35000875,1.25,1.25,10.5,1.75
30,2045.0,1.2499999999999998,0.45,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0008,1.18168,4.192,0.0,0.0,0.3526210202307079,3.8199345726381533,0.0,0.0,0.0,9.6,0.0,6.05,0.0,0.0,0.0,0.0,2.5,0.6,0.5972805327714305,10.0,1.3,1.3000000000000003,11.25,2.5
31,2046.0,1.2499999999999998,0.45,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0008,1.18168,4.192,0.0,0.0,0.5688524802138878,5.319934572638154,0.0,0.0,0.0,9.6,0.0,5.55,0.0,0.0,0.0,0.0,2.5,0.19999999999999996,0.19728053277143046,10.5,1.35,1.35,11.75,3.25
