,y,Amarti-Neshe,Aswan 1,Aswan 2,Baro,Bedden,Birbir,Chemoga Yeda,Dagash,Dal,Esna,Finchaa,Geba,Genji,High Aswan Dam,Jebel Aulia,Kajbar,Karadobi,Kashm El Girba ,Lake Tana - Beles,Lakki,Large hydropower plant (Dam),Lower Dedessa,Medium hydropower plant (Run-of river),Merowe,Naga Hamadi,New Assiut Barrage,Renaissance,Roseires,Sabaloka,Sennar,Shereik,Sor,Tams,Tekeze 1,Tekeze 2,Tis Abay 1,Tis Abay 2,Upper Atbara,Upper Mandaya
27,2042.0,0.098,0.28,0.27,0.645,0.57,0.0,0.0,0.312,0.648,0.086,0.128,0.372,0.0,2.1,0.019,0.36,1.6,0.01,0.46,0.41,3.162,0.55,0.107,1.24,0.064,0.03174,6.4,0.27,0.205,0.0,0.42,0.005,1.0,0.3,0.0,0.011,0.078,0.32,0.0
28,2043.0,0.098,0.28,0.27,0.645,0.57,0.0,0.0,0.312,0.648,0.086,0.128,0.372,0.0,2.1,0.019,0.36,1.6,0.01,0.46,0.41,3.162,0.55,0.107,1.24,0.064,0.03174,6.4,0.27,0.205,0.0,0.42,0.005,1.0,0.3,0.0,0.011,0.078,0.32,0.0
29,2044.0,0.098,0.28,0.27,0.645,0.57,0.0,0.0,0.312,0.648,0.086,0.128,0.372,0.0,2.1,0.019,0.36,1.6,0.0,0.46,0.41,3.162,0.55,0.107,1.24,0.064,0.03174,6.4,0.27,0.205,0.0,0.42,0.005,1.0,0.3,0.0,0.011,0.078,0.32,0.0
30,2045.0,0.098,0.28,0.27,0.645,0.57,0.0,0.0,0.312,0.648,0.086,0.128,0.372,0.216,2.1,0.019,0.36,1.6,0.0,0.46,0.41,3.162,0.55,0.107,1.24,0.064,0.03174,6.4,0.27,0.205,0.0,0.42,0.005,1.0,0.3,0.0,0.011,0.078,0.32,0.0
31,2046.0,0.098,0.28,0.27,0.645,0.57,0.0,0.0,0.312,0.648,0.086,0.128,0.372,0.216,2.1,0.019,0.36,1.6,0.0,0.46,0.41,3.162,0.55,0.107,1.24,0.064,0.03174,6.4,0.0,0.205,0.0,0.42,0.005,1.0,0.3,0.0,0.011,0.078,0.32,0.0
32,2047.0,0.098,0.28,0.27,0.645,0.57,0.0,0.0,0.312,0.648,0.086,0.128,0.372,0.216,2.1,0.019,0.36,1.6,0.0,0.46,0.41,3.162,0.55,0.107,1.24,0.064,0.03174,6.4,0.0,0.205,0.0,0.42,0.005,1.0,0.3,0.0,0.011,0.078,0.32,0.0
33,2048.0,0.098,0.28,0.27,0.645,0.57,0.0,0.0,0.312,0.648,0.086,0.128,0.372,0.216,2.1,0.019,0.36,1.6,0.0,0.46,0.41,3.162,0.55,0.107,1.24,0.064,0.03174,6.4,0.0,0.205,0.0,0.42,0.005,1.0,0.3,0.0,0.011,0.078,0.32,0.0
34,2049.0,0.098,0.28,0.27,0.645,0.57,0.0,0.0,0.312,0.648,0.086,0.128,0.372,0.216,2.1,0.019,0.36,1.6,0.0,0.46,0.41,3.162,0.55,0.107,1.24,0.064,0.03174,6.4,0.0,0.205,0.0,0.42,0.005,1.0,0.3,0.0,0.011,0.078,0.32,0.0
35,2050.0,0.098,0.28,0.27,0.645,0.57,0.0,0.0,0.312,0.648,0.086,0.128,0.372,0.216,2.1,0.019,0.36,1.6,0.0,0.46,0.41,3.162,0.55,0.107,1.24,0.064,0.03174,6.4,0.0,0.205,0.0,0.42,0.005,1.0,0.3,0.0,0.011,0.078,0.32,0.0
36,2051.0,0.098,0.28,0.27,0.645,0.57,0.0,0.0,0.312,0.648,0.086,0.128,0.372,0.216,2.1,0.019,0.36,1.6,0.0,0.46,0.41,3.162,0.55,0.107,1.24,0.064,0.03174,6.4,0.0,0.205,0.0,0.42,0.005,1.0,0.3,0.0,0.011,0.078,0.32,0.0
37,2052.0,0.098,0.28,0.27,0.645,0.57,0.0,0.0,0.312,0.648,0.086,0.128,0.372,0.216,2.1,0.019,0.36,1.6,0.0,0.46,0.41,3.162,0.55,0.107,1.24,0.064,0.03174,6.4,0.0,0.205,0.0,0.42,0.005,1.0,0.3,0.0,0.011,0.078,0.32,0.0
38,2053.0,0.098,0.28,0.27,0.645,0.57,0.0,0.0,0.312,0.648,0.086,0.0,0.372,0.216,2.1,0.019,0.36,1.6,0.0,0.46,0.41,3.162,0.55,0.107,1.24,0.064,0.03174,6.4,0.0,0.205,0.0,0.42,0.005,1.0,0.3,0.0,0.011,0.078,0.32,1.7
39,2054.0,0.098,0.28,0.27,0.645,0.57,0.0,0.0,0.312,0.648,0.086,0.0,0.372,0.216,2.1,0.019,0.36,1.6,0.0,0.46,0.41,3.162,0.55,0.107,1.24,0.064,0.03174,6.4,0.0,0.205,0.0,0.42,0.005,1.0,0.3,0.0,0.011,0.078,0.32,1.7
40,2055.0,0.098,0.28,0.27,0.645,0.57,0.0,0.0,0.312,0.648,0.086,0.0,0.372,0.216,2.1,0.019,0.36,1.6,0.0,0.46,0.41,3.162,0.55,0.107,1.24,0.064,0.03174,6.4,0.0,0.205,0.0,0.42,0.005,1.0,0.3,0.0,0.011,0.078,0.32,1.7
41,2056.0,0.098,0.28,0.27,0.645,0.57,0.0,0.0,0.312,0.648,0.086,0.0,0.372,0.216,2.1,0.019,0.36,1.6,0.0,0.46,0.41,3.162,0.55,0.107,1.24,0.064,0.03174,6.4,0.0,0.205,0.0,0.42,0.005,1.0,0.3,0.0,0.011,0.078,0.32,1.7
42,2057.0,0.098,0.28,0.27,0.645,0.57,0.0,0.0,0.312,0.648,0.086,0.0,0.372,0.216,2.1,0.019,0.36,1.6,0.0,0.46,0.41,3.162,0.55,0.107,1.24,0.064,0.03174,6.4,0.0,0.205,0.0,0.42,0.005,1.0,0.3,0.0,0.011,0.078,0.32,1.7
43,2058.0,0.098,0.28,0.27,0.645,0.57,0.0,0.0,0.312,0.648,0.086,0.0,0.372,0.216,2.1,0.019,0.36,1.6,0.0,0.46,0.41,3.162,0.55,0.107,1.24,0.064,0.03174,6.4,0.0,0.205,0.0,0.42,0.005,1.0,0.3,0.0,0.011,0.078,0.32,1.7
44,2059.0,0.098,0.28,0.27,0.645,0.57,0.0,0.0,0.312,0.648,0.086,0.0,0.372,0.216,2.1,0.019,0.36,1.6,0.0,0.46,0.41,3.162,0.55,0.107,1.24,0.064,0.03174,6.4,0.0,0.205,0.0,0.42,0.005,1.0,0.3,0.0,0.011,0.078,0.32,1.7
45,2060.0,0.098,0.28,0.27,0.645,0.57,0.0,0.0,0.312,0.648,0.086,0.0,0.372,0.216,2.1,0.019,0.36,1.6,0.0,0.46,0.41,3.162,0.55,0.107,1.24,0.064,0.03174,6.4,0.0,0.205,0.0,0.42,0.005,1.0,0.3,0.0,0.011,0.078,0.32,1.7
46,2061.0,0.098,0.28,0.27,0.645,0.57,0.0,0.0,0.312,0.648,0.086,0.0,0.372,0.216,2.1,0.019,0.36,1.6,0.0,0.46,0.41,3.162,0.55,0.064,1.24,0.064,0.03174,6.4,0.0,0.205,0.0,0.42,0.005,1.0,0.3,0.0,0.011,0.078,0.32,1.7
47,2062.0,0.098,0.28,0.27,0.645,0.57,0.0,0.0,0.312,0.648,0.086,0.0,0.372,0.216,2.1,0.019,0.36,1.6,0.0,0.46,0.41,3.162,0.55,0.064,1.24,0.064,0.03174,6.4,0.0,0.205,0.0,0.42,0.005,1.0,0.3,0.0,0.011,0.078,0.32,1.7
48,2063.0,0.098,0.28,0.27,0.645,0.57,0.0,0.0,0.312,0.648,0.086,0.0,0.372,0.216,2.1,0.019,0.36,1.6,0.0,0.46,0.41,3.162,0.55,0.064,1.24,0.064,0.03174,6.4,0.0,0.205,0.0,0.42,0.005,1.0,0.3,0.0,0.011,0.078,0.32,1.7
49,2064.0,0.098,0.28,0.27,0.645,0.57,0.0,0.0,0.312,0.648,0.086,0.0,0.372,0.216,2.1,0.019,0.36,1.6,0.0,0.46,0.41,3.162,0.55,0.064,1.24,0.064,0.03174,6.4,0.0,0.205,0.0,0.42,0.005,1.0,0.3,0.0,0.011,0.078,0.32,1.7
50,2065.0,0.098,0.28,0.27,0.645,0.57,0.0,0.0,0.312,0.648,0.086,0.0,0.372,0.216,2.1,0.019,0.36,1.6,0.0,0.46,0.41,3.162,0.55,0.064,1.24,0.064,0.03174,6.4,0.0,0.205,0.0,0.42,0.005,1.0,0.3,0.0,0.011,0.078,0.32,1.7
51,2066.0,0.098,0.28,0.27,0.645,0.57,0.0,0.28,0.312,0.648,0.086,0.0,0.372,0.216,2.1,0.019,0.36,1.6,0.0,0.46,0.41,3.162,0.55,0.064,1.24,0.064,0.03174,6.4,0.0,0.205,0.0,0.42,0.005,1.0,0.3,0.0,0.011,0.078,0.32,1.7
52,2067.0,0.098,0.28,0.27,0.645,0.57,0.0,0.28,0.312,0.648,0.086,0.0,0.372,0.216,2.1,0.019,0.36,1.6,0.0,0.46,0.41,3.162,0.55,0.032,1.24,0.064,0.03174,6.4,0.0,0.205,0.0,0.42,0.005,1.0,0.3,0.0,0.011,0.078,0.32,1.7
53,2068.0,0.098,0.28,0.27,0.645,0.57,0.467,0.28,0.312,0.648,0.086,0.0,0.372,0.216,2.1,0.019,0.36,1.6,0.0,0.46,0.41,3.162,0.55,0.032,1.24,0.064,0.03174,6.4,0.0,0.205,0.0,0.42,0.005,1.0,0.3,0.38,0.011,0.078,0.32,1.7
54,2069.0,0.098,0.28,0.27,0.645,0.57,0.467,0.28,0.312,0.648,0.086,0.0,0.372,0.216,2.1,0.019,0.36,1.6,0.0,0.46,0.41,3.162,0.55,0.032,1.24,0.064,0.03174,6.4,0.0,0.205,0.0,0.42,0.005,1.0,0.3,0.38,0.011,0.078,0.32,1.7
55,2070.0,0.098,0.28,0.27,0.645,0.57,0.467,0.28,0.312,0.648,0.086,0.0,0.372,0.216,2.1,0.019,0.36,1.6,0.0,0.46,0.41,3.162,0.55,0.032,1.24,0.064,0.03174,6.4,0.0,0.205,0.0,0.42,0.005,1.0,0.3,0.38,0.011,0.078,0.32,1.7
