,y,Amarti-Neshe FPV,Aswan 1 FPV,Aswan 2 FPV,Baro FPV,Birbir FPV,Chemoga Yeda FPV,Dagash FPV,Dal FPV,Finchaa FPV,Genji FPV,High Aswan Dam FPV,Jebel Aulia FPV,Kajbar FPV,Karadobi FPV,Kashm El Girba  FPV,Lake Tana - Beles FPV,Lower Dedessa FPV,Merowe FPV,Renaissance FPV,Sabaloka FPV,Shereik FPV,Tekeze 1 FPV,Tekeze 2 FPV,Upper Atbara FPV,Upper Mandaya FPV
40,2055.0,0.0,0.28,0.27,0.0,0.0,0.0,0.3120000000000129,0.6480000000000327,0.0,0.0,2.100000000000028,0.019,0.3600000000000214,0.0,0.01,0.0,0.0,1.24,0.0,0.205,0.42,0.0,0.0,0.32000000000001944,0.0
41,2056.0,0.0,0.28,0.27,0.0,0.0,0.0,0.3120000000000129,0.6480000000000327,0.0,0.0,2.100000000000028,0.019,0.3600000000000214,0.0,0.01,0.0,0.0,1.24,0.0,0.205,0.42,0.0,0.0,0.32000000000001944,0.0
42,2057.0,0.0,0.28,0.27,0.0,0.0,0.0,0.3120000000000129,0.6480000000000327,0.0,0.0,2.100000000000028,0.019,0.3600000000000214,0.0,0.01,0.0,0.0,1.24,0.0,0.205,0.42,0.0,0.0,0.32000000000001944,0.0
43,2058.0,0.0,0.28,0.27,0.0,0.0,0.0,0.3120000000000129,0.6480000000000327,0.0,0.0,2.100000000000028,0.019,0.3600000000000214,0.3140961036571793,0.01,0.0,0.0,1.24,0.0,0.205,0.42,0.0,0.0,0.32000000000001944,0.0
44,2059.0,0.0,0.28,0.27,0.0,0.0,0.0,0.3120000000000129,0.6480000000000327,0.0,0.0,2.100000000000028,0.019,0.3600000000000214,0.71799684808085,0.01,0.0,0.0,1.24,0.0,0.205,0.42,0.0,0.0,0.32000000000001944,0.0
45,2060.0,0.0,0.28,0.27,0.0,0.0,0.0,0.3120000000000129,0.6480000000000327,0.0,0.0,2.100000000000028,0.019,0.3600000000000214,0.71799684808085,0.01,0.0,0.0,1.24,0.6350668355978359,0.205,0.42,0.0,0.0,0.32000000000001944,0.0
46,2061.0,0.0,0.28,0.27,0.0,0.0,0.0,0.3120000000000129,0.6480000000000327,0.0,0.0,2.100000000000028,0.019,0.3600000000000214,1.2715241116587261,0.01,0.0,0.0,1.24,1.635066835597836,0.205,0.42,0.0,0.0,0.32000000000001944,0.0
47,2062.0,0.0,0.28,0.27,0.0,0.0,0.0,0.3120000000000129,0.6480000000000327,0.0,0.0,2.100000000000028,0.019,0.3600000000000214,1.6,0.01,0.23128783451815335,0.0,1.24,2.635066835597836,0.205,0.42,0.0,0.0,0.32000000000001944,0.0
48,2063.0,0.008347300910029332,0.28,0.27,0.0,0.0,0.0,0.3120000000000129,0.6480000000000327,0.025726797254181283,0.0,2.100000000000038,0.019,0.3600000000000214,1.6,0.01,0.46,0.0,1.24,3.635066835597836,0.205,0.42,0.0,0.0,0.32000000000001944,0.0
49,2064.0,0.008347300910029332,0.28,0.27,0.0,0.0,0.0,0.3120000000000129,0.6480000000000327,0.128,0.0,2.1000000000000427,0.019,0.3600000000000214,1.6,0.01,0.46,0.0,1.24,4.635066835597836,0.205,0.42,0.30000000000000004,0.0,0.32000000000001944,0.29663236936437776
50,2065.0,0.008347300910029332,0.28,0.27,0.0,0.0,0.0,0.3120000000000129,0.6480000000000327,0.128,0.0,2.1000000000000436,0.019,0.3600000000000214,1.6,0.01,0.46,2.099462020006353e-05,1.24,5.635066835597836,0.205,0.42,0.30000000000000004,0.0,0.32000000000001944,0.7000000000000561
51,2066.0,0.008347300910029332,0.28,0.27,0.0,0.0,0.28,0.3120000000000129,0.6480000000000327,0.128,0.0,2.1000000000000507,0.019,0.3600000000000214,1.6,0.01,0.46,2.099462020006353e-05,1.24,6.301962312128264,0.205,0.42,0.30000000000000004,0.0,0.32000000000001944,0.7000000000000561
52,2067.0,0.098,0.28,0.27,0.0,0.0,0.28,0.3120000000000129,0.6480000000000327,0.128,0.0,2.1000000000000507,0.019,0.3600000000000214,1.6,0.01,0.46,0.55,1.24,6.4,0.205,0.42,0.30000000000000004,0.0,0.32000000000001944,1.7000000000000561
53,2068.0,0.098,0.28,0.27,0.0,0.24618265502417394,0.28,0.3120000000000129,0.6480000000000327,0.128,0.0,2.1000000000000507,0.019,0.3600000000000214,1.6,0.01,0.46,0.55,1.24,6.4,0.205,0.42,0.30000000000000004,0.38,0.32000000000001944,1.7000000000000561
54,2069.0,0.098,0.28,0.27,0.0,0.24618265502417394,0.28,0.3120000000000129,0.6480000000000327,0.128,0.0,2.1000000000000507,0.019,0.3600000000000214,1.6,0.01,0.46,0.55,1.24,6.4,0.205,0.42,0.30000000000000004,0.38,0.32000000000001944,1.7000000000000561
55,2070.0,0.098,0.28,0.27,0.01392536371797714,0.467,0.28,0.3120000000000129,0.6480000000000435,0.128,0.216,2.1000000000000507,0.019,0.3600000000000214,1.6,0.01,0.46,0.55,1.2400000000000562,6.4,0.205,0.42,0.30000000000000004,0.38,0.32000000000001944,1.7000000000000561
