,y,Biomass & Waste CHP plant with CCS - OTF/OTS cooling (new),Biomass & Waste CHP plant - OTF/OTS cooling (new),Biomass & Waste CHP plant - OTF/OTS cooling (old),Coal power plant with CCS - OTF/OTS cooling (new),Coal power plant - OTF/OTS cooling (new),Egypt - Jordan Historic EL trade link,Egypt - Saudi Arabia Planned EL trade link,Egypt - Sudan Historic and Planned EL trade link,Oil fired gas turbine (SCGT) - Air cooling (new),Oil fired gas turbine (SCGT) - Air cooling (old),Oil fired gas turbine (SCGT) - MDT cooling (new),Oil fired gas turbine (SCGT) - MDT cooling (old),Oil fired gas turbine (SCGT) - OTF/OTS cooling (old),Small hydropower plant,Medium hydropower plant (Run-of river),Large hydropower plant (Dam),Light Fuel Oil power plant - OTF/OTS cooling (old),Libya - Egypt Historic EL trade link,Natural gas power plant (combined cycle) - CCS - Air cooling (new),Natural gas power plant (combined cycle) - CCS  - MDT cooling (new),Natural gas power plant (combined cycle) - CCS  - OTF/OTS cooling (new),Natural gas power plant (combined cycle) - Air cooling (new),Natural gas power plant (combined cycle) - Air cooling (old),Natural gas power plant (combined cycle) - MDT cooling (new),Natural gas power plant (combined cycle) - MDT cooling (old),Natural gas power plant (combined cycle) - OTF/OTS cooling (new),Natural gas power plant (combined cycle) - OTF/OTS cooling (old),Natural gas power plant (single cycle) - MDT cooling (old),Natural gas power plant (single cycle) - OTF/OTS cooling (new),Natural gas power plant (single cycle) - OTF/OTS cooling (old),Nuclear power plant - OTS/OTF cooling (new),CSP (without storage),CSP (with storage),Solar PV (utility),Solar PV (roof top),Solar PV with storage,Wind (onshore),Wind (offshore)
22,2037.0,29.3285,7.1268,0.0,0.0,9.7619,0.0,0.0,102.874,0.0,0.1014,0.0,0.0876,0.7326,0.0063,13.9562,55.3047,0.2147,5.0931,0.0,0.0,0.0,16.0077,7.7143,256.1228,1.2011,168.0806,13.0195,1.7642,0.0,9.1869,0.0,7.7888,9.7549,32.9708,6.0068,8.845,86.071,3.2086
23,2038.0,29.3285,7.1268,0.0,0.0,7.8264,0.0,0.0,142.6327,0.0,0.0676,0.0,0.0584,0.4884,0.0063,13.9562,55.3047,0.1431,5.0931,0.0,0.0,0.0,6.6699,1.7485,241.0364,0.6033,168.0806,8.3905,1.1761,0.0,6.1246,8.0952,7.7888,9.7549,36.3078,6.3405,9.3364,91.9964,3.2086
24,2039.0,29.3285,7.1268,0.0,0.0,7.2515,0.0,0.0,179.7337,0.0,0.0338,0.0,0.0292,0.2442,0.0063,13.9562,55.3047,0.0716,5.0931,0.0,0.0,0.0,5.0252,0.5818,210.187,0.2007,168.0806,2.7917,0.5881,0.0,3.0623,21.498,7.7888,9.7549,39.6449,6.6742,9.8278,97.9218,3.2086
25,2040.0,29.3285,7.1268,0.0,0.0,0.0,0.0,0.0,179.6089,0.0,0.0,0.0,0.0,0.0,0.0063,13.9562,55.3047,0.0,5.0931,9.4077,26.6795,0.0,5.0252,0.0,177.8616,0.0,168.0806,0.0,0.0,7.095,0.0,34.9008,7.7888,9.7549,42.9153,7.0079,10.3192,100.8372,3.2086
26,2041.0,32.2613,7.1268,0.0,0.0,3.5323,0.0,0.0,179.6713,0.0,0.0,0.0,0.0,0.0,0.0063,17.7011,62.7945,0.0,5.0931,9.4077,26.6795,0.0,6.0851,0.0,166.2623,0.0,168.0806,0.0,0.0,1.9907,0.0,48.2487,7.7888,9.7549,47.7207,7.3416,10.8106,107.7353,3.2086
27,2042.0,35.1942,7.1268,0.0,0.0,0.0,0.0,0.0,179.7383,0.0,0.0,0.0,0.0,0.0,0.0063,17.7011,62.7945,0.0,5.0931,9.4077,26.6795,0.0,3.3441,0.0,165.1639,0.0,168.0806,0.0,0.0,5.6573,0.0,61.6515,7.7888,9.7549,52.7263,7.6753,11.302,117.1417,3.2086
28,2043.0,36.6606,7.1268,0.0,0.0,2.8676,0.0,0.0,179.7552,0.0,0.0,0.0,0.0,0.0,0.0063,17.7011,62.7945,0.0,5.0931,9.4077,47.6185,0.0,3.3441,0.0,147.7784,0.0,168.0806,0.0,0.0,0.0,0.0,67.014,7.7888,9.7549,57.3983,8.0091,11.7934,122.2839,12.8344
29,2044.0,36.6606,7.1268,0.0,0.0,1.0111,0.0,0.0,179.7552,0.0,0.0,0.0,0.0,0.0,0.0063,17.7011,62.7945,0.0,5.0931,9.4077,72.4042,0.0,3.3441,0.0,127.801,0.0,168.0806,0.0,0.0,0.0,0.0,67.014,7.7888,9.7549,62.404,8.3428,12.2848,131.6904,22.4602
30,2045.0,36.6606,7.1268,0.0,0.0,1.1287,0.0,0.0,179.7552,0.0,0.0,0.0,0.0,0.0,0.0063,17.7011,62.7945,0.0,5.0931,9.4077,101.9138,0.0,0.0,0.0,111.7475,0.0,161.4107,0.0,0.0,0.0,0.0,67.014,7.7888,9.7549,66.7421,8.6765,12.7762,141.0969,32.086
31,2046.0,36.6606,7.1268,0.0,0.0,0.4684,0.0,0.0,179.7552,0.0,0.0,0.0,0.0,0.0,0.0063,17.7011,62.7945,0.0,5.0931,15.1767,141.933,0.0,0.0,0.0,99.3216,0.0,148.071,0.0,0.0,0.0,0.0,67.014,2.5963,3.222,70.0792,9.0102,13.2675,147.3678,41.7118
32,2047.0,36.6606,7.1268,0.0,0.0,0.0,0.0,0.0,178.6508,0.0,0.0,0.0,0.0,0.0,0.0063,17.7011,62.7945,0.0,5.0931,15.1767,181.9521,4.374,0.7373,0.0,93.824,0.0,126.6152,0.0,0.0,0.0,0.0,67.014,0.0,0.0,73.4164,9.3439,13.7589,153.6388,48.129
33,2048.0,36.6606,7.1268,0.0,0.0,35.353,0.0,0.0,179.7552,0.0,0.0,0.0,0.0,0.0,0.0063,17.7011,62.7945,0.0,5.0931,50.451,221.9713,9.5621,21.0108,0.0,23.6034,0.0,46.0011,0.0,0.0,0.0,0.0,67.014,19.4721,0.0,78.422,9.6776,14.2503,159.9098,57.7548
