,y,Biomass & Waste CHP plant - OTF/OTS cooling (old),Coal power plant - OTF/OTS cooling (new),Egypt - Sudan Historic and Planned EL trade link,Ethiopia - Sudan EL existing trade link,Geothermal power plant - MDT cooling (new),Oil fired gas turbine (SCGT) - Air cooling (old),Oil fired gas turbine (SCGT) - MDT cooling (old),Small hydropower plant,Medium hydropower plant (Run-of river),Large hydropower plant (Dam),Light Fuel Oil stand alone (1kW),Light Fuel Oil power plant - MDT cooling (old),Light Fuel Oil power plant - OTF/OTS cooling (old),Natural gas power plant (combined cycle) - MDT cooling (new),Solar PV (utility),Solar PV (roof top),Solar PV with storage
26,2041.0,0.0,29.3865,-23.4762,2.7809,10.7222,0.0,0.0,0.3769,26.9633,44.9388,0.0,0.0,0.0,7.9821,0.0,71.7867,48.0958
27,2042.0,0.0,55.1194,-45.3929,2.3582,10.7222,0.0,0.0,0.3769,26.9633,44.9388,0.0,0.0,0.0,5.0525,0.0,80.7644,52.6354
28,2043.0,0.0,56.8882,-45.4323,2.0643,10.7222,0.0,0.0,0.3769,26.9633,44.9388,0.0,0.0,0.0,4.0129,0.0,89.5328,57.175
29,2044.0,0.0,56.8882,-40.9104,1.9047999999999998,10.7222,0.0,0.0,0.3769,26.9633,44.9388,0.0,0.0,0.0,5.0511,0.0,94.3603,61.7146
30,2045.0,0.0,56.8882,-37.8166,1.4979999999999998,10.7222,0.0,0.0,0.3769,26.9633,44.9388,0.0,0.0,0.0,4.0129,0.0,103.5766,66.2542
31,2046.0,0.0,56.8882,-27.6536,1.4979999999999998,10.7222,0.0,0.0,0.3769,26.9633,44.9388,0.0,0.0,0.0,4.127,0.0,105.4353,70.7939
32,2047.0,0.0,56.8882,-22.3995,1.4979999999999998,10.7222,0.0,0.0,0.3769,26.9633,44.9388,0.0,0.0,0.0,5.6232,0.0,111.7411,75.3335
33,2048.0,0.0,128.8147,-93.6713,2.3762,10.7222,0.0,0.0,0.3769,26.9633,44.9388,0.0,0.0,0.0,5.3604,0.0,127.7359,79.8731
34,2049.0,0.0,130.0369,-84.3634,1.8568999999999998,10.7222,0.0,0.0,0.3769,26.9633,44.9388,0.0,0.0,0.0,4.0129,0.0,134.2934,84.4127
35,2050.0,0.0,130.0369,-79.3475,1.565,10.7222,0.0,0.0,0.3769,26.9633,44.9388,0.0,0.0,0.0,4.0129,0.0,148.103,86.6825
