,y,Biomass & Waste CHP plant - OTF/OTS cooling (new),Biomass & Waste CHP plant - OTF/OTS cooling (old),Coal power plant - OTF/OTS cooling (new),Egypt - Jordan Historic EL trade link,Egypt - Saudi Arabia Planned EL trade link,Egypt - Sudan Historic and Planned EL trade link,Oil fired gas turbine (SCGT) - Air cooling (new),Oil fired gas turbine (SCGT) - Air cooling (old),Oil fired gas turbine (SCGT) - MDT cooling (new),Oil fired gas turbine (SCGT) - MDT cooling (old),Oil fired gas turbine (SCGT) - OTF/OTS cooling (old),Aswan 1,Aswan 2,Esna,High Aswan Dam,Small hydropower plant,Medium hydropower plant (Run-of river),Large hydropower plant (Dam),New Assiut Barrage,Naga Hamadi,Light Fuel Oil power plant - OTF/OTS cooling (new),Light Fuel Oil power plant - OTF/OTS cooling (old),Libya - Egypt Historic EL trade link,Natural gas power plant (combined cycle) - Air cooling (new),Natural gas power plant (combined cycle) - Air cooling (old),Natural gas power plant (combined cycle) - MDT cooling (new),Natural gas power plant (combined cycle) - MDT cooling (old),Natural gas power plant (combined cycle) - OTF/OTS cooling (new),Natural gas power plant (combined cycle) - OTF/OTS cooling (old),Natural gas power plant (single cycle) - MDT cooling (old),Natural gas power plant (single cycle) - OTF/OTS cooling (new),Natural gas power plant (single cycle) - OTF/OTS cooling (old),CSP (without storage),CSP (with storage),Aswan 1 FPV,Aswan 2 FPV,High Aswan Dam FPV,Solar PV (utility),Solar PV (roof top),Solar PV with storage,Wind (onshore),Wind (offshore)
22,2037.0,10.2943,0.0,213.4356,0.0,0.0,51.734,8.019,0.1592,8.019,0.1375,1.15,8.3886,8.089,2.3961,45.2983,1.9773,13.7552,15.1893,0.9509,1.9174,0.0,0.2147,5.0931,64.114,8.3549,256.1228,2.8826,189.5801,40.0911,1.7642,21.7529,9.1869,10.3851,13.0657,0.9041,0.8718,6.7688,36.0205,6.0068,8.845,86.071,10.1029
23,2038.0,10.2943,0.0,240.1151,0.0,0.0,52.1078,8.019,0.1061,8.019,0.0916,0.7666,8.3886,8.089,2.3961,45.2983,1.9773,13.7552,15.1893,0.9509,1.9174,0.0,0.1431,5.0931,90.7934,5.5699,256.1228,1.9217,194.1834,22.5393,1.1761,25.9535,6.1246,10.3851,13.0657,0.9041,0.8718,6.7688,39.3575,6.3405,9.3364,91.9964,10.1029
24,2039.0,10.2943,0.0,266.7946,0.0,0.0,51.1165,8.019,0.0531,7.7854,0.0458,0.2551,8.3886,8.089,2.3961,45.2983,1.9773,13.7552,15.1893,0.9509,1.9174,0.0,0.0716,5.0931,116.3846,0.8743,253.9953,0.3016,220.8629,4.1952,0.5881,16.2799,3.0623,10.3851,13.0657,0.9041,0.8718,6.7688,42.6946,6.6742,9.8278,97.9218,10.1029
25,2040.0,10.2943,0.0,293.474,0.0,0.0,49.9527,5.3363,0.0,0.0,0.0,0.0,8.3886,8.089,2.3961,45.2983,1.9773,13.7552,15.1893,0.9509,1.9174,1.4004,0.0,5.0931,84.6517,0.0,293.8292,0.0,247.5423,0.0,0.0,14.4046,0.0,10.3851,13.0657,0.9041,0.8718,6.7688,45.9649,7.0079,10.3192,100.8372,10.1029
26,2041.0,10.2943,0.0,333.4932,0.0,0.0,52.3494,0.0,0.0,0.0,0.0,0.0,8.3886,8.089,2.3961,45.2983,1.9773,13.7552,15.1893,0.9509,1.9174,0.0,0.0,5.0931,89.5213,0.0,286.1498,0.0,262.2869,0.0,0.0,8.8633,0.0,10.3851,13.0657,0.9041,0.8718,6.7688,50.7704,7.3416,10.8106,107.7353,10.1029
27,2042.0,10.2943,0.0,373.5124,0.0,0.0,52.1328,0.0,0.0,0.0,0.0,0.0,8.3886,8.089,2.3961,45.2983,1.9773,13.7552,15.1893,0.9509,1.9174,0.0,0.0,5.0931,139.6811,0.0,233.8241,0.0,262.3693,0.0,0.0,10.389,0.0,10.3851,13.0657,0.9041,0.8718,6.7688,55.776,7.6753,11.302,117.1417,10.1029
28,2043.0,10.2943,0.0,386.8521,0.0,0.0,52.8405,0.0,0.0,0.0,0.0,0.0,8.3886,8.089,2.3961,45.2983,1.9773,13.7552,15.1893,0.9509,1.9174,0.0,0.0,5.0931,125.4633,0.0,265.0951,0.0,276.9993,0.0,0.0,8.3823,0.0,10.3851,13.0657,0.9041,0.8718,6.7688,60.448,8.0091,11.7934,122.2839,10.1029
29,2044.0,10.2943,0.0,400.1918,0.0,0.0,53.034,0.0,0.0,0.0,0.0,0.0,8.3886,8.089,2.3961,45.2983,1.9773,13.7552,15.1893,0.9509,1.9174,0.0,0.0,5.0931,199.7669,0.0,182.0085,0.0,310.9601,0.0,0.0,8.6789,0.0,10.3851,13.0657,0.9041,0.8718,6.7688,65.4536,8.3428,12.2848,131.6904,10.1029
30,2045.0,10.2943,0.0,413.5316,0.0,0.0,54.0457,0.0,0.0,0.0,0.0,0.0,8.3886,8.089,2.3961,45.2983,1.9773,13.7552,15.1893,0.9509,1.9174,0.0,0.0,5.0931,87.6273,0.0,307.8206,0.0,322.4931,0.0,0.0,8.6789,0.0,10.3851,13.0657,0.9041,0.8718,6.7688,69.7918,8.6765,12.7762,141.0969,10.1029
31,2046.0,10.2943,0.0,413.5316,0.0,0.0,49.6139,0.0,0.0,0.0,0.0,0.0,8.3886,8.089,2.3961,45.2983,1.9773,13.7552,15.1893,0.9509,1.9174,0.0,0.0,5.0931,142.529,0.0,285.9724,0.0,349.1726,0.0,0.0,8.6789,0.0,5.1926,6.5328,0.9041,0.8718,6.7688,73.1289,9.0102,13.2675,147.3678,10.1029
