"TECHNOLOGY","VALUE"
"SSEL00TDTX","70"
"SSLFRCFURX","10"
"SSSOU1P03X","25"
"SSSOV1F01X","20"
"SSSOV2F01X","20"
"SSSOC1P00X","25"
"SSSOC2P00X","25"
"EGCO00E00X","100"
"EGCR00E00X","100"
"SSCR00E00X","100"
"SDCR00E00X","100"
"EGLF00E00X","100"
"EGHF00E00X","100"
"SDLF00E00X","100"
"SDHF00E00X","100"
"EGBM00E00X","100"
"EGHYDA1S03","80"
"EGHYDA2S03","80"
"EGHYDHAS03","80"
"ETHYDAES03","80"
"ETHYDAWS03","80"
"ETHYDANS02","80"
"ETHYDBRS03","80"
"ETHYDBAS03","80"
"ETHYDBBS03","80"
"ETHYDCYS03","80"
"ETHYDFCS03","80"
"ETHYDGBS03","80"
"ETHYDGJS03","80"
"ETHYDKRS03","80"
"ETHYDLTS03","80"
"ETHYDLDS03","80"
"ETHYDLSS03","80"
"ETHYDRNS03","80"
"ETHYDTMS03","80"
"ETHYDT1S03","80"
"ETHYDT2S03","80"
"ETHYDUDS03","80"
"ETHYDUMS03","80"
"SSHYDJBS03","80"
"SSHYDWAS02","80"
"SDHYDDGS03","80"
"SDHYDDLS03","80"
"SDHYDJAS02","80"
"SDHYDKBS03","80"
"SDHYDKSS02","80"
"SDHYDMRS03","80"
"SDHYDMGS03","80"
"SDHYDRSS03","80"
"SDHYDSBS03","80"
"SDHYDSNS02","80"
"SDHYDSHS03","80"
"SDHYDUAS03","80"
"EGHYDESS02","80"
"EGHYDNHS02","80"
"EGHYDNBS02","80"
"ETHYDSRS02","80"
"ETHYDT1S02","80"
"ETHYDT2S02","80"
"SSHYDBDS03","80"
"SSHYDFLS03","80"
"SSHYDFSS02","80"
"SSHYDLKS03","80"
"SSHYDSLS03","80"
"EGSOFPVA13","25"
"EGSOFPVA23","25"
"EGSOFPVHA3","25"
"ETSOFPVAE3","25"
"ETSOFPVAW3","25"
"ETSOFPVAN3","25"
"ETSOFPVBR3","25"
"ETSOFPVBA3","25"
"ETSOFPVBB3","25"
"ETSOFPVCY3","25"
"ETSOFPVFC3","25"
"ETSOFPVGB3","25"
"ETSOFPVGJ3","25"
"ETSOFPVKR3","25"
"ETSOFPVLT3","25"
"ETSOFPVLD3","25"
"ETSOFPVLS3","25"
"ETSOFPVRN3","25"
"ETSOFPVTM3","25"
"ETSOFPVT13","25"
"ETSOFPVT23","25"
"ETSOFPVUD3","25"
"ETSOFPVUM3","25"
"SSSOFPVJB3","25"
"SSSOFPVWA3","25"
"SDSOFPVDG3","25"
"SDSOFPVDL3","25"
"SDSOFPVJA3","25"
"SDSOFPVKB3","25"
"SDSOFPVKS3","25"
"SDSOFPVMR3","25"
"SDSOFPVMG3","25"
"SDSOFPVRS3","25"
"SDSOFPVSB3","25"
"SDSOFPVSN3","25"
"SDSOFPVSH3","25"
"SDSOFPVUA3","25"
