r,t,y,SalvageValue
REGION,EGSOV1F01X,2053, 2.6460450016942506e+01
REGION,EGSOV1F01X,2054, 3.7272559940221264e+01
REGION,EGSOV1F01X,2055, 4.6690333220820079e+01
REGION,EGSOV1F01X,2056, 5.4856573036182645e+01
REGION,EGSOV1F01X,2057, 6.1899641793000860e+01
REGION,EGSOV1F01X,2058, 6.7934906530344520e+01
REGION,EGSOV1F01X,2059, 73.0660408674354
REGION,EGSOV1F01X,2060, 7.7386197633413019e+01
REGION,EGSOV1F01X,2061, 1.6195812986282883e+02
REGION,EGSOV1F01X,2062, 1.2587972570975312e+02
REGION,EGSOV1F01X,2063, 8.6275971225015525e+01
REGION,EGSOV1F01X,2064, 88.1081577221484
REGION,EGSOV1F01X,2065, 8.9470814822199870e+01
REGION,EGSOV1F01X,2066, 9.0412813173893554e+01
REGION,EGSOV1F01X,2067, 9.0978018261633011e+01
REGION,EGSOV1F01X,2068, 9.1205796545877064e+01
REGION,EGSOV1F01X,2069, 2.2782867735671971e+02
REGION,EGSOV1F01X,2070, 3.1775355734856475e+02
REGION,EGSOV2F01X,2052, 2.1026793969933692e+01
REGION,EGSOV2F01X,2053, 3.9539930297097513e+01
REGION,EGSOV2F01X,2054, 5.5806931490971266e+01
REGION,EGSOV2F01X,2055, 7.0067280833247310e+01
REGION,EGSOV2F01X,2056, 8.2535354816129143e+01
REGION,EGSOV2F01X,2057, 93.4030489915749
REGION,EGSOV2F01X,2058, 1.0284212928416773e+02
REGION,EGSOV2F01X,2059, 1.1100633746950683e+02
REGION,EGSOV2F01X,2060, 1.1803327651904083e+02
REGION,EGSOV2F01X,2061, 2.4809219765141319e+02
REGION,EGSOV2F01X,2062, 193.732526877679
REGION,EGSOV2F01X,2063, 1.3345866211921012e+02
REGION,EGSOV2F01X,2064, 1.3704528666696834e+02
REGION,EGSOV2F01X,2065, 1.3999385910545456e+02
REGION,EGSOV2F01X,2066, 1.4237503118471972e+02
REGION,EGSOV2F01X,2067, 1.4425200914090948e+02
REGION,EGSOV2F01X,2068, 1.4568133297888966e+02
REGION,EGSOV2F01X,2069, 1.4671357427099136e+02
REGION,EGSOV2F01X,2070, 515.878863468499
REGION,EGSOC1P00X,2048, 47.0773386766557
REGION,EGSOC1P00X,2050, 1.3187405170951990e+03
REGION,EGSOC1P00X,2051, 2.3804580538517703e+03
REGION,EGSOC1P00X,2052, 2.6918170563232497e+03
REGION,EGSOC1P00X,2053, 2.9607935940306897e+03
REGION,EGSOC1P00X,2054, 3.1061604360054930e+03
REGION,EGSOC1P00X,2055, 4.5178984184013439e+02
REGION,EGSOC1P00X,2056, 4.7392633385630177e+02
REGION,EGSOC1P00X,2057, 4.9238813923241355e+02
REGION,EGSOC1P00X,2058, 5.0755137020608419e+02
