,y,Biomass & Waste CHP plant - OTF/OTS cooling (old),Coal power plant - OTF/OTS cooling (new),Egypt - Sudan Historic and Planned EL trade link,Ethiopia - Sudan EL existing trade link,Geothermal power plant - MDT cooling (new),Oil fired gas turbine (SCGT) - Air cooling (old),Oil fired gas turbine (SCGT) - MDT cooling (old),Small hydropower plant,Medium hydropower plant (Run-of river),Large hydropower plant (Dam),Light Fuel Oil stand alone (1kW),Light Fuel Oil power plant - MDT cooling (old),Light Fuel Oil power plant - OTF/OTS cooling (old),Natural gas power plant (combined cycle) - MDT cooling (new),Solar PV (utility),Solar PV (roof top),Solar PV with storage
40,2055.0,0.0,237.6646,-176.7698,2.2988999999999997,10.7222,0.0,0.0,0.3769,26.9633,44.9388,0.0,0.0,0.0,14.0086,0.0,186.9654,90.7923
41,2056.0,0.0,237.1503,-174.8089,2.1807,10.7222,0.0,0.0,0.3769,26.9633,44.9388,0.0,0.0,0.0,15.6604,0.0,201.5253,90.7923
42,2057.0,0.0,232.3898,-174.221,2.6946000000000003,10.7222,0.0,0.0,0.3769,26.9633,44.9388,0.0,0.0,0.0,16.0934,8.4855,214.7968,90.7923
43,2058.0,0.0,227.855,-173.314,2.1343,10.7222,0.0,0.0,0.3769,26.9633,44.9388,0.0,0.0,0.0,16.4949,18.7726,227.6999,90.7923
44,2059.0,0.0,223.5656,-173.1255,2.5175,10.7222,0.0,0.0,0.3769,26.9633,44.9388,0.0,0.0,0.0,17.1513,29.6201,240.2036,90.7923
45,2060.0,0.0,220.3823,-172.1945,2.6705,10.7222,0.0,0.0,0.3769,26.9633,44.9388,0.0,0.0,0.0,18.3874,39.6035,252.2819,90.7923
46,2061.0,0.0,217.9732,-171.4458,2.7824999999999998,10.7222,0.0,0.0,0.3769,26.9633,44.9388,0.0,0.0,0.0,18.989,46.3947,261.5393,90.7923
47,2062.0,0.0,215.554,-171.0229,3.7264,10.7222,0.0,0.0,0.3769,26.9633,44.9388,0.0,0.0,0.0,19.3559,54.234,270.0373,90.7923
48,2063.0,0.0,212.827,-169.6659,3.7264,10.7222,0.0,0.0,0.3769,26.9633,44.9388,0.0,0.0,0.0,19.7331,63.6961,277.7155,90.7923
49,2064.0,0.0,209.8726,-168.2707,3.7264,10.7222,0.0,0.0,0.3769,26.9633,44.9388,0.0,0.0,0.0,20.121,74.3055,284.9441,90.7923
50,2065.0,0.0,208.6996,-166.8363,3.7264,10.7222,0.0,0.0,0.342,26.9633,44.035,0.0,0.0,0.0,20.5197,79.7965,296.4718,90.7923
51,2066.0,0.0,193.6712,-162.1668,3.1724000000000006,10.7222,0.0,0.0,0.3769,25.758,42.93,0.0,0.0,0.0,22.2206,97.3642,307.5128,90.7923
52,2067.0,0.0,185.6576,-161.1972,3.1724000000000006,9.7308,0.0,0.0,0.342,25.758,42.93,0.0,0.0,0.0,21.9274,115.3503,315.9732,90.7923
53,2068.0,0.0,187.8205,-160.5618,3.1724000000000006,9.7308,0.0,0.0,0.342,26.9633,44.9388,0.0,0.0,0.0,21.7664,125.05,319.5288,90.7923
54,2069.0,0.0,183.7344,-159.5172,3.1724000000000006,9.7308,0.0,0.0,0.342,25.758,42.93,0.0,0.0,0.0,21.2811,143.7674,326.8246,90.7923
55,2070.0,0.0,182.6346,-158.764,3.1724000000000006,9.7308,0.0,0.0,0.342,25.758,42.93,0.0,0.0,0.0,20.901,159.8011,331.6107,90.7923
