,y,Coal power plant - OTF/OTS cooling (new),Oil fired gas turbine (SCGT) - Air cooling (new),Oil fired gas turbine (SCGT) - Air cooling (old),Oil fired gas turbine (SCGT) - MDT cooling (new),Oil fired gas turbine (SCGT) - MDT cooling (old),Oil fired gas turbine (SCGT) - OTF/OTS cooling (old),Light Fuel Oil power plant - OTF/OTS cooling (new),Light Fuel Oil power plant - OTF/OTS cooling (old),Natural gas power plant (combined cycle) - Air cooling (new),Natural gas power plant (combined cycle) - Air cooling (old),Natural gas power plant (combined cycle) - MDT cooling (new),Natural gas power plant (combined cycle) - MDT cooling (old),Natural gas power plant (combined cycle) - OTF/OTS cooling (new),Natural gas power plant (combined cycle) - OTF/OTS cooling (old),Natural gas power plant (single cycle) - MDT cooling (old),Natural gas power plant (single cycle) - OTF/OTS cooling (new),Natural gas power plant (single cycle) - OTF/OTS cooling (old)
33,2048.0,13318.013900000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1850.4422,0.0,1855.99,0.0,2137.2075,0.0,0.0,939.7917,0.0
34,2049.0,13709.7202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2243.3675,0.0,1701.8862,0.0,2331.4082000000003,0.0,0.0,718.755,0.0
35,2050.0,14101.4265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2167.034,0.0,1753.5069,0.0,2664.2336,0.0,0.0,677.014,0.0
36,2051.0,14493.1327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1773.1462000000001,0.0,2393.5416,0.0,2729.3211,0.0,0.0,656.174,0.0
37,2052.0,14884.839100000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970.2463,0.0,2515.5960999999998,0.0,2729.3211,0.0,0.0,634.3919000000001,0.0
38,2053.0,15276.5453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1901.3993,0.0,2590.1090000000004,0.0,3062.1463999999996,0.0,0.0,611.4969,0.0
39,2054.0,15668.2516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1908.9180000000001,0.0,2600.6378999999997,0.0,3394.9718,0.0,0.0,590.2937,0.0
40,2055.0,14493.1327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025.8833,0.0,3099.8199000000004,0.0,3541.8701,0.0,0.0,602.4163,0.0
41,2056.0,13318.013900000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2277.8685,0.0,3419.0924,0.0,3804.2547,0.0,0.0,575.6267,0.0
42,2057.0,14493.1327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2423.2776,0.0,3693.4624,0.0,3575.5362,0.0,0.0,543.3278,0.0
43,2058.0,15668.2516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2296.0412,0.0,3506.7662,0.0,4064.6472,0.0,0.0,536.8212,0.0
44,2059.0,16843.3705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1995.2972,0.0,3958.1203,0.0,4064.6472,0.0,0.0,554.9243,0.0
45,2060.0,18018.4894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2538.3527,0.0,3882.1747,0.0,3820.2734,0.0,0.0,536.4716,0.0
46,2061.0,18410.1957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2533.7389,0.0,4334.6406,0.0,3820.2734,0.0,0.0,554.8527,0.0
47,2062.0,18801.9019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2514.6178,0.0,4074.0343000000003,0.0,4577.1703,0.0,0.0,590.0024,0.0
48,2063.0,19193.6083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2482.602,0.0,4074.0343000000003,0.0,5109.2993,0.0,0.0,630.3102,0.0
49,2064.0,19585.3145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2732.2403,0.0,4336.891799999999,0.0,5109.2993,0.0,0.0,659.8371999999999,0.0
50,2065.0,19977.0208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2571.0415999999996,0.0,4298.0464,0.0,5661.3211,0.0,0.0,650.3428,0.0
51,2066.0,20368.7272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2829.0445999999997,0.0,4560.9991,0.0,5444.6366,0.0,0.0,674.1051,0.0
52,2067.0,20760.4334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2650.0821,0.0,4560.9991,0.0,5989.423199999999,0.0,0.0,616.802,0.0
53,2068.0,21152.1397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2612.4141,0.0,5155.9537,0.0,5989.423199999999,0.0,0.0,631.0115000000001,0.0
54,2069.0,21543.846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2542.5273,0.0,5515.8664,0.0,6322.2486,0.0,0.0,642.7189000000001,0.0
55,2070.0,21935.5523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2302.4918000000002,0.0,5814.767199999999,0.0,6655.074,0.0,0.0,674.5104,0.0
