,y,Coal power plant - Air cooling (new),Geothermal power plant - MDT cooling (new),Oil fired gas turbine (SCGT) - MDT cooling (new),Upper Mandaya,Light Fuel Oil stand alone (1kW),Natural gas power plant (combined cycle) - MDT cooling (new),Natural gas power plant (single cycle) - Air cooling (new),Beko Abo FPV,Chemoga Yeda FPV,Karadobi FPV,Lake Tana FPV,Renaissance FPV,Upper Mandaya FPV,Solar PV (utility),Solar PV (roof top),Solar PV with storage,Wind (onshore)
21,2037.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0
22,2038.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5744230053546341,0.0,1.5,0.0,0.0
23,2039.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0
24,2040.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0
25,2041.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9157551432191138,0.0,0.0
26,2042.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8423991007064107,0.0,0.0
27,2043.0,0.0,0.25,0.0,0.0,0.0,0.1827997853100633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5250632163137667,0.0,0.0
28,2044.0,0.0,0.25,0.0,0.0,0.0,0.06641315055979902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3404295541973903,0.5,0.0
29,2045.0,0.0,0.25,0.0,0.0,0.0,0.045433511677128155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9019062403819618,0.5,0.0
30,2046.0,0.0,0.25,0.0,0.0,0.0,0.07675105994970001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.431903287503628,0.5,0.0
31,2047.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8701248074048498,0.5,0.0
32,2048.0,0.0,0.25,0.0,0.0,0.0,0.2173823775574755,0.4445519159297065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.691970447428971,0.5,0.0
33,2049.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.5,0.0
34,2050.0,0.0,0.25,0.0,0.0,0.0,0.2467786003205512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.5,0.0
35,2051.0,0.0,0.25,0.0,0.0,0.0,0.08107479520949117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3712613141963916,0.5,0.0
36,2052.0,0.0,0.0,0.0,0.2344816755770752,0.0,0.13001543365462226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4835686992895174,0.5,0.0
37,2053.0,0.0,0.08587843542426583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.599160576699355,0.5,0.0
38,2054.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.31458962375672694,0.0
39,2055.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.5,0.0
40,2056.0,0.0,0.07974926770118239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.530843924597657,0.0,0.0,0.0,0.0,3.0,0.5,0.0
41,2057.0,0.1540475925790926,0.24526778715754582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2057619337208101,0.966795189042988,0.0,0.0,0.0,3.0,0.5,0.0
42,2058.0,0.5240060333485039,0.0891045097170059,0.0,0.0,0.0,0.15303121305261572,0.0,0.430454048454854,0.0,0.0,0.0,0.6463608516137076,0.0,0.0,3.0,0.5,0.0
43,2059.0,0.6618115244076861,0.25,0.0,0.0,0.0,0.14673452672856993,0.0,0.0,0.0,0.0,0.0,0.8109782952608255,0.0,0.0,3.0,0.5,0.0
44,2060.0,0.36945948638166143,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9931273554537094,0.0,0.0,3.0,0.5,1.0715372435433004
45,2061.0,0.053262183890302364,0.25,0.0,0.24167303554996813,0.0,0.0,0.0,0.0,0.128906025205732,0.0,0.0,0.4959569309456273,0.20822071910873696,0.0,3.0,0.5,0.5695812157658515
46,2062.0,0.0023215890098653522,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.5,0.609486352531378
47,2063.0,0.027479245443131156,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5744230053546341,0.0,3.0,0.5,0.42955164119035016
48,2064.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.5,0.9239326715850441
49,2065.0,0.02805090040994433,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.5,1.4215993912517488
50,2066.0,0.008184425848579889,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28506462160243556,3.0,0.5,0.9176692002520551
51,2067.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8187515946801387,3.0,0.5,0.3264746115036651
52,2068.0,0.0,0.25,0.0,0.07310958161848338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.5,0.1239239644202112
53,2069.0,0.0,0.25,0.013076619251263522,0.0,0.2929162712286565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.5,0.3663424515272951
54,2070.0,0.02482330453504289,0.25,0.0019598852174686986,0.0,0.04390142887138958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.5,0.39187058465357993
