,y,Biomass & Waste CHP plant - OTF/OTS cooling (old),Coal power plant - Air cooling (new),Ethiopia - Djibouti EL existing trade link,Ethiopia - Kenya EL planned trade link,Ethiopia - Sudan EL existing trade link,Geothermal power plant - MDT cooling (new),Geothermal power plant - MDT cooling (old),Oil fired gas turbine (SCGT) - MDT cooling (new),Small hydropower plant,Medium hydropower plant (Run-of river),Renaissance,Tis Abay 2,Tis Abay 1,Upper Mandaya,Light Fuel Oil stand alone (1kW),Light Fuel Oil power plant - MDT cooling (old),Natural gas power plant (combined cycle) - MDT cooling (new),Natural gas power plant (single cycle) - Air cooling (new),Beko Abo FPV,Chemoga Yeda FPV,Karadobi FPV,Lake Tana FPV,Renaissance FPV,Upper Mandaya FPV,Solar PV (utility),Solar PV (roof top),Solar PV with storage,Wind (onshore)
42,2057.0,0.0,1.5827,5.3927,59.9184,-1.8386,121.7802,0.0,0.0,0.0082,0.5089,28.4115,2.0723,0.2922,1.5074,0.0,0.0,9.825,1.2456,1.5834,0.5605,3.3704,4.7424,10.5833,3.1632,0.0,290.2662,65.4775,0.0
43,2058.0,0.0,6.9662,5.3927,59.9184,-1.8386,122.0631,0.0,0.0,0.012,0.5089,31.2668,2.0723,0.2922,1.5074,0.0,0.0,7.8722,1.2456,1.567,0.4239,2.6768,5.4134,10.9935,3.1632,0.0,303.2064,66.7757,0.0
44,2059.0,0.0,13.7655,5.3927,59.9184,-3.4452,122.2028,0.0,0.0,0.0082,0.9221,38.1059,2.2298,0.3145,1.5656,0.0,0.0,6.4302,1.2456,1.1991,0.4355,2.1773,3.4231,9.4842,2.0271,0.0,312.8887,72.8421,0.0
45,2060.0,0.0,15.1355,3.7213,37.27,-3.7264,132.7675,0.0,0.0,0.012,0.969,48.1548,2.0024,0.3145,2.1418,0.0,0.0,4.4291,1.2456,1.1485,0.3675,2.1773,3.8417,9.487,2.0271,0.0,322.5709,79.8902,9.4592
46,2061.0,0.0,13.9876,3.7213,38.5461,-3.7264,133.1085,0.0,0.0,0.0164,0.969,41.48,2.0024,0.3145,4.3492,0.0,0.0,3.7726,1.2456,1.5594,0.4925,2.9141,3.6528,12.1643,2.7681,0.0,329.5695,84.1412,14.4873
47,2062.0,0.0,13.535,3.7213,39.9883,-3.7264,133.1723,0.0,0.0,0.0178,0.8775,47.2666,2.0024,0.3145,4.3492,0.0,0.0,3.7726,1.2456,1.1485,0.3675,2.1773,2.7521,9.4842,2.0271,0.0,337.0416,87.2303,19.3972
48,2063.0,0.0,13.4022,3.7213,41.3478,-3.7708999999999997,132.898,0.0,0.0,0.012,0.9483,46.6984,2.2298,0.3145,4.9046,0.0,0.0,3.7726,1.2456,1.1485,0.3675,2.1773,2.7521,12.7349,2.0271,0.0,346.5621,86.7683,23.1475
49,2064.0,0.0,12.5156,3.7213,38.7761,-3.7264,133.3471,0.0,0.0,0.0157,0.7402,46.6279,2.2298,0.2824,4.9046,0.0,0.0,3.7726,1.1062,1.1485,0.3675,2.1773,2.7521,12.7349,2.0271,0.0,357.2744,88.5245,31.2513
50,2065.0,0.0,11.0795,3.7213,39.4896,-3.7264,132.69,0.0,0.0,0.0157,0.7402,46.3461,2.2298,0.3145,4.9046,0.0,0.0,3.7726,0.6579,1.1485,0.3675,2.1773,3.6528,12.7349,2.0271,0.0,364.3624,87.4849,44.8814
51,2066.0,0.0,10.2474,3.7213,41.3478,-3.7264,132.8224,0.0,0.0,0.0193,0.7402,46.2652,2.2298,0.3145,4.3492,0.0,0.0,3.7726,0.4948,1.1485,0.3675,2.1773,4.3141,12.7349,2.0271,0.7794,374.4842,86.0003,52.9907
52,2067.0,0.0,10.2962,4.5524,50.5818,-3.7264,127.6528,0.0,0.0,0.012,0.969,46.8817,2.2298,0.3145,3.1793,0.0,0.0,3.7726,0.6578,1.3909,0.3675,2.1773,3.4231,7.9032,2.4223,15.7158,375.3225,94.3028,48.1344
53,2068.0,0.0,10.2785,5.3927,59.9184,-3.7264,129.9895,0.0,0.0,0.0142,0.969,51.0414,2.2298,0.3145,3.6674,0.0,0.0,3.7726,0.7391,1.1485,0.3675,2.1773,3.6528,7.9032,2.0271,25.5397,377.3108,94.3028,39.8523
54,2069.0,0.0,10.414,5.3927,59.9184,-3.7264,132.7617,0.0,0.0351,0.0157,0.7402,38.1059,2.2298,0.3145,3.6674,0.7858,0.0,3.7726,0.0,1.1485,0.3675,2.1773,3.6528,9.4842,2.0271,44.2734,377.3108,94.3028,50.6646
55,2070.0,0.0,10.68,5.3927,59.9184,-3.7264,134.028,0.0,0.0403,0.012,0.969,45.921,2.2298,0.3145,3.6674,0.9036,0.0,3.7726,0.0,1.1485,0.3675,2.1773,3.6528,7.9032,2.0271,61.3307,377.3108,94.3028,46.9855
