,y,Biomass & Waste CHP plant - OTF/OTS cooling (old),Coal power plant - OTF/OTS cooling (new),Egypt - Sudan Historic and Planned EL trade link,Ethiopia - Sudan EL existing trade link,Geothermal power plant - MDT cooling (new),Oil fired gas turbine (SCGT) - Air cooling (old),Oil fired gas turbine (SCGT) - MDT cooling (old),Dal,Dagash,Jebel Aulia,Kajbar,Mograt,Merowe,Small hydropower plant,Medium hydropower plant (Run-of river),Large hydropower plant (Dam),Roseires,Sabaloka,Sennar,Shereik,Light Fuel Oil stand alone (1kW),Light Fuel Oil power plant - MDT cooling (old),Light Fuel Oil power plant - OTF/OTS cooling (old),Dal FPV,Dagash FPV,Jebel Aulia FPV,Kajbar FPV,Mograt FPV,Merowe FPV,Roseires FPV,Sabaloka FPV,Sennar FPV,Shereik FPV,Solar PV (utility),Solar PV (roof top),Solar PV with storage
26,2041.0,0.0,0.0,-53.6613,-0.7677999999999998,10.7222,0.0,0.0,18.4556,9.3473,0.5123,8.1111,4.7043,34.9958,0.2586,21.4358,40.5198,6.0501,6.1113,0.4209,9.2977,0.0,0.0,0.0,2.1018,1.0052,0.0579,1.1631,1.0108,3.9643,0.7525,0.6439,0.0741,1.3469,0.0,58.2768,36.7133
27,2042.0,0.0,0.0,-54.4988,-0.5835999999999997,10.7222,0.0,0.0,18.4556,9.3473,0.5123,8.1111,4.7043,34.9958,0.2586,21.4358,40.5198,6.0501,6.1113,0.4209,9.2977,0.0,0.0,0.0,2.1018,1.0052,0.0579,1.1631,1.0108,3.9643,0.7525,0.6439,0.0741,1.3469,0.0,67.2545,41.2529
28,2043.0,0.0,0.0,-54.949,-0.8315999999999999,10.7222,0.0,0.0,18.4556,9.3473,0.5123,8.1111,4.7043,34.9958,0.2586,21.4358,40.5198,6.0501,6.1113,0.4209,9.2977,0.0,0.0,0.0,2.1018,1.0052,0.0579,1.1631,1.0108,3.9643,0.7525,0.6439,0.0741,1.3469,0.0,77.0402,45.7925
29,2044.0,0.0,0.0,-56.6086,0.1192000000000002,10.7222,0.0,0.0,18.4556,9.3473,0.5123,8.1111,4.7043,34.9958,0.2586,21.4358,40.5198,6.0501,6.1113,0.4209,9.2977,0.0,0.0,0.0,2.1018,1.0052,0.0579,1.1631,1.0108,3.9643,0.7525,0.6439,0.0741,1.3469,0.0,87.6844,50.3322
30,2045.0,0.0,0.0,-57.9951,0.8035000000000001,10.7222,0.0,0.0,18.4556,9.3473,0.5123,8.1111,4.7043,34.9958,0.2586,21.4358,40.5198,6.0501,6.1113,0.4209,9.2977,0.0,0.0,0.0,2.1018,1.0052,0.0579,1.1631,1.0108,3.9643,0.7525,0.6439,0.0741,1.3469,0.0,99.2402,54.8718
31,2046.0,0.0,0.0,-52.9625,-0.7635999999999998,10.7222,0.0,0.0,18.4556,9.3473,0.5123,8.1111,4.7043,34.9958,0.2586,21.4358,40.5198,6.0501,6.1113,0.4209,9.2977,0.0,0.0,0.0,2.1018,1.0052,0.0579,1.1631,1.0108,3.9643,0.7525,0.6439,0.0741,1.3469,0.0,107.611,59.4114
32,2047.0,0.0,23.3338,-75.4887,0.8026,10.7222,0.0,0.0,18.4556,9.3473,0.5123,8.1111,4.7043,34.9958,0.2586,21.4358,40.5198,6.0501,6.1113,0.4209,9.2977,0.0,0.0,0.0,2.1018,1.0052,0.0579,1.1631,1.0108,3.9643,0.7525,0.6439,0.0741,1.3469,0.0,119.17,63.951
33,2048.0,0.0,113.29,-165.1146,0.8218999999999999,10.7222,0.0,0.0,18.4556,9.3473,0.5123,8.1111,4.7043,34.9958,0.2586,21.4358,40.5198,6.0501,6.1113,0.4209,9.2977,0.0,0.0,0.0,2.1018,1.0052,0.0579,1.1631,1.0108,3.9643,0.7525,0.6439,0.0741,1.3469,0.0,136.9469,68.4906
34,2049.0,0.0,115.1577,-157.6634,0.6482000000000001,10.7222,0.0,0.0,18.4556,9.3473,0.5123,8.1111,4.7043,34.9958,0.2586,21.4358,40.5198,6.0501,6.1113,0.4209,9.2977,0.0,0.0,0.0,2.1018,1.0052,0.0579,1.1631,1.0108,3.9643,0.7525,0.6439,0.0741,1.3469,0.0,143.1388,73.0302
35,2050.0,0.0,115.1577,-152.1425,0.14179999999999993,10.7222,0.0,0.0,18.4556,9.3473,0.5123,8.1111,4.7043,34.9958,0.2586,21.4358,40.5198,6.0501,6.1113,0.4209,9.2977,0.0,0.0,0.0,2.1018,1.0052,0.0579,1.1631,1.0108,3.9643,0.7525,0.6439,0.0741,1.3469,0.0,154.4198,77.5699
