,y,Biomass & Waste CHP plant - OTF/OTS cooling (old),Coal power plant - OTF/OTS cooling (new),Geothermal power plant - MDT cooling (new),Oil fired gas turbine (SCGT) - Air cooling (old),Oil fired gas turbine (SCGT) - MDT cooling (old),Dal,Dagash,Jebel Aulia,Kajbar,Mograt,Merowe,Small hydropower plant,Medium hydropower plant (Run-of river),Large hydropower plant (Dam),Roseires,Sabaloka,Sennar,Shereik,Light Fuel Oil stand alone (1kW),Light Fuel Oil power plant - MDT cooling (old),Light Fuel Oil power plant - OTF/OTS cooling (old),Natural gas power plant (combined cycle) - MDT cooling (new),Natural gas power plant (single cycle) - OTF/OTS cooling (new),Solar PV (utility),Solar PV (roof top),Solar PV with storage
20,2035.0,0.0,0.0,0.4000000000000001,0.10125,0.3750965,0.648,0.312,0.019,0.36,0.312,1.24,0.0328,1.4803000171658451,3.0,0.27,0.205,0.026,0.42,0.0,0.0800375,0.0078,0.058882350988176485,0.0,0.0,2.1598587061493415,1.0440607846188392
21,2036.0,0.0,0.0,0.4000000000000001,0.081,0.3000772,0.648,0.312,0.019,0.36,0.312,1.24,0.0328,1.5467595279560633,3.0,0.27,0.205,0.026,0.42,0.0,0.06403,0.00624,0.058882350988176485,0.0,0.0,3.256206134325797,1.5440607846188392
22,2037.0,0.0,0.0,0.4000000000000001,0.06075,0.2250579,0.648,0.312,0.019,0.36,0.312,1.24,0.0328,1.6222960212784163,3.0,0.27,0.205,0.026,0.42,0.0,0.0480225,0.00468,0.058882350988176485,0.0,0.0,4.495812236187995,2.044060784618839
23,2038.0,0.0,0.0,0.4000000000000001,0.0405,0.1500386,0.648,0.312,0.019,0.36,0.312,1.24,0.0328,1.6292637906951581,3.0,0.27,0.205,0.026,0.42,0.0,0.032015,0.00312,0.058882350988176485,0.0,0.0,5.889803556661514,2.544060784618839
24,2039.0,0.0,0.0,0.4000000000000001,0.02025,0.0750193000000002,0.648,0.312,0.019,0.36,0.312,1.24,0.0328,1.6480543529627816,3.0,0.27,0.205,0.026,0.42,0.0,0.0160075,0.00156,0.058882350988176485,0.0,0.0,7.389398556661513,3.044060784618839
25,2040.0,0.0,0.0,0.4000000000000001,0.0,0.0,0.648,0.312,0.019,0.36,0.312,1.24,0.0328,1.8,3.0,0.27,0.205,0.026,0.42,0.0,0.0,0.0,0.058882350988176485,0.0,0.0,8.889398556661513,3.544060784618839
26,2041.0,0.0,0.0,0.4000000000000001,0.0,0.0,0.648,0.312,0.019,0.36,0.312,1.24,0.0328,1.8,3.0,0.27,0.205,0.026,0.42,0.0,0.0,0.0,0.058882350988176485,0.0,0.0,10.276048131147775,4.044060784618839
27,2042.0,0.0,0.0,0.4000000000000001,0.0,0.0,0.648,0.312,0.019,0.36,0.312,1.24,0.0328,1.8,3.0,0.27,0.205,0.026,0.42,0.0,0.0,0.0,0.058882350988176485,0.0,0.0,11.791106107052059,4.544060784618839
28,2043.0,0.0,0.0,0.4000000000000001,0.0,0.0,0.648,0.312,0.019,0.36,0.312,1.24,0.0328,1.8,3.0,0.27,0.205,0.026,0.42,0.0,0.0,0.0,0.058882350988176485,0.0,0.0,13.442531089118184,5.044060784618839
29,2044.0,0.0,0.0,0.4000000000000001,0.0,0.0,0.648,0.312,0.019,0.36,0.312,1.24,0.0328,1.8,3.0,0.27,0.205,0.026,0.42,0.0,0.0,0.0,0.058882350988176485,0.0,0.0,15.238817486156567,5.544060784618839
30,2045.0,0.0,0.0,0.4000000000000001,0.0,0.0,0.648,0.312,0.019,0.36,0.312,1.24,0.0328,1.8,3.0,0.27,0.205,0.026,0.42,0.0,0.0,0.0,0.058882350988176485,0.0,0.0,17.188961815345657,6.044060784618839
31,2046.0,0.0,0.0,0.4000000000000001,0.0,0.0,0.648,0.312,0.019,0.36,0.312,1.24,0.0328,1.8,3.0,0.27,0.205,0.026,0.42,0.0,0.0,0.0,0.058882350988176485,0.0,0.0,18.541043053815816,6.544060784618839
32,2047.0,0.0,0.0,0.4000000000000001,0.0,0.0,0.648,0.312,0.019,0.36,0.312,1.24,0.0328,1.8,3.0,0.27,0.205,0.026,0.42,0.0,0.0,0.0,0.058882350988176485,0.0,0.0,20.110521308468815,7.044060784618839
33,2048.0,0.0,2.4552726118425396,0.4000000000000001,0.0,0.0,0.648,0.312,0.019,0.36,0.312,1.24,0.0328,1.8,3.0,0.27,0.205,0.026,0.42,0.0,0.0,0.0,0.058882350988176485,0.0009013999883143553,0.0,23.110521308468815,7.544060784618839
34,2049.0,0.0,2.4552726118425396,0.4000000000000001,0.0,0.0,0.648,0.312,0.019,0.36,0.312,1.24,0.0328,1.8,3.0,0.27,0.205,0.026,0.42,0.0,0.0,0.0,0.058882350988176485,0.0009013999883143553,0.0,23.110521308468815,8.04406078461884
35,2050.0,0.0,2.4552726118425396,0.4000000000000001,0.0,0.0,0.648,0.312,0.019,0.36,0.312,1.24,0.0328,1.8,3.0,0.27,0.205,0.026,0.42,0.0,0.0,0.0,0.058882350988176485,0.0009013999883143553,0.0,24.812512311272407,8.54406078461884
36,2051.0,0.0,2.4552726118425396,0.4000000000000001,0.0,0.0,0.648,0.312,0.019,0.36,0.312,1.24,0.0328,1.8,3.0,0.27,0.205,0.026,0.42,0.0,0.0,0.0,0.0,0.0009013999883143553,0.0,25.82699145795612,9.04406078461884
37,2052.0,0.0,2.4552726118425396,0.4,0.0,0.0,0.648,0.312,0.019,0.36,0.312,1.24,0.0328,1.8,3.0,0.27,0.205,0.026,0.42,0.0,0.0,0.0,0.0,0.0009013999883143553,0.0,27.510729641674104,9.54406078461884
38,2053.0,0.0,2.4552726118425396,0.4,0.0,0.0,0.648,0.312,0.019,0.36,0.312,1.24,0.0328,1.8,3.0,0.27,0.205,0.026,0.42,0.0,0.0,0.0,0.0,0.0009013999883143553,0.0,29.642375997023898,9.54406078461884
39,2054.0,0.0,2.4552726118425396,0.4,0.0,0.0,0.648,0.312,0.019,0.36,0.312,1.24,0.0328,1.8,3.0,0.27,0.205,0.026,0.42,0.0,0.0,0.0,0.0,0.0009013999883143553,0.0,31.394449711000078,9.54406078461884
