,y,Biomass & Waste CHP plant - OTF/OTS cooling (old),Coal power plant - Air cooling (new),Ethiopia - Djibouti EL existing trade link,Ethiopia - Kenya EL planned trade link,Ethiopia - Sudan EL existing trade link,Geothermal power plant - MDT cooling (new),Geothermal power plant - MDT cooling (old),Oil fired gas turbine (SCGT) - MDT cooling (new),Small hydropower plant,Medium hydropower plant (Run-of river),Large hydropower plant (Dam),Light Fuel Oil stand alone (1kW),Light Fuel Oil power plant - MDT cooling (new),Light Fuel Oil power plant - MDT cooling (old),Natural gas power plant (combined cycle) - MDT cooling (new),Natural gas power plant (single cycle) - Air cooling (new),Solar PV (utility),Solar PV (roof top),Solar PV with storage,Wind (onshore)
18,2033.0,0.0,0.0,5.3927,59.9184,-5.9918,27.8778,0.1287,0.0,0.0,2.7281,84.6474,0.0,0.0,0.2392,0.0,0.0,0.0177,0.0258,0.0,2.179
19,2034.0,0.0,0.0,5.3927,59.9184,-5.9918,27.8778,0.1179,0.0,0.0,2.7281,97.8679,0.0,0.0,0.205,0.0,0.0,0.0148,0.0258,0.0,2.0906
20,2035.0,0.0,0.0,5.3927,59.9184,-5.9918,27.8778,0.1072,0.0,0.0,2.7281,114.4622,0.0,0.0,0.1708,0.0,0.0,0.0118,0.0194,0.0,2.0022
21,2036.0,0.0,0.0,5.3927,59.9184,-5.9918,27.8778,0.0965,0.0,0.0,2.7281,130.1739,0.0,0.0,0.1367,0.0,0.0,0.0089,0.0065,0.0,1.9137
22,2037.0,0.0,0.0,5.3927,59.9184,-4.7755,27.8778,0.0858,0.0,0.0212,2.7281,145.7412,0.0,0.0,0.1025,0.0,0.0,0.0059,0.0,0.0,1.8253
23,2038.0,0.0,0.0,5.3927,59.9184,-3.54,27.8778,0.0751,0.0,0.0284,2.7281,155.687,0.0,0.0,0.0683,6.8668,0.0,0.003,0.0,0.0,1.7369
24,2039.0,0.0,0.0,5.3927,59.9184,-3.1129,27.8778,0.0643,0.0,0.0284,2.7281,166.2074,0.0,0.0,0.0342,15.3604,0.0,0.0,0.0,0.0,1.6485
25,2040.0,0.0,0.0,5.3927,59.9184,-3.1711,27.8778,0.0536,0.0,0.0284,2.7281,178.4638,0.0,0.0,0.0,25.6016,0.0,0.0,0.0,0.0,0.0
26,2041.0,0.0,0.0,5.3927,59.9184,-2.7809,27.8778,0.0429,0.0,0.0757,2.7281,186.7042,0.0,0.0,0.0,32.1785,0.0041,0.0,1.8687,0.0,0.0
27,2042.0,0.0,0.0,5.3927,59.9184,-2.3582,27.8778,0.0322,0.0,0.0757,2.7281,186.7042,0.0,0.0,0.0,31.1477,0.2916,0.0,17.8663,0.0,0.0
28,2043.0,0.0,0.0,5.3927,59.9184,-2.0643,27.8778,0.0214,0.0,0.0284,2.7281,185.9952,0.0,0.0,0.0,29.8241,0.3194,0.0,36.0444,0.0,0.0
29,2044.0,0.0,0.0,5.3927,59.9184,-1.9047999999999998,27.8778,0.0107,0.0,0.0284,2.7281,185.1942,0.0,0.0,0.0,28.423,0.5167,0.0,55.3274,0.0,0.0
30,2045.0,0.0,0.0,5.3927,59.9184,-1.4979999999999998,26.6009,0.0,0.0,0.0284,2.7281,185.8246,0.0,0.0,0.0,27.5224,0.9797,0.0,74.6919,0.0,0.0
31,2046.0,0.0,0.0,5.3927,59.9184,-1.4979999999999998,28.7453,0.0,0.0,0.0284,2.7281,182.3187,0.0,0.0,0.0,25.1192,0.5723,0.0,94.0564,4.1223,0.0
32,2047.0,0.0,0.0,5.3927,59.9184,-1.4979999999999998,32.7662,0.0,0.0,0.0284,2.7281,177.9613,0.0,0.0,0.0,21.9979,0.4829,0.0,113.4209,8.9265,0.0
33,2048.0,0.0,0.0,5.3927,59.9184,-2.3762,34.1064,0.0,0.0,0.0403,2.7281,176.0806,0.0,0.0,0.0,20.3909,1.4542,0.0,132.7854,13.7308,0.0
34,2049.0,0.0,0.0,5.3927,59.9184,-1.8568999999999998,34.1064,0.0,0.0,0.0333,2.4291,175.4127,0.0,0.0,0.0,20.3694,1.4542,0.0,152.1499,18.535,0.0
35,2050.0,0.0,1.3997,5.3927,59.9184,-1.565,35.4467,0.0,0.0,0.0333,2.7281,173.3654,0.0,0.0,0.0,19.8852,1.8537,0.0,171.5144,23.3392,0.0
36,2051.0,0.0,1.3997,5.3927,59.9184,-1.4866,35.4467,0.0,0.0,0.0333,2.7281,169.3514,0.0,0.0,0.0,18.7206,1.8537,0.0,190.8789,24.1491,0.0
37,2052.0,0.0,1.3997,5.3927,59.9184,-1.4182,35.4467,0.0,0.0,0.0333,1.7161,166.2276,0.0,0.0,0.0,17.5317,1.8537,0.0,210.2434,25.6685,0.0
38,2053.0,0.0,1.3997,5.3927,59.9184,-1.3598999999999999,32.1691,0.0,0.0,0.0333,1.7161,166.6793,0.0,0.0,0.0,16.3179,1.8537,0.0,229.6079,26.6796,0.0
39,2054.0,0.0,1.3997,5.3927,59.9184,-1.3119999999999998,32.1691,0.0,0.0,0.0333,1.7161,163.7283,0.0,0.0,0.0,15.0785,1.8537,0.0,246.4898,30.9182,0.0
40,2055.0,0.0,1.1023,5.3927,59.9184,-1.8412000000000002,35.4467,0.0,0.0,0.0333,1.7161,153.056,0.0,0.0,0.0,14.6769,1.8537,0.0,268.3369,34.6904,0.0
41,2056.0,0.0,1.1023,5.3927,59.9184,-2.4017999999999997,35.4467,0.0,0.0,0.0263,1.7161,147.9193,0.0,0.0,0.0,14.2389,1.829,0.0,287.7014,39.4946,0.0
42,2057.0,0.0,1.1023,5.3927,59.9184,-2.3665000000000003,35.834,0.0,0.0,0.0382,1.8853,142.2486,0.0,0.0,0.0,13.854,1.8537,0.0,307.0659,44.2988,0.0
43,2058.0,0.0,1.1023,5.3927,59.9184,-2.8419999999999996,40.1534,0.0,0.0,0.0263,2.7281,137.8466,0.0,0.0,0.0,13.1895,1.5947,0.0,322.9711,49.103,0.0
44,2059.0,0.0,1.1023,4.5616,50.6844,-3.5504,46.8548,0.0,0.0,0.0263,1.4378,136.6184,0.0,0.0,0.0,12.3941,1.2009,0.0,345.7949,53.9072,0.0
45,2060.0,0.0,0.653,4.5616,50.6844,-3.7264,36.9575,0.0,0.0,0.0263,1.7033,144.8816,0.0,0.0,0.0,11.6955,0.8998,0.0,365.1594,58.7115,0.0
46,2061.0,0.0,0.6013,4.063,45.144,-3.7264,60.2576,0.0,0.0,0.0143,2.7281,121.0618,0.0,0.0,0.0,10.4138,0.0,0.0,382.6551,63.5157,0.0
47,2062.0,0.0,1.7676,4.063,45.144,-3.7264,50.6828,0.0,0.0,0.0143,1.2509,141.1401,0.0,0.0,0.0,10.3467,0.0,0.0,386.0221,67.2069,0.0
48,2063.0,0.0,3.6083,4.063,45.144,-3.7264,66.8494,0.0,0.0,0.0143,2.3377,137.3946,0.0,0.0,0.0,10.1868,0.0,0.0,385.3024,73.1241,0.0
49,2064.0,0.0,9.7702,4.063,45.144,-3.1724000000000006,55.4552,0.0,0.0,0.0263,1.4378,155.2075,0.0,0.0,0.0,6.5921,0.0,0.0,387.29,77.9283,0.0
50,2065.0,0.0,12.8221,4.5616,50.6844,-3.7264,52.0292,0.0,0.0,0.0263,1.7033,163.7727,0.0,0.0,0.0,6.5798,0.0,0.0,387.29,82.7325,0.0
51,2066.0,0.0,17.5672,5.3927,59.9184,-2.6184000000000003,89.138,0.0,0.0,0.0263,2.4291,129.1839,0.0,0.0,0.0,6.5049,0.0,0.0,387.2021,83.4144,0.0
52,2067.0,0.0,22.7196,5.3927,59.9184,-3.1724000000000006,84.9833,0.0,0.0,0.0453,1.2608,150.0824,0.0,0.0,0.0,6.4184,0.0,0.0,387.29,83.4144,0.0
53,2068.0,0.0,20.0249,3.2227,35.8074,-3.1724000000000006,101.6614,0.0,0.0,0.0451,1.7063,165.7573,0.0,0.0,0.0,5.6375,0.0,0.0,387.29,83.4144,17.5852
54,2069.0,0.0,18.9165,3.2227,35.8074,-2.6054,113.8688,0.0,0.021,0.0333,2.7281,156.8206,0.4712,0.0,0.0,4.4213,0.0,0.0,387.29,83.4144,35.5361
55,2070.0,0.0,20.2255,3.2227,35.8074,-2.0519999999999996,116.8934,0.0,0.1166,0.0571,1.7063,168.361,2.6111,0.0,0.0,1.7663,0.0,4.6286,387.29,83.4144,37.1133
