,y,Coal,Oil,Gas,Hydro,Nuclear,Solar CSP,Solar PV,Wind,Biomass,Coal Production,Crude Oil production,Crude oil Refinery,Natural gas extraction
38,2053.0,539.58,0.0,2933.86,8388.14,0.01,2.08,0.83,0.35,1620.11,0.0,0.0,0.0,0.0
39,2054.0,417.03,0.0,2835.16,8388.14,0.01,3.27,0.85,0.37,1678.43,0.0,0.0,0.0,0.0
40,2055.0,304.9,0.0,2735.99,8388.14,0.01,4.01,0.88,0.39,1736.76,0.0,0.0,0.0,0.0
41,2056.0,0.0,0.0,2878.14,8388.14,0.01,4.75,0.9,0.4,1795.08,0.0,0.0,0.0,0.0
42,2057.0,0.0,0.0,2686.59,8388.14,0.01,5.49,0.91,0.41,1853.41,0.0,0.0,0.0,0.0
43,2058.0,0.0,0.0,2541.06,8388.14,0.01,6.23,0.92,0.43,1911.73,0.0,0.0,0.0,0.0
44,2059.0,0.0,0.0,2497.22,8388.14,0.01,6.39,0.96,0.44,1970.05,0.0,0.0,0.0,0.0
45,2060.0,0.0,0.0,2444.28,8388.14,0.01,6.55,0.97,0.45,2028.38,0.0,0.0,0.0,0.0
46,2061.0,0.0,0.0,2324.12,8388.14,0.01,6.7,0.99,0.48,2086.7,0.0,0.0,0.0,0.0
47,2062.0,0.0,0.0,2212.86,8388.14,0.01,6.86,1.02,0.5,2145.02,0.0,0.0,0.0,0.0
48,2063.0,0.0,0.0,1995.72,8388.14,0.01,7.02,1.04,0.52,2203.35,0.0,0.0,0.0,0.0
49,2064.0,0.0,0.0,1805.33,8388.14,0.01,7.18,1.07,0.54,2261.67,0.0,0.0,0.0,0.0
50,2065.0,0.0,0.0,1772.92,8388.14,0.01,7.34,1.09,0.57,2320.0,0.0,0.0,0.0,0.0
51,2066.0,0.0,0.0,1568.41,8388.14,0.01,7.5,1.11,0.57,2378.32,0.0,0.0,0.0,0.0
52,2067.0,0.0,0.0,1795.16,8388.14,0.01,7.66,1.12,0.58,2436.64,0.0,0.0,0.0,0.0
53,2068.0,0.0,0.0,1583.18,8388.14,0.01,7.82,1.13,0.59,2494.97,0.0,0.0,0.0,0.0
54,2069.0,0.0,0.0,1419.2,8388.14,0.01,7.98,1.17,0.59,2494.97,0.0,0.0,0.0,0.0
55,2070.0,0.0,0.0,2285.87,8388.14,0.01,8.13,1.18,0.6,2494.97,0.0,0.0,0.0,0.0
