r,t,y,AnnualFixedOperatingCost
REGION,EGNGGCP04O,2017, 242.46038
REGION,EGNGGCP04O,2018, 242.46038
REGION,EGNGGCP04O,2019, 242.46038
REGION,EGNGGCP04O,2020, 242.46038
REGION,EGNGGCP04O,2021, 230.337361
REGION,EGNGGCP04O,2022, 218.214342
REGION,EGNGGCP04O,2023, 206.091323
REGION,EGNGGCP04O,2024, 193.968304
REGION,EGNGGCP04O,2025, 181.845285
REGION,EGNGGCP04O,2026, 169.722266
REGION,EGNGGCP04O,2027, 157.599247
REGION,EGNGGCP04O,2028, 145.476228
REGION,EGNGGCP04O,2029, 133.353209
REGION,EGNGGCP04O,2030, 121.23019
REGION,EGNGGCP04O,2031, 109.107171
REGION,EGNGGCP04O,2032, 96.984152
REGION,EGNGGCP04O,2033, 84.861133
REGION,EGNGGCP04O,2034, 72.738114
REGION,EGNGGCP04O,2035, 60.615095
REGION,EGNGGCP04O,2036, 48.492076
REGION,EGNGGCP04O,2037, 36.369057
REGION,EGNGGCP04O,2038, 24.246038
REGION,EGNGGCP04O,2039, 12.123019
REGION,EGNGGCP04N,2015, 39
REGION,EGNGGCP04N,2016, 52
REGION,EGNGGCP04N,2017, 58.6
REGION,EGNGGCP04N,2018, 97.6
REGION,EGNGGCP04N,2019, 97.6
REGION,EGNGGCP04N,2020, 97.6
REGION,EGNGGCP04N,2021, 97.6
REGION,EGNGGCP04N,2022, 97.6
REGION,EGNGGCP04N,2023, 97.6
REGION,EGNGGCP04N,2024, 97.6
REGION,EGNGGCP04N,2025, 97.6
REGION,EGNGGCP04N,2026, 97.6
REGION,EGNGGCP04N,2027, 97.6
REGION,EGNGGCP04N,2028, 97.6
REGION,EGNGGCP04N,2029, 97.6
REGION,EGNGGCP04N,2030, 97.6
REGION,EGNGGCP04N,2031, 97.6
REGION,EGNGGCP04N,2032, 97.6
REGION,EGNGGCP04N,2033, 97.6
REGION,EGNGGCP04N,2034, 97.6
REGION,EGNGGCP04N,2035, 97.6
REGION,EGNGGCP04N,2036, 97.6
REGION,EGNGGCP04N,2037, 97.6
REGION,EGNGGCP04N,2038, 97.6
REGION,EGNGGCP04N,2039, 97.6
REGION,EGNGGCP04N,2040, 6.6440769356740816e+01
REGION,EGNGGCP04N,2041, 5.7260966748137122e+01
REGION,EGNGGCP04N,2042, 5.0660966748137120e+01
REGION,EGNGGCP04N,2043, 4.1660966748137120e+01
REGION,EGNGGCP04N,2044, 5.3078800130130070e+01
REGION,EGNGGCP04N,2045, 5.3078800130130070e+01
REGION,EGNGGCP04N,2046, 5.3078800130130070e+01
REGION,EGNGGCP04N,2047, 8.3078800130130062e+01
REGION,EGNGGCP04N,2048, 1.1307880013013006e+02
REGION,EGNGGCP04N,2049, 1.1307880013013006e+02
REGION,EGNGGCP04N,2050, 1.1307880013013006e+02
REGION,EGNGGCP04N,2051, 1.1307880013013006e+02
REGION,EGNGGCP04N,2052, 1.1307880013013006e+02
REGION,EGNGGCP04N,2053, 1.1307880013013006e+02
REGION,EGNGGCP04N,2054, 1.1768098637353728e+02
REGION,EGNGGCP04N,2055, 1.2217850197296337e+02
REGION,EGNGGCP04N,2056, 1.2991519379836319e+02
REGION,EGNGGCP04N,2057, 1.3706494548711780e+02
REGION,EGNGGCP04N,2058, 1.3706494548711780e+02
REGION,EGNGGCP04N,2059, 1.4487993086691907e+02
REGION,EGNGGCP04N,2060, 1.5514227552752172e+02
REGION,EGNGGCP04N,2061, 1.5514227552752172e+02
REGION,EGNGGCP04N,2062, 1.5947505919675646e+02
REGION,EGNGGCP04N,2063, 1.6203432091050172e+02
REGION,EGNGGCP04N,2064, 1.6203432091050172e+02
REGION,EGNGGCP04N,2065, 1.5419355155376090e+02
REGION,EGNGGCP04N,2066, 1.5037335416236459e+02
REGION,EGNGGCP04N,2067, 1.5037335416236459e+02
REGION,EGNGGCP04N,2068, 1.4564246791013170e+02
