r,t,y,DiscountedSalvageValue
REGION,EGELSDBP00,2055, 5.0383342742950461e+00
REGION,EGELSDBP00,2056, 3.5136042555968334e+00
REGION,EGELSDBP00,2057, 3.0800211824499044e+00
REGION,EGELSDBP00,2058, 4.2231717131138069e-01
REGION,ETCRUDPROX,2037, 1.2924992561107279e-01
REGION,ETCRUDPROX,2038, 0.253819419505197
REGION,ETCRUDPROX,2039, 3.7431550447538992e-01
REGION,ETCRUDPROX,2040, 4.9125469731367410e-01
REGION,ETCRUDPROX,2041, 4.6115049936189795e-01
REGION,ETCRUDPROX,2042, 5.4107619972093735e-01
REGION,ETCRUDPROX,2043, 6.1793672636278518e-01
REGION,ETCRUDPROX,2044, 6.9212146593747648e-01
REGION,ETCRUDPROX,2045, 7.6388098639238988e-01
REGION,ETCRUDPROX,2046, 8.3308971735870574e-01
REGION,ETCRUDPROX,2047, 9.0039086936886925e-01
REGION,ETCRUDPROX,2048, 0.965752383831349
REGION,ETCRUDPROX,2049, 1.0293059543420604e+00
REGION,ETCRUDPROX,2050, 1.0911929123639488e+00
REGION,ETCRUDPROX,2051, 8.9317550234108811e-01
REGION,ETCRUDPROX,2052, 0.934060298994206
REGION,ETCRUDPROX,2053, 9.7330256997947362e-01
REGION,ETCRUDPROX,2054, 1.0109213100371430e+00
REGION,ETCRUDPROX,2055, 1.0470670190354019e+00
REGION,ETCRUDPROX,2056, 1.0820281516448342e+00
REGION,ETCRUDPROX,2057, 1.1159138540338860e+00
REGION,ETCRUDPROX,2058, 1.14863386258548
REGION,ETCRUDPROX,2059, 1.1802296828842609e+00
REGION,ETCRUDPROX,2060, 3.0931257966105758e+01
REGION,ETCRUDPROX,2061, 2.0417607122808015e+00
REGION,ETCRUDPROX,2062, 2.1059014116493597e+00
REGION,ETCRUDPROX,2063, 2.1694787297374654e+00
REGION,ETCRUDPROX,2064, 2.2325264525333881e+00
REGION,ETCRUDPROX,2065, 2.1819629993469820e+00
REGION,ETCRUDPROX,2066, 2.1577975981141138e+00
REGION,ETCRUDPROX,2067, 2.2163801593605736e+00
REGION,ETCRUDPROX,2068, 2.2748387545069253e+00
REGION,ETCRUDPROX,2069, 2.7525568989611622e+00
REGION,ETCRUDPROX,2070, 4.4824899321486491e+00
REGION,ETCOSCP01N,2050, 7.3835726747265029e-01
REGION,ETCOSCP01N,2062, 2.1508561606256591e+00
REGION,ETCOSCP01N,2063, 3.4425975249868093e+00
REGION,ETCOSCP01N,2064, 1.0636459452326379e+01
REGION,ETCOSCP01N,2065, 4.1076559570973767e+00
REGION,ETCOSCP01N,2066, 6.2221905305440410e+00
REGION,ETCOSCP01N,2067, 6.7828665878328973e+00
REGION,ETCOSCP01N,2068, 1.3353873725716073e-01
REGION,ETCOSCP01N,2069, 1.5748857048182923e+00
REGION,ETCOSCP01N,2070, 2.6150946268488133e+00
REGION,ETNGCCP02N,2042, 5.9404973758914648e-04
REGION,ETNGGCP01N,2048, 1.4005678429719548e-01
REGION,ETNGGCP01N,2050, 1.1585599334742082e-01
REGION,ETHFGCP02N,2069, 6.5503975971185083e-02
REGION,ETHFGCP02N,2070, 3.0085375208958209e-01
REGION,ETHYDMS03X,2015, 5.6082826581527749e+00
REGION,ETHYDMS03X,2017, 2.5339243172603673e+01
REGION,ETHYDMS03X,2019, 3.4978878821837380e+00
REGION,ETHYDMS03X,2020, 1.0394277876572447e+01
REGION,ETHYDMS03X,2021, 1.5059309422758465e+01
REGION,ETHYDMS03X,2022, 1.5142536041389581e+01
REGION,ETHYDMS03X,2023, 3.6988672300857658e+01
REGION,ETHYDMS03X,2024, 3.7155851573819525e+01
REGION,ETHYDMS01X,2016, 1.3924979533016121e-01
REGION,ETWINDP00X,2068, 1.6274017320326088e+01
REGION,ETWINDP00X,2069, 1.3512752406831222e+01
REGION,ETWINDP00X,2070, 4.7861408429400729e+00
REGION,ETGOCVP02N,2047, 4.8122268527767881e-01
REGION,ETGOCVP02N,2048, 9.1533266010859193e-01
REGION,ETGOCVP02N,2049, 1.3067585775464881e+00
REGION,ETGOCVP02N,2050, 1.6595132422423382e+00
REGION,ETGOCVP02N,2057, 1.9141191684215544e-01
REGION,ETGOCVP02N,2058, 2.2311158706081544e+00
REGION,ETGOCVP02N,2059, 3.5948455077180421e+00
REGION,ETGOCVP02N,2060, 3.7138274586596585e+00
REGION,ETGOCVP02N,2061, 3.8197659687582521e+00
REGION,ETGOCVP02N,2062, 3.9138890034895120e+00
REGION,ETGOCVP02N,2063, 3.9973090589107478e+00
REGION,ETGOCVP02N,2064, 4.0710340076256077e+00
REGION,ETGOCVP02N,2065, 4.1359769270479081e+00
REGION,ETGOCVP02N,2066, 4.1929650053650258e+00
REGION,ETGOCVP02N,2067, 4.2427476116665783e+00
REGION,ETGOCVP02N,2068, 4.2860036086052764e+00
REGION,ETGOCVP02N,2069, 4.3233479786161162e+00
REGION,ETGOCVP02N,2070, 4.3553378280662480e+00
REGION,ETEL00T00X,2016, 1.0757666766269804e-01
REGION,ETEL00T00X,2017, 4.6427403779519621e-01
REGION,ETEL00T00X,2018, 4.7352882946089681e-01
REGION,ETEL00T00X,2019, 4.8122090955906216e-01
REGION,ETEL00T00X,2020, 4.8785808614421172e-01
REGION,ETEL00T00X,2021, 0.303193054712233
REGION,ETEL00T00X,2022, 3.2951903384146414e-01
REGION,ETEL00T00X,2023, 3.5743174519852017e-01
REGION,ETEL00T00X,2024, 3.8704750502043345e-01
REGION,ETEL00T00X,2025, 4.1847878383274151e-01
REGION,ETEL00T00X,2026, 4.4735623945328690e-01
REGION,ETEL00T00X,2027, 4.8233242732203546e-01
REGION,ETEL00T00X,2028, 5.1935117571444123e-01
REGION,ETEL00T00X,2029, 5.5850751698816214e-01
REGION,ETEL00T00X,2030, 5.9997493763290211e-01
REGION,ETEL00T00X,2031, 6.8816441728848810e-01
REGION,ETEL00T00X,2032, 7.4412403666868121e-01
REGION,ETEL00T00X,2033, 8.0395291997165907e-01
REGION,ETEL00T00X,2034, 8.6800141509054363e-01
REGION,ETEL00T00X,2035, 1.0962376032227485e+00
REGION,ETEL00T00X,2036, 1.0412442097280212e+00
REGION,ETEL00T00X,2037, 1.1217988167824211e+00
REGION,ETEL00T00X,2038, 1.2084469333910357e+00
REGION,ETEL00T00X,2039, 1.3022123759220150e+00
REGION,ETEL00T00X,2040, 1.4031100929091498e+00
REGION,ETEL00T00X,2041, 1.0459149783869071e+00
REGION,ETEL00T00X,2042, 8.3536414092403311e-02
REGION,ETEL00T00X,2045, 1.7581490778992137e-01
REGION,ETEL00T00X,2046, 1.1785886276551723e-01
REGION,ETEL00T00X,2047, 1.6919652682675654e-01
REGION,ETEL00T00X,2048, 2.6796574796432593e-01
REGION,ETEL00T00X,2049, 3.7241908427000564e-01
REGION,ETEL00T00X,2050, 4.8283808219596985e-01
REGION,ETEL00T00X,2057, 2.1476930485039774e-02
REGION,ETEL00T00X,2058, 8.7645009959410547e-02
REGION,ETEL00T00X,2059, 1.4070113986028376e-01
REGION,ETEL00T00X,2060, 1.9519253438696960e-01
REGION,ETEL00T00X,2062, 0.55853811988774
REGION,ETEL00T00X,2063, 8.7159218959312823e-01
REGION,ETEL00T00X,2064, 9.6409407610712650e-01
REGION,ETEL00T00X,2065, 9.9599021088563611e-01
REGION,ETEL00T00X,2066, 1.2743307524547238e+00
REGION,ETEL00T00X,2067, 1.3435037954707123e+00
REGION,ETEL00T00X,2068, 1.3719184315493473e+00
REGION,ETEL00T00X,2069, 1.0855896636770361e+00
REGION,ETEL00TDTX,2016, 7.0054556673828683e-01
REGION,ETEL00TDTX,2017, 3.02337797379563
REGION,ETEL00TDTX,2018, 3.0836456842345390e+00
REGION,ETEL00TDTX,2019, 3.1337369313176238e+00
REGION,ETEL00TDTX,2020, 3.1769585889210217e+00
REGION,ETEL00TDTX,2021, 1.9744097856041278e+00
REGION,ETEL00TDTX,2022, 2.1458460042130842e+00
REGION,ETEL00TDTX,2023, 2.3276151100338720e+00
REGION,ETEL00TDTX,2024, 2.5204745607755448e+00
REGION,ETEL00TDTX,2025, 2.7251567706631143e+00
REGION,ETEL00TDTX,2026, 2.9132083439904717e+00
REGION,ETEL00TDTX,2027, 3.1409751958951895e+00
REGION,ETEL00TDTX,2028, 3.3820433138511166e+00
